Lp.Nazwisko i imię posła Klub/kołoGłosowania, w których poseł wziął udział;
liczbaprocent
1.;Kubiak Dariusz;PiS;5268;99.96;;
2.;Latosiński Bogdan;PiS;5267;99.94;;
3.;Gosiewski Jerzy;PiS;5265;99.91;;
4.;Warwas Robert;PiS;5265;99.91;;
5.;Borowiak Joanna;PiS;5263;99.87;;
6.;Gonciarz Jarosław;PiS;5263;99.87;;
7.;Moskal Kazimierz;PiS;5263;99.87;;
8.;Kwitek Marek;PiS;5262;99.85;;
9.;Polak Piotr;PiS;5262;99.85;;
10.;Tułajew Sylwester;PiS;5262;99.85;;
11.;Szulowski Krzysztof;PiS;5261;99.83;;
12.;Kaleta Piotr;PiS;5258;99.77;;
13.;Szwed Stanisław;PiS;5258;99.77;;
14.;Woźniak Tadeusz;PiS;5257;99.75;;
15.;Starzycki Dariusz;PiS;5256;99.73;;
16.;Kryj Andrzej;PiS;5255;99.72;;
17.;Bartosik Ryszard;PiS;5253;99.68;;
18.;Głuchowski Krzysztof;PiS;5253;99.68;;
19.;Polak Marek;PiS;5252;99.66;;
20.;Puda Grzegorz;PiS;5250;99.62;;
21.;Babinetz Piotr;PiS;5249;99.60;;
22.;Bakun Wojciech;Kukiz15;5249;99.60;;
23.;Andzel Waldemar;PiS;5248;99.58;;
24.;Krynicka Bernadeta;PiS;5248;99.58;;
25.;Cicholska Anna;PiS;5247;99.56;;
26.;Duszek Marcin;PiS;5247;99.56;;
27.;Porzucek Marcin;PiS;5247;99.56;;
28.;Dziuk Barbara;PiS;5246;99.54;;
29.;Zieliński Jarosław;PiS;5246;99.54;;
30.;Buczak Wojciech;PiS;5245;99.53;;
31.;Lichocka Joanna;PiS;5245;99.53;;
32.;Matusiak Grzegorz;PiS;5243;99.49;;
33.;Wróblewska Krystyna;PiS;5243;99.49;;
34.;Galemba Leszek;PiS;5240;99.43;;
35.;Machałek Marzena;PiS;5239;99.41;;
36.;Szlachetka Jarosław;PiS;5238;99.39;;
37.;Krajewski Jarosław;PiS;5237;99.37;;
38.;Kołakowski Robert;PiS;5236;99.35;;
39.;Szałabawka Artur;PiS;5236;99.35;;
40.;Kosztowniak Andrzej;PiS;5232;99.28;;
41.;Janczyk Wiesław;PiS;5231;99.26;;
42.;Król Piotr;PiS;5231;99.26;;
43.;Gołojuch Kazimierz;PiS;5230;99.24;;
44.;Zwiercan Małgorzata;WiS;5230;99.24;;
45.;Warzecha Jan;PiS;5229;99.22;;
46.;Kołakowski Lech;PiS;5226;99.17;;
