1.;Stryjewski Antoni Stanisław;RKN;1029;;
2.;Lepper Andrzej;Samoobrona;787;;
3.;Macierewicz Antoni;RKN;729;;
4.;Dulias Stanisław;niez.;614;;
5.;Giertych Roman;LPR;544;;
6.;Cymański Tadeusz;PiS;538;;
7.;Kalemba Stanisław;PSL;432;;
8.;Ajchler Romuald;SDPL;426;;
9.;Łyżwiński Stanisław;Samoobrona;422;;
10.;Stec Stanisław;SLD;384(26);;
11.;Wrzodak Zygmunt;LPR;368;;
12.;Skowrońska Krystyna;PO;353;;
13.;Czerwiński Jerzy;RKN;350;;
14.;Janowski Gabriel;RP;337;;
15.;Nowina Konopka Halina;PP;333;;
16.;Czechowski Włodzimierz;Samoobrona;328;;
17.;Masłowska Gabriela;LPR;328;;
18.;Aumiller Andrzej;UP;327;;
19.;Orkisz Jan;UP;327;;
20.;Jurek Marek;PiS;315;;
21.;Gudzowski Stanisław;LPR;310;;
22.;Markowski Tomasz;PiS;304;;
23.;Fedorowicz Andrzej;LPR;303;;
24.;Beger Renata;Samoobrona;299;;
25.;Dorn Ludwik;PiS;297;;
26.;Nowak Maria;PiS;291;;
27.;Lisak Janusz;SG;290;;
28.;Suski Marek;PiS;284;;
29.;Budner Alfred;Samoobrona;282;;
30.;Zawisza Artur;PiS;278;;
31.;Jankowski Zdzisław;Samoobrona;274;;
32.;Pęk Bogdan;LPR;272;mandat wygasł 16-06-2004;
33.;Kuropatwiński Lech;Samoobrona;271;;
34.;Stanibuła Ryszard;PSL;267;;
35.;Figlus Michał;SG;263;;
36.;Luśnia Robert;niez.;262;;
37.;Borczyk Waldemar;niez.;255;;
38.;Grzebisz-Nowicka Zofia;SLD;251;;
39.;Łyżwińska Wanda;Samoobrona;247;;
40.;Woda Wiesław;PSL;245;;
41.;Gosiewski Przemysław;PiS;243;;
42.;Sztwiertnia Jan;SDPL;239;;
43.;Grabicka Krystyna;RKN;229;;
44.;Krutul Piotr;D_OJCZYSTY;229;;
45.;Pojda Ryszard;UP;223;;
46.;Cepil Józef;Samoobrona;220;;
47.;Antochowski Jan;SLD;216;;
48.;Łączny Jan;Samoobrona;215;;
49.;Polaczek Jerzy;PiS;215;;
50.;Polak Danuta;UP;213;;
51.;Mężydło Antoni;PiS;211;;
52.;Krasicka-Domka Zofia;D_OJCZYSTY;209;;
53.;Jagieliński Roman;SG;208;;
54.;Gruszka Józef;PSL;207;;
55.;Radziszewska Elżbieta;PO;201;;
