lp;kto;klub;noInterPol;nadanobieg;uwagiInterPol
195.;Babalski Zbigniew;PiS;60;1;;
196.;Grad Mariusz;PO;60;;;
197.;Kołacz-Leszczyńska Agnieszka;PO;60;;;
198.;Siarka Edward;ZP;60;;;
199.;Smolarz Henryk;PSL;60;;;
200.;Kamińska Bożena;PO;59;;;
201.;Ostrowski Artur;SLD;59;;;
202.;Matusiak Grzegorz;PiS;58;;;
203.;Pitera Julia;PO;58;;mandat wygasł 27-05-2014;
204.;Sasin Jacek;PiS;58;;;
205.;Sibińska Krystyna;PO;58;;;
206.;Święcicki Marcin;PO;58;;;
207.;Popiołek Zofia;RP;56;1;;
208.;Sekuła-Szmajdzińska Małgorzata;SLD;56;;;
209.;Strzałkowski Stefan;PiS;56;;;
210.;Balt Marek;SLD;55;;;
211.;Terlecki Ryszard;PiS;55;;;
212.;Bubula Barbara;PiS;54;;;
213.;Lipiec Krzysztof;PiS;54;;;
214.;Poznański Marek;niez.;53;18;;
215.;Szydłowska Bożena;PO;53;;;
216.;Tomański Piotr;PO;53;1;;
217.;Kierwiński Marcin;PO;51;;;
218.;Pietraszewska Danuta;PO;51;;;
219.;Rutnicki Jakub;PO;51;;;
220.;Janyska Maria Małgorzata;PO;48;1;;
221.;Pyzik Piotr;PiS;48;;;
222.;Wenderlich Jerzy;SLD;48;;;
223.;Czaplicka Barbara;PO;47;;;
224.;Dunin Artur;PO;47;;;
225.;Kłosin Krystyna;PO;47;;;
226.;Szydło Beata;PiS;47;;;
227.;Falfus Jacek;PiS;46;;;
228.;Jaworski Andrzej;PiS;46;;;
229.;Racki Józef;PSL;46;;;
230.;Janik Grzegorz;PiS;45;;ślubował 08-05-2013;
231.;Kropiwnicki Robert;PO;45;;;
232.;Napieralski Grzegorz;BC;45;;;
233.;Orzechowski Andrzej;PO;45;;;
234.;Poślednia Krystyna;PO;45;;mandat wygasł 01-04-2014;
235.;Sztolcman Grzegorz;PO;45;;;
236.;Cedzyński Jan;SLD;44;;;
237.;Kulesza Tomasz;PO;44;;ślubował 22-12-2011;
238.;Bernacki Włodzimierz;PiS;42;;;
239.;Bramora Artur;PSL;42;;;
240.;Nykiel Mirosława;PO;42;;;
241.;Raniewicz Grzegorz;PO;42;;;
242.;Sajak Paweł;PSL;42;;;
243.;Tobiszowski Grzegorz;PiS;42;1;;
244.;Zaborowski Zbyszek;SLD;42;;;
245.;Dera Andrzej;ZP;41;;;
246.;Iwiński Tadeusz;SLD;41;;;
247.;Krupa Łukasz;niez.;41;;;
248.;Lenz Tomasz;PO;41;;;
249.;Okła-Drewnowicz Marzena;PO;41;;;
250.;Bobowska Joanna;PO;40;;;
251.;Bogucki Jacek;PiS;40;;;
252.;Kuźmiuk Zbigniew;PiS;40;;mandat wygasł 27-05-2014;
253.;Romanek Andrzej;ZP;40;1;;
254.;Świat Jacek;PiS;40;;;
255.;Tchórzewski Krzysztof;PiS;40;2;;
256.;Ziemniak Wojciech;PO;39;;;
257.;Brudziński Joachim;PiS;38;;;
258.;Gapińska Elżbieta;PO;38;;;
259.;Kaźmierczak Jan;PO;38;;;
260.;Kruk Elżbieta;PiS;38;;;
261.;Ziętek Jerzy;niez.;38;;;
262.;Dzikowski Waldy;PO;37;;;
263.;Piechota Sławomir Jan;PO;37;;;
264.;Achinger Elżbieta;PO;36;;ślubowała 11-07-2012;
265.;Dąbrowska Alicja;PO;36;;;
266.;Gluza Czesław;SLD;36;;;
267.;Suski Marek;PiS;36;;;
268.;Ajchler Romuald;SLD;35;;;
269.;Galla Ryszard;niez.;35;;;
270.;Sadurska Małgorzata;PiS;35;;mandat wygasł 07-08-2015;
271.;Gos Marek;PSL;34;;;
272.;Koźlakiewicz Mirosław;PO;34;;;
273.;Lipiński Adam;PiS;34;;;
274.;Miller Leszek;SLD;34;;;
275.;Pietrzczyk Lucjan Marek;PO;34;;;
276.;Zalewska Anna;PiS;34;;;
277.;Głogowski Tomasz;PO;33;;;
278.;Gołojuch Kazimierz;PiS;33;;;
279.;Konwiński Zbigniew;PO;33;;;
280.;Najder Jacek;BC;33;;;
281.;Żaczek Jarosław;KPSP;33;;mandat wygasł 03-12-2014;
282.;Augustyn Urszula;PO;32;;;
283.;Borkowski Krzysztof;PSL;32;;;
284.;Butryn Renata;PO;32;;;
285.;Dorn Ludwik;niez.;32;;;
286.;Sławiak Bożena;PO;32;;;
287.;Błaszczak Mariusz;PiS;31;;;
288.;Kamiński Tomasz;SLD;31;;;
289.;Lamczyk Stanisław;PO;31;;;
290.;Mucha Joanna;PO;31;1;;
291.;Durka Zenon;PO;30;1;;
292.;Kłopotek Eugeniusz;PSL;30;1;;
293.;Witkowski Radosław;PO;30;;mandat wygasł 15-12-2014;
294.;Wójcik Marek;PO;30;;;
295.;Katulski Jarosław;PO;29;;mandat wygasł 05-12-2014;
296.;Kopaczewska Domicela;PO;29;;;
297.;Kopyciński Sławomir;BC;29;;;
298.;Krajewska Ligia;PO;29;;;
299.;Abramowicz Adam;PiS;28;1;;
300.;Arciszewska-Mielewczyk Dorota;PiS;28;1;;
301.;Dziuba Tadeusz;PiS;28;;;
302.;Kuchciński Marek;PiS;28;;;
303.;Witek Elżbieta;PiS;28;;;
304.;Aleksandrzak Leszek;SLD;27;;;
305.;Dobrzyński Leszek;PiS;27;;;
306.;Gosiewska Małgorzata;PiS;27;;;
307.;Marczułajtis-Walczak Jagna;PO;27;;;
308.;Rozenek Andrzej;BC;27;1;;
309.;Ryfiński Armand Kamil;niez.;27;2;;
310.;Staroń Lidia;niez.;27;;;
311.;Brzezinka Jacek;PO;26;;;
312.;Budnik Jerzy;niez.;26;;;
313.;Czechyra Czesław;PO;26;;;
314.;Pahl Witold;PO;26;5;;
315.;Arndt Paweł;PO;25;;;
316.;Łopiński Maciej;PiS;25;;mandat wygasł 07-08-2015;
317.;Ozga Krystyna;PSL;25;;;
318.;Rębek Jerzy;PiS;25;;mandat wygasł 03-12-2014;
319.;Smolarz Tomasz;PO;25;;mandat wygasł 12-03-2014;
320.;Sprawka Lech;PiS;25;;;
321.;Czesak Edward;PiS;24;;mandat wygasł 11-06-2015;
322.;Król Piotr;PiS;24;1;ślubował 05-06-2014;
323.;Palikot Janusz;RP;24;;mandat wygasł 11-09-2015;
324.;Szyszko Jan;PiS;24;;;
325.;Gelert Elżbieta;PO;23;;;
326.;Gowin Jarosław;ZP;23;1;;
327.;Michałkiewicz Krzysztof;PiS;23;;;
328.;Suchowiejko Wiesław;PO;23;;;
329.;Żyżyński Jerzy;PiS;23;;;
330.;Czeszejko-Sochacka Ewa;PO;22;;ślubowała 07-11-2014;
331.;Gawłowski Stanisław;PO;22;;;
332.;Rozpondek Halina;PO;22;;;
333.;Skowrońska Krystyna;PO;22;;;
334.;Walkowski Piotr;PSL;22;;;
335.;Duda Andrzej;PiS;21;;mandat wygasł 27-05-2014;
336.;Halicki Andrzej;PO;21;;;
337.;Pawlak Mirosław;PSL;21;;;
338.;Szczerba Michał;PO;21;;;
339.;Wojtkowski Marek;PO;21;;mandat wygasł 05-12-2014;
340.;Dolata Zbigniew;PiS;20;;;
341.;Hoppe Teresa;PO;20;;;
342.;Łopata Jan;PSL;20;;;
343.;Oświęcimski Konstanty;PO;20;;;
344.;Sztorc Andrzej;PSL;20;;;
345.;Zakrzewska Jadwiga;PO;20;;;
346.;Budka Borys;PO;19;;;
347.;Czykwin Eugeniusz;SLD;19;;;
348.;Matusik-Lipiec Katarzyna;PO;19;;;
349.;Złotowski Kosma;PiS;19;;mandat wygasł 27-05-2014;
350.;Ardanowski Jan Krzysztof;PiS;18;;;
351.;Bąk Dariusz;PiS;18;;;
352.;Grupiński Rafał;PO;18;;;
353.;Guzowska Iwona;PO;18;;;
354.;Kołakowski Robert;PiS;18;;;
355.;Mastalerek Marcin;PiS;18;;;
356.;Munyama Killion;PO;18;1;;
357.;Pacelt Zbigniew;PO;18;;;
358.;Radziszewska Elżbieta;PO;18;;;
359.;Smoliński Kazimierz;PiS;18;;ślubował 05-06-2014;
360.;Sosnowski Zbigniew;PSL;18;;;
361.;Van der Coghen Piotr;PO;18;;;
362.;Fedorowicz Jerzy;PO;17;;;
363.;Rojek Józef;ZP;17;2;;
364.;Suski Paweł;PO;17;;;
365.;Bętkowski Andrzej;PiS;16;1;;
366.;Błądek Antoni;PiS;16;;ślubował 05-06-2014;
367.;Kamiński Mariusz;PiS;16;;;
368.;Młyńczak Aldona;PO;16;;ślubowała 05-06-2014;
369.;Hall Katarzyna;PO;15;;;
370.;Kalemba Stanisław;PSL;15;;;
371.;Kucharski Cezary;PO;15;;;
372.;Nawrocka Elżbieta;PSL;15;;ślubowała 18-02-2015;
373.;Prządka Stanisława;SLD;15;;;
374.;Tusk Łukasz;PO;15;;ślubował 22-11-2013;
375.;Ujazdowski Kazimierz Michał;PiS;15;;mandat wygasł 27-05-2014;
376.;Janik Renata;PO;14;;ślubowała 11-09-2013;
377.;Jasiński Wojciech;PiS;14;;;
378.;Naimski Piotr;PiS;14;;;
379.;Raś Ireneusz;PO;14;;;
380.;Sosna Aleksander;SLD;14;;ślubował 05-06-2014;
381.;Witko Marcin;PiS;14;1;mandat wygasł 01-12-2014;
382.;Ast Marek;PiS;13;;;
383.;Duszek Marcin;PiS;13;1;ślubował 16-12-2014;
384.;Korzeniowski Leszek;PO;13;;;
385.;Krasulski Leonard;PiS;13;;;
386.;Leszczyna Izabela;PO;13;;;
387.;Mularczyk Arkadiusz;ZP;13;;;
388.;Niedziela Dorota;PO;13;;;
389.;Wróbel Marzena Dorota;niez.;13;;;
390.;Blanik Leszek;PO;12;;;
391.;Grzeszczak Eugeniusz Tomasz;PSL;12;;;
392.;Jagła Robert;PO;12;;ślubował 27-08-2014;
393.;Jastrzębski Leszek;PO;12;;;
394.;Kasprzak Mieczysław;PSL;12;;;
395.;Rutkowska Dorota;PO;12;;;
396.;Sellin Jarosław;PiS;12;;;
397.;Świło Teresa;PO;12;;ślubowała 19-03-2014;
398.;Buła Andrzej;PO;11;;mandat wygasł 12-11-2013;
399.;Cichoń Janusz;PO;11;;;
400.;Maciaszek Robert;PO;11;;ślubował 28-11-2014;
401.;Borowczak Jerzy;PO;10;;;
402.;Kidawa-Błońska Małgorzata;PO;10;;;
403.;Kwitek Marek;PiS;10;;ślubował 01-10-2014;
404.;Marcinkiewicz Małgorzata;RP;10;;;
405.;Olechowska Alicja;PO;10;;;
406.;Rosati Dariusz;PO;10;;mandat wygasł 27-05-2014;
407.;Rynasiewicz Zbigniew;PO;10;;mandat wygasł 01-06-2015;
408.;Sońta Krzysztof;PiS;10;;ślubował 05-06-2014;
409.;Sycz Miron;PO;10;;mandat wygasł 02-11-2015;
410.;Tyszkiewicz Robert;PO;10;;;
411.;Gromadzki Jarosław;niez.;9;1;ślubował 19-12-2014;
412.;Kowalczyk Henryk;PiS;9;;;
413.;Maliszewski Mirosław;PSL;9;;;
414.;Naguszewski Tadeusz;PO;9;;ślubował 16-12-2014;
415.;Popiołek Krzysztof;ZP;9;1;;
416.;Waszczykowski Witold;PiS;9;;;
417.;Borawski Edmund;PSL;8;;;
418.;Dołecki Andrzej;RP;8;;ślubował 23-09-2015;
419.;Krysztofiak Przemysław;PO;8;;ślubował 17-12-2014;
420.;Mężydło Antoni;PO;8;;;
421.;Piątak Andrzej;niez.;8;;;
422.;Stuligrosz Michał;PO;8;;ślubował 05-06-2014;
423.;Stawiarski Jarosław;PiS;7;;ślubował 16-12-2014;
424.;Szejnfeld Adam;PO;7;;mandat wygasł 27-05-2014;
425.;Wojnarowski Norbert;PO;7;;;
426.;Żyliński Adam;PO;7;;ślubował 25-01-2012mandat wygasł 02-12-2014;
427.;Biernacki Marek;PO;6;;;
428.;Czartoryski Arkadiusz;PiS;6;;;
429.;Garczewski Romuald;PSL;6;;ślubował 13-01-2015;
430.;Królikowska-Kińska Elżbieta;PO;6;;ślubowała 27-08-2013;
431.;Pasławska Urszula;PSL;6;;ślubowała 13-01-2015;
432.;Piecha Bolesław Grzegorz;PiS;6;;mandat wygasł 24-04-2013;
433.;Tokarska Genowefa;PSL;6;;;
434.;Tomaszewski Jan;PO;6;;;
435.;Dworczyk Michał;PiS;5;;ślubował 10-09-2015;
436.;Gałażewski Andrzej;PO;5;;;
437.;Kłosowski Sławomir;PiS;5;;;
438.;Kosecki Roman Jacek;PO;5;;;
439.;Kozłowska-Rajewicz Agnieszka;PO;5;;mandat wygasł 27-05-2014;
440.;Pierzchała Elżbieta Apolonia;PO;5;;;
441.;Plura Marek;PO;5;;mandat wygasł 27-05-2014;
442.;Stefaniuk Franciszek Jerzy;PSL;5;;;
443.;Śniadek Janusz;PiS;5;;;
444.;Witczak Mariusz;PO;5;;;
445.;Zieliński Maciej;PO;5;;;
446.;Żmijan Stanisław;PO;5;;;
447.;Czarnecki Witold;PiS;4;;;
448.;Czerwiński Andrzej;PO;4;;;
449.;Henczyca Bożena;PO;4;;ślubowała 17-12-2014;
450.;Hofman Adam;niez.;4;;;
451.;Kochan Magdalena;PO;4;;;
452.;Kudrycka Barbara;PO;4;;mandat wygasł 27-05-2014;
453.;Piotrowicz Stanisław;PiS;4;;;
454.;Szulc Jakub;PO;4;;mandat wygasł 21-08-2014;
455.;Śledzińska-Katarasińska Iwona;PO;4;;;
456.;Tomczykiewicz Tomasz;PO;4;;;
457.;Charłampowicz Jarosław;PO;3;;;
458.;Chmielewski Stanisław;PO;3;;ślubował 24-06-2014;
459.;Ciemniak Grażyna;PO;3;;ślubowała 16-12-2014;
460.;Grabarczyk Cezary;PO;3;;;
461.;Kozaczyński Jacek;PO;3;;;
462.;Macierewicz Antoni;PiS;3;;;
463.;Mroczek Czesław;PO;3;;;
464.;Schetyna Grzegorz;PO;3;;;
465.;Schreiber Grzegorz;PiS;3;;;
466.;Stachowicz Katarzyna;PO;3;;ślubowała 19-12-2014;
467.;Zaremba Renata;PO;3;;;
468.;Żmuda-Trzebiatowska Ewa;PO;3;;;
469.;Aziewicz Tadeusz;PO;2;;;
470.;Biernat Andrzej;PO;2;;;
471.;Huskowski Stanisław;PO;2;;;
472.;Karpiński Włodzimierz;PO;2;;;
473.;Kozdroń Jerzy;PO;2;;;
474.;Niesiołowski Stefan;PO;2;;;
475.;Olszewski Paweł;PO;2;;;
476.;Piechociński Janusz;PSL;2;;;
477.;Tomaszak-Zesiuk Irena;PO;2;;ślubowała 23-04-2014;
478.;Woźniak Małgorzata;PO;2;;ślubowała 13-01-2015;
479.;Jarmuziewicz Tadeusz;PO;1;;;
480.;Karpiński Grzegorz;PO;1;;ślubował 17-12-2014;
481.;Kluzik-Rostkowska Joanna;PO;1;;;
482.;Kulas Jan;PO;1;;ślubował 04-02-2015;
483.;Miodowicz Konstanty;PO;1;;mandat wygasł 23-08-2013;
484.;Neumann Sławomir;PO;1;;;
485.;Pawlak Waldemar;PSL;1;;;
486.;Rzymełka Jan;PO;1;;ślubował 05-06-2014;
487.;Sawicki Marek;PSL;1;;;
488.;Sikorski Radosław;PO;1;;;
489.;Sobierajski Czesław;PiS;1;;ślubował 24-09-2014;
490.;Szumilas Krystyna;PO;1;;;
491.;Vincent-Rostowski Jan;PO;1;;ślubował 17-11-2011;
492.;Zych Józef;PSL;1;;;
