1.;Suchoń Mirosław;N;499;;
2.;Meysztowicz Jerzy;N;483;;
3.;Zwiercan Małgorzata;WiS;435;;
4.;Pępek Małgorzata;PO;382;;
5.;Hennig-Kloska Paulina;N;344;;
6.;Paszyk Krzysztof;PSL-UED;318;;
7.;Kasprzak Mieczysław;PSL-UED;291;;
8.;Chruszcz Sylwester;WiS;265;;
9.;Sowa Marek;N;261;;
10.;Tokarska Genowefa;PSL-UED;259;;
11.;Czernow Zofia;PO;258;;
12.;Skowrońska Krystyna;PO;256;;
13.;Pampuch Mirosław;N;241;;
14.;Zyska Ireneusz;WiS;227;;
15.;Gryglas Zbigniew;PiS;217;;
16.;Nitras Sławomir;PO;212;;
17.;Sachajko Jarosław;Kukiz15;209;;
18.;Sitarski Krzysztof;Kukiz15;204;;
19.;Romecki Stefan;Kukiz15;200;;
20.;Winnicki Robert;niez.;199;;
21.;Jarubas Krystian;PSL-UED;198;;
22.;Scheuring-Wielgus Joanna;N;193;;
23.;Furgo Grzegorz;PO;183;;
24.;Grabowski Paweł;Kukiz15;180;;
25.;Protasiewicz Jacek;PSL-UED;180;;
26.;Andzel Waldemar;PiS;178;;
27.;Gasiuk-Pihowicz Kamila;N;176;;
28.;Gonciarz Jarosław;PiS;174;;
29.;Święcicki Marcin;PO;172;;
30.;Szłapka Adam;N;171;;
31.;Szczerba Michał;PO;170;;
32.;Wójcikowski Rafał;Kukiz15;165;mandat wygasł 19-01-2017;
33.;Tomaszewska Ewa;PiS;164;;
34.;Kosiniak-Kamysz Władysław;PSL-UED;162;;
35.;Lubnauer Katarzyna;N;162;;
36.;Borowiak Joanna;PiS;160;;
37.;Wilczyński Ryszard;PO;160;;
38.;Lieder Ewa;N;154;;
39.;Stępień Elżbieta;N;154;;
40.;Kotowski Kazimierz;PSL-UED;152;;
41.;Leszczyna Izabela;PO;151;;
42.;Mieszkowski Krzysztof;N;151;;
43.;Rosa Monika;N;149;;
44.;Michałek Iwona;PiS;144;;
45.;Pasławska Urszula;PSL-UED;139;;
46.;Chmiel Małgorzata;PO;136;;
47.;Gądek Lidia;PO;136;;
48.;Maliszewski Mirosław;PSL-UED;135;;
49.;Brejza Krzysztof;PO;134;;
50.;Maciejewski Andrzej;Kukiz15;134;;
51.;Kwiecień Anna;PiS;133;;
52.;Matusiewicz Andrzej;PiS;133;;
53.;Ajchler Zbigniew;PO;131;;
54.;Gadowski Krzysztof;PO;130;;
55.;Gosiewski Jerzy;PiS;130;;
56.;Jachnik Jerzy;Kukiz15;129;;
57.;Lenartowicz Gabriela;PO;129;;
58.;Myrcha Arkadiusz;PO;129;;
59.;Masłowski Maciej;Kukiz15;128;;
60.;Buda Waldemar;PiS;125;;
61.;Lassota Józef;PO;125;;
62.;Truskolaski Krzysztof;N;125;;
63.;Bańkowski Paweł;PO;123;;
64.;Budka Borys;PO;121;;
65.;Sosnowski Zbigniew;PSL-UED;119;;
66.;Brynkus Józef;Kukiz15;116;;
67.;Wielichowska Monika;PO;116;;
68.;Długi Grzegorz;Kukiz15;115;;
69.;Dolniak Barbara;N;115;;
70.;Szulowski Krzysztof;PiS;115;;
71.;Augustynowska Joanna;PO;114;;
72.;Jaskóła Tomasz;Kukiz15;114;;
73.;Golbik Marta;PO;113;;
74.;Józwiak Bartosz;Kukiz15;112;;
75.;Bartuś Barbara;PiS;111;;
76.;Piontkowski Dariusz;PiS;109;;
77.;Kaczmarczyk Norbert;Kukiz15;108;;
78.;Kurzępa Jacek;PiS;108;;
79.;Dziuk Barbara;PiS;107;;
80.;Paluch Anna;PiS;107;;
81.;Nowak Tomasz Piotr;PO;105;;
82.;Zembaczyński Witold;N;104;;
83.;Kamińska Bożena;PO;103;;
84.;Cichoń Janusz;PO;102;;
85.;Baszko Mieczysław Kazimierz;PiS;101;;
86.;Krynicka Bernadeta;PiS;101;;
87.;Kobyliński Paweł;N;100;;
88.;Schmidt Joanna;N;100;;
89.;Niedziela Dorota;PO;99;;
90.;Szlachta Andrzej;PiS;97;;
91.;Telus Robert;PiS;97;;
92.;Zieliński Jarosław;PiS;96(93);;
93.;Grabarczyk Cezary;PO;95;;
94.;Kryj Andrzej;PiS;95;;
95.;Rzońca Bogdan;PiS;95;;
96.;Masłowska Gabriela;PiS;93;;
97.;Cicholska Anna;PiS;92;;
98.;Kulesza Jakub;Kukiz15;92;;
99.;Czartoryski Arkadiusz;PiS;91;;
100.;Kołacz-Leszczyńska Agnieszka;PO;91;;
101.;Bejda Paweł;PSL-UED;89;;
102.;Kropiwnicki Robert;PO;89;;
103.;Kozłowski Jerzy;Kukiz15;88;;
104.;Szumilas Krystyna;PO;88;;
105.;Ardanowski Jan Krzysztof;PiS;87;;
106.;Kostuś Tomasz;PO;87;;
107.;Polak Marek;PiS;87;;
108.;Janczyk Wiesław;PiS;86(62);;
109.;Mosiński Jan;PiS;86;;
110.;Schreiber Łukasz;PiS;86;;
111.;Latos Tomasz;PiS;85;;
112.;Możdżanowska Andżelika;PiS;85(2);;
113.;Nykiel Włodzimierz;PO;85;;
114.;Szramka Paweł;Kukiz15;85;;
115.;Zalewska Anna;PiS;85(84);;
116.;Polak Piotr;PiS;84;;
117.;Marchewka Arkadiusz;PO;83;;
118.;Czochara Katarzyna;PiS;81;ślubowała 09-12-2015;
119.;Parda Błażej;Kukiz15;81;;
120.;Zuba Maria;PiS;81;;
121.;Sawicki Marek;PSL-UED;80;;
122.;Skurkiewicz Wojciech;PiS;80(5);;
123.;Stasiński Michał;PO;80;;
124.;Szczurek-Żelazko Józefa;PiS;80(22);;
125.;Duda Antoni;PiS;79;;
126.;Nykiel Mirosława;PO;79;;
127.;Wróblewski Bartłomiej;PiS;78;;
128.;Halicki Andrzej;PO;77;;
129.;Zgorzelski Piotr;PSL-UED;77;;
130.;Łopata Jan;PSL-UED;75;;
131.;Janyska Maria Małgorzata;PO;74;;
132.;Kamiński Michał;PSL-UED;74;;
133.;Fabisiak Joanna;PO;72;;
134.;Jaros Michał;N;72;;
135.;Chrobak Barbara;Kukiz15;71;;
136.;Kaleta Piotr;PiS;71;;
137.;Misiło Piotr;N;71;;
138.;Jaki Patryk;PiS;70(64);;
139.;Pomaska Agnieszka;PO;70;;
140.;Sanocki Janusz;niez.;70;;
141.;Dunin Artur;PO;69;;
