lp;kto;partia;noGlos;procGlos;uwagiGlos
483.;Maciaszek Robert;PO;2200;99.46;ślubował 28-11-2014;
484.;Kwiatkowski Krzysztof;PO;2190;99.64;mandat wygasł 09-08-2013;
485.;Poślednia Krystyna;PO;2058;64.64;mandat wygasł 01-04-2014;
486.;Krysztofiak Przemysław;PO;2045;99.80;ślubował 17-12-2014;
487.;Ciemniak Grażyna;PO;2042;99.66;ślubowała 16-12-2014;
488.;Stawiarski Jarosław;PiS;2028;98.98;ślubował 16-12-2014;
489.;Duszek Marcin;PiS;2017;98.44;ślubował 16-12-2014;
490.;Karpiński Grzegorz;PO;2004;97.80;ślubował 17-12-2014;
491.;Naguszewski Tadeusz;PO;1969;96.10;ślubował 16-12-2014;
492.;Henczyca Bożena;PO;1923;93.85;ślubowała 17-12-2014;
493.;Stachowicz Katarzyna;PO;1868;99.26;ślubowała 19-12-2014;
494.;Woźniak Małgorzata;PO;1842;99.62;ślubowała 13-01-2015;
495.;Maciejewski Krzysztof;PiS;1834;97.45;ślubował 19-12-2014;
496.;Miodowicz Konstanty;PO;1793;81.57;mandat wygasł 23-08-2013;
497.;Garczewski Romuald;PSL;1755;94.92;ślubował 13-01-2015;
498.;Piecha Bolesław Grzegorz;PiS;1708;94.21;mandat wygasł 24-04-2013;
499.;Pasławska Urszula;PSL;1702;92.05;ślubowała 13-01-2015;
500.;Kulas Jan;PO;1626;99.69;ślubował 04-02-2015;
501.;Gromadzki Jarosław;niez.;1592;84.59;ślubował 19-12-2014;
502.;Nawrocka Elżbieta;PSL;1545;97.23;ślubowała 18-02-2015;
503.;Olendzka Halina;PiS;1337;98.45;ślubowała 09-04-2015;
504.;Poręba Marek;PO;949;99.68;ślubował 11-06-2015;
505.;Rusecka Urszula;PiS;894;97.92;ślubowała 23-06-2015;
506.;Grad Aleksander;PO;723;98.50;mandat wygasł 30-06-2012;
507.;Kaczyński Filip;PiS;322;99.69;ślubował 09-09-2015;
508.;Głuchowski Krzysztof;PiS;321;99.38;ślubował 09-09-2015;
509.;Chrapkiewicz Daniela;PiS;306;94.74;ślubowała 09-09-2015;
510.;Dworczyk Michał;PiS;233;72.14;ślubował 10-09-2015;
511.;Rybicki Sławomir;PO;113;100.00;mandat wygasł 17-01-2012;
512.;Dołecki Andrzej;RP;63;39.62;ślubował 23-09-2015;
513.;Chomycz Małgorzata;PO;44;97.78;mandat wygasł 12-12-2011;
