lp;kto;partia;noGlos;procGlos;uwagiGlos
120.;Czerwiński Andrzej;PO;6167;97.92;;
121.;Czaplicka Barbara;PO;6166;97.90;;
122.;Kopaczewska Domicela;PO;6166;97.90;;
123.;Okrągły Janina;PO;6166;97.90;;
124.;Romanek Andrzej;ZP;6166;97.90;;
125.;Wróbel Marzena Dorota;niez.;6165;97.89;;
126.;Elsner Wincenty;SLD;6162;97.84;;
127.;Tokarska Genowefa;PSL;6160;97.81;;
128.;Tomaszewski Jan;PO;6159;97.79;;
129.;Van der Coghen Piotr;PO;6158;97.78;;
130.;Raś Ireneusz;PO;6157;97.76;;
131.;Tomański Piotr;PO;6156;97.75;;
132.;Kosecki Roman Jacek;PO;6154;97.71;;
133.;Kołodziej Ewa;PO;6150;97.65;;
134.;Bramora Artur;PSL;6147;97.60;;
135.;Głogowski Tomasz;PO;6147;97.60;;
136.;Ziętek Jerzy;niez.;6146;97.59;;
137.;Dobrzyński Leszek;PiS;6145;97.57;;
138.;Kowalczyk Henryk;PiS;6144;97.55;;
139.;Łopata Jan;PSL;6143;97.54;;
140.;Machałek Marzena;PiS;6142;97.52;;
141.;Dziadzio Dariusz Cezar;PSL;6141;97.51;;
142.;Arłukowicz Bartosz;PO;6140;97.49;;
143.;Szlachta Andrzej;PiS;6140;97.49;;
144.;Piechota Sławomir Jan;PO;6138;97.46;;
145.;Sellin Jarosław;PiS;6138;97.46;;
146.;Dolata Zbigniew;PiS;6134;97.40;;
147.;Hoc Czesław;PiS;6134;97.40;;
148.;Tobiszowski Grzegorz;PiS;6134;97.40;;
149.;Najder Jacek;BC;6130;97.33;;
150.;Bąk Dariusz;PiS;6129;97.32;;
151.;Sosnowski Zbigniew;PSL;6129;97.32;;
152.;Dębski Artur;PSL;6128;97.30;;
153.;Dziuba Tadeusz;PiS;6128;97.30;;
154.;Suski Marek;PiS;6127;97.28;;
155.;Rozpondek Halina;PO;6124;97.24;;
156.;Butryn Renata;PO;6120;97.17;;
157.;Michałkiewicz Krzysztof;PiS;6119;97.16;;
158.;Jach Michał;PiS;6115;97.09;;
159.;Babinetz Piotr;PiS;6112;97.05;;
160.;Gawłowski Stanisław;PO;6112;97.05;;
161.;Kierwiński Marcin;PO;6112;97.05;;
162.;Moskal Kazimierz;PiS;6111;97.03;;
163.;Czarnecki Witold;PiS;6109;97.00;;
164.;Miller Rajmund;PO;6106;96.95;;
165.;Piotrowicz Stanisław;PiS;6106;96.95;;
166.;Warzecha Jan;PiS;6106;96.95;;
167.;Matuszewski Marek;PiS;6105;96.94;;
168.;Świat Jacek;PiS;6105;96.94;;
169.;Rafalska Elżbieta;PiS;6102;96.89;;
170.;Tomczak Jacek;PO;6101;96.87;;
171.;Gołojuch Kazimierz;PiS;6100;96.86;;
172.;Mroczek Czesław;PO;6100;96.86;;
173.;Pyzik Piotr;PiS;6099;96.84;;
174.;Sławiak Bożena;PO;6097;96.81;;
175.;Zuba Maria;PiS;6097;96.81;;
176.;Małecka-Libera Beata;PO;6096;96.79;;
177.;Jaros Michał;PO;6095;96.78;;
178.;Kamińska Bożena;PO;6094;96.76;;
179.;Żmijan Stanisław;PO;6094;96.76;;
180.;Lassota Józef;PO;6093;96.74;;
181.;Babalski Zbigniew;PiS;6091;96.71;;
182.;Mucha Joanna;PO;6091;96.71;;
183.;Paluch Anna;PiS;6091;96.71;;
184.;Naimski Piotr;PiS;6086;96.63;;
185.;Girzyński Zbigniew;niez.;6085;96.62;;
186.;Kaczor Roman;PO;6085;96.62;;
187.;Walkowski Piotr;PSL;6085;96.62;;
188.;Olszewski Paweł;PO;6084;96.60;;
189.;Błaszczak Mariusz;PiS;6083;96.59;;
190.;Górczyński Artur;SLD;6079;96.52;;
191.;Raczkowski Damian;PO;6079;96.52;;
192.;Schreiber Grzegorz;PiS;6077;96.49;;
193.;Karpiński Włodzimierz;PO;6076;96.48;;
194.;Kwiatkowski Jacek;RP;6074;96.44;;
195.;Zubowski Wojciech;PiS;6074;96.44;;
196.;Leszczyna Izabela;PO;6068;96.35;;
197.;Dzikowski Waldy;PO;6067;96.33;;
198.;Ostrowski Artur;SLD;6062;96.25;;
199.;Chmielowski Piotr;SLD;6059;96.21;;
200.;Bubula Barbara;PiS;6058;96.19;;
201.;Szczypińska Jolanta;PiS;6057;96.17;;
202.;Telus Robert;PiS;6056;96.16;;
203.;Blanik Leszek;PO;6051;96.08;;
