lp;kto;klub;lwystapien;uwagi
100.;Polak Marek;PiS;119;;
101.;Mazurek Beata;PiS;118;;
102.;Popiołek Krzysztof;ZP;118;;
103.;Aleksandrzak Leszek;SLD;116;;
104.;Dąbrowski Andrzej;ZP;116;ślubował 17-11-2011;
105.;Domaracki Marek;SLD;116;;
106.;Machałek Marzena;PiS;116;;
107.;Penkalski Wojciech;niez.;116;;
108.;Sługocki Waldemar;PO;115;;
109.;Moskal Kazimierz;PiS;114;;
110.;Górczyński Artur;SLD;113;;
111.;Pięta Stanisław;PiS;113;;
112.;Krupa Łukasz;niez.;112;;
113.;Kasprzak Mieczysław;PSL;111;;
114.;Święcicki Marcin;PO;111;;
115.;Babalski Zbigniew;PiS;110;;
116.;Kwiatkowski Adam;PiS;110;mandat wygasł 07-08-2015;
117.;Wojtkiewicz Michał;PiS;110;;
118.;Czernow Zofia;PO;107;;
119.;Kłosowski Sławomir;PiS;107;;
120.;Smolarz Henryk;PSL;107;;
121.;Ozga Krystyna;PSL;106;;
122.;Suski Marek;PiS;106;;
123.;Nowak Tomasz Piotr;PO;105;;
124.;Pięta Jarosław;PO;105;;
125.;Rząsa Marek;PO;105;;
126.;Wolak Ewa;PO;105;;
127.;Ziobro Kazimierz;ZP;105;;
128.;Arkit Tadeusz;PO;103;;
129.;Borkowski Krzysztof;PSL;103;;
130.;Dębski Artur;PSL;102;;
131.;Zalewska Anna;PiS;102;;
132.;Bobowska Joanna;PO;101;;
133.;Kropiwnicki Robert;PO;101;;
134.;Żyżyński Jerzy;PiS;101;;
135.;Giżyński Szymon;PiS;100;;
136.;Kwiatkowski Jacek;RP;100;;
137.;Pacholski Michał Tomasz;PSL;100;;
138.;Pluta Mirosław;PO;100;;
139.;Bąk Dariusz;PiS;99;;
140.;Klepacz Witold;SLD;99;;
141.;Prządka Stanisława;SLD;99;;
142.;Tchórzewski Krzysztof;PiS;99;;
143.;Pępek Małgorzata;PO;98;;
144.;Małecki Maciej;PiS;96;;
145.;Jach Michał;PiS;94;;
146.;Lipiec Krzysztof;PiS;94;;
147.;Dolata Zbigniew;PiS;93;;
148.;Kotliński Roman;niez.;93;;
149.;Banaszak Maciej;SLD;92;;
150.;Kochan Magdalena;PO;92;;
151.;Orzechowski Maciej;PO;92;;
152.;Najder Jacek;BC;91;;
153.;Niedziela Dorota;PO;91;;
154.;Piontkowski Dariusz;PiS;91;;
155.;Brzezinka Jacek;PO;90;;
156.;Malik Ewa;PiS;89;;
157.;Wiśniewska Jadwiga;PiS;89;mandat wygasł 27-05-2014;
158.;Woźniak Grzegorz Adam;PiS;89;;
159.;Mrzygłocka Izabela Katarzyna;PO;88;;
160.;Dobrzyński Leszek;PiS;87;;
161.;Kłosin Krystyna;PO;87;;
162.;Kownacki Bartosz;PiS;87;;
163.;Bubula Barbara;PiS;86;;
164.;Kozłowska Iwona;PO;85;;
165.;Materna Jerzy;PiS;84;;
166.;Polaczek Jerzy;PiS;84;;
167.;Sasin Jacek;PiS;84;;
168.;Munyama Killion;PO;83;;
169.;Czerniak Jacek;SLD;82;;
170.;Dziedziczak Jan;PiS;82;;
171.;Naimski Piotr;PiS;82;;
172.;Szczerba Michał;PO;81;;
173.;Bramora Artur;PSL;80;;
174.;Chmielowiec Zbigniew;PiS;80;;
175.;Fabisiak Joanna;PO;80;;
176.;Kępiński Adam;SLD;80;;
177.;Kopyciński Sławomir;BC;80;;
178.;Cedzyński Jan;SLD;79;;
179.;Girzyński Zbigniew;niez.;79;;
180.;Gibała Łukasz;niez.;78;;
181.;Wielichowska Monika;PO;78;;
182.;Zubowski Wojciech;PiS;78;;
183.;Witko Marcin;PiS;77;mandat wygasł 01-12-2014;
184.;Rozenek Andrzej;BC;76;;
185.;Górski Artur;PiS;75;;
186.;Czerwiński Andrzej;PO;74;;
187.;Kłosowski Krzysztof;SLD;74;;
188.;Kołodziej Ewa;PO;74;;
189.;Pahl Witold;PO;74;;
190.;Piotrowicz Stanisław;PiS;74;;
191.;Szejnfeld Adam;PO;74;mandat wygasł 27-05-2014;
192.;Rębek Jerzy;PiS;73;mandat wygasł 03-12-2014;
193.;Budka Borys;PO;72;;
194.;Jaworski Andrzej;PiS;72;;
195.;Lamczyk Stanisław;PO;72;;
196.;Maliszewski Mirosław;PSL;72;;
197.;Mroczek Maciej;RP;72;;
198.;Piechota Sławomir Jan;PO;72;;
199.;Sadurska Małgorzata;PiS;72;mandat wygasł 07-08-2015;
200.;Sajak Paweł;PSL;72;;
201.;Suchowiejko Wiesław;PO;72;;
202.;Litwiński Arkadiusz;PO;71;;
203.;Poznański Marek;niez.;71;;
204.;Szymański Tomasz;PO;71;;
205.;Achinger Elżbieta;PO;70;ślubowała 11-07-2012;
206.;Butryn Renata;PO;70;;
207.;Grodzka Anna;niez.;70;;
208.;Oświęcimski Konstanty;PO;70;;
209.;Szydłowska Bożena;PO;70;;
210.;Macierewicz Antoni;PiS;69;;
211.;Wydrzyński Maciej;RP;69;;
212.;Rosati Dariusz;PO;68;mandat wygasł 27-05-2014;
213.;Ćwik Piotr Krzysztof;PiS;67;ślubował 05-06-2014;
214.;Kopaczewska Domicela;PO;67;;
215.;Okrągły Janina;PO;67;;
216.;Ożóg Stanisław;PiS;67;mandat wygasł 27-05-2014;
217.;Rogacki Adam;niez.;67;;
218.;Sosnowski Zbigniew;PSL;67;;
219.;Gołojuch Kazimierz;PiS;66;;
220.;Czykwin Eugeniusz;SLD;65;;
221.;Kamińska Bożena;PO;65;;
222.;Kloc Izabela;PiS;65;mandat wygasł 10-09-2014;
223.;Łuczak Mieczysław Marcin;PSL;65;mandat wygasł 02-02-2015;
224.;Palikot Janusz;RP;65;mandat wygasł 11-09-2015;
225.;Szałamacha Paweł;PiS;64;;
226.;Trybuś-Cieślar Aleksandra;PO;64;;
227.;Witek Elżbieta;PiS;64;;
228.;Smoliński Kazimierz;PiS;63;ślubował 05-06-2014;
229.;Bętkowski Andrzej;PiS;61;;
230.;Górski Tomasz;niez.;61;;
231.;Sprawka Lech;PiS;61;;
232.;Kamiński Mariusz Antoni;niez.;60;;
233.;Nykiel Mirosława;PO;60;;
234.;Szydło Beata;PiS;60;;
235.;Arndt Paweł;PO;59;;
236.;Sztorc Andrzej;PSL;59;;
237.;Śledzińska-Katarasińska Iwona;PO;59;;
238.;Wójcik Marek;PO;59;;
239.;Żmijan Stanisław;PO;59;;
240.;Arent Iwona Ewa;PiS;58;;
241.;Babinetz Piotr;PiS;58;;
242.;Janyska Maria Małgorzata;PO;58;;
243.;Sibińska Krystyna;PO;57;;
244.;Szulc Jakub;PO;57;mandat wygasł 21-08-2014;
245.;Terlecki Ryszard;PiS;57;;
246.;Augustyn Urszula;PO;56;;
247.;Gąsior-Marek Magdalena;PO;56;;
248.;Kalemba Stanisław;PSL;56;;
249.;Sądel Jerzy;PiS;56;ślubował 05-06-2014;
250.;Wontor Bogusław;SLD;56;;
251.;Kolenda-Łabuś Brygida;PO;55;;
252.;Krajewska Ligia;PO;55;;
253.;Piecha Bolesław Grzegorz;PiS;55;mandat wygasł 24-04-2013;
254.;Szarama Wojciech;PiS;55;;
255.;Kalisz Ryszard;niez.;54;;
256.;Kozdroń Jerzy;PO;54;;
257.;Bernacki Włodzimierz;PiS;53;;
258.;Fotyga Anna;PiS;53;mandat wygasł 27-05-2014;
259.;Kruk Elżbieta;PiS;53;;
260.;Miller Leszek;SLD;53;;
261.;Świat Jacek;PiS;53;;
262.;Ziętek Jerzy;niez.;53;;
263.;Gapińska Elżbieta;PO;52;;
264.;Marczułajtis-Walczak Jagna;PO;52;;
265.;Pomaska Agnieszka;PO;52;;
