kto;klub;l.glos;p.glos;l.interp;l.interp.nb;l.wystap;uwagi
Górczyński Artur;SLD;6079;96.52;213;0;113;
Górczyński Jarosław;PSL;3972;93.48;124;0;123;mandat wygasł 10-12-2014
Górski Artur;PiS;3457;54.89;96;1;75;
Górski Tomasz;?NZ;5088;80.79;64;0;61;
Gądek Lidia;PO;6183;98.17;389;0;195;
Gąsior-Marek Magdalena;PO;6243;99.13;99;0;56;
Głogowski Tomasz;PO;6147;97.60;33;0;22;
Głuchowski Krzysztof;PiS;321;99.38;0;0;2;ślubował 09-09-2015
Halicki Andrzej;PO;5977;94.90;21;0;43;
Hall Katarzyna;PO;5948;94.44;15;0;28;
Hanajczyk Agnieszka;PO;6282;99.75;73;0;34;
Henczyca Bożena;PO;1923;93.85;4;0;15;ślubowała 17-12-2014
Hoc Czesław;PiS;6134;97.40;82;0;129;
Hofman Adam;?NZ;4915;78.04;4;0;1;
Hok Marek;PO;6030;95.74;77;0;30;
Hoppe Teresa;PO;6259;99.38;20;0;51;
Hrynkiewicz Józefa;PiS;5774;91.68;78;0;212;
Huskowski Stanisław;PO;6018;95.55;2;0;17;
Iwiński Tadeusz;SLD;5225;82.96;41;0;366;
Jach Michał;PiS;6115;97.09;79;0;94;
Jackiewicz Dawid;PiS;2711;80.45;206;2;42;mandat wygasł 27-05-2014
Jagiełło Jarosław Tomasz;?NZ;5996;95.36;65;0;28;ślubował 17-11-2011
Jagła Robert;PO;2364;93.88;12;0;13;ślubował 27-08-2014
Jaki Patryk;ZP;5681;90.20;74;0;125;
Janczyk Wiesław;PiS;6203;98.49;208;0;129;
Janik Grzegorz;PiS;4354;97.08;45;0;21;ślubował 08-05-2013
Janik Renata;PO;3947;98.31;14;0;22;ślubowała 11-09-2013
Janyska Maria Małgorzata;PO;6285;99.79;48;1;58;
Jarmuziewicz Tadeusz;PO;5879;93.35;1;0;7;
Jaros Michał;PO;6095;96.78;97;0;29;
Jasiński Wojciech;PiS;5779;91.76;14;0;36;
Jastrzębski Leszek;PO;5957;94.59;12;0;5;
Jaworski Andrzej;PiS;5663;89.92;46;0;72;
Joński Dariusz;SLD;5872;93.24;87;1;187;
Jurgiel Krzysztof;PiS;5358;85.07;131;0;119;
Jędrysek Mariusz Orion;PiS;5421;86.07;83;0;190;
Kabaciński Michał;RP;5610;89.08;91;0;185;
Kaczmarek Tomasz;?NZ;3380;69.43;79;0;15;mandat wygasł 06-03-2015
Kaczor Roman;PO;6085;96.62;79;0;18;
Kaczyński Filip;PiS;322;99.69;0;0;1;ślubował 09-09-2015
Kaczyński Jarosław;PiS;5498;87.30;0;0;51;
Kalemba Stanisław;PSL;5784;91.84;15;0;56;
Kalisz Ryszard;?NZ;4871;77.34;62;0;54;
Kamińska Bożena;PO;6094;96.76;59;0;65;
Kamiński Mariusz Antoni;?NZ;5285;83.92;122;1;60;
Kamiński Mariusz;PiS;5969;94.78;16;0;9;
Kamiński Tomasz;SLD;5881;93.38;31;0;129;
Kania Andrzej;ZP;6274;99.62;62;0;44;
Karpiński Grzegorz;PO;2004;97.80;1;0;1;ślubował 17-12-2014
Karpiński Włodzimierz;PO;6076;96.48;2;0;0;
Kasprzak Mieczysław;PSL;5966;94.73;12;0;111;
Katulski Jarosław;PO;4044;95.18;29;0;31;mandat wygasł 05-12-2014
Kaźmierczak Jan;PO;6274;99.62;38;0;34;
Kempa Beata;ZP;5556;88.22;330;0;209;
Kidawa-Błońska Małgorzata;PO;5997;95.22;10;0;14;
Kierwiński Marcin;PO;6112;97.05;51;0;27;
Klepacz Witold;SLD;5634;89.46;123;2;99;
Kloc Izabela;PiS;3397;87.80;82;0;65;mandat wygasł 10-09-2014
Kluzik-Rostkowska Joanna;PO;6176;98.06;1;0;16;
Kmiecik Henryk;PSL;5723;90.87;1383;23;215;
Kochan Magdalena;PO;6202;98.48;4;0;92;
Kolenda-Łabuś Brygida;PO;5875;93.28;68;0;55;
Konwiński Zbigniew;PO;6290;99.87;33;0;44;
Kopacz Ewa;PO;5392;85.61;0;0;0;
Kopaczewska Domicela;PO;6166;97.90;29;0;67;
Kopyciński Sławomir;BC;5472;86.88;29;0;80;
Korzeniowski Leszek;PO;5763;91.51;13;0;25;
Kosecki Roman Jacek;PO;6154;97.71;5;0;13;
Kotliński Roman;?NZ;4520;71.77;103;1;93;
Kowalczyk Henryk;PiS;6144;97.55;9;0;129;
Kowalski Sławomir;PO;6047;96.01;110;0;24;
Kownacki Bartosz;PiS;5634;89.46;74;0;87;
Kozaczyński Jacek;PO;6286;99.81;3;0;9;
Kozdroń Jerzy;PO;6240;99.08;2;0;54;
Kozłowska Iwona;PO;6291;99.89;270;0;85;
Kozłowska-Rajewicz Agnieszka;PO;3340;99.11;5;0;1;mandat wygasł 27-05-2014
Kołacz-Leszczyńska Agnieszka;PO;6232;98.95;60;0;31;
Kołakowski Lech;PiS;6205;98.52;85;0;23;
Kołakowski Robert;PiS;5866;93.14;18;0;7;
Kołodziej Ewa;PO;6150;97.65;130;0;74;
Koźlakiewicz Mirosław;PO;5789;91.92;34;0;8;
Kraczkowski Maks;PiS;5692;90.38;359;1;28;
Krajewska Ligia;PO;6261;99.41;29;0;55;
Krasulski Leonard;PiS;6203;98.49;13;0;13;
Kropiwnicki Robert;PO;6241;99.09;45;0;101;
Kruk Elżbieta;PiS;5151;81.79;38;0;53;
Krupa Łukasz;?NZ;5382;85.46;41;0;112;
Krysztofiak Przemysław;PO;2045;99.80;8;0;4;ślubował 17-12-2014
Krząkała Marek;PO;6288;99.84;191;0;50;
Król Piotr;PiS;2831;98.88;24;1;27;ślubował 05-06-2014
Królikowska-Kińska Elżbieta;PO;4084;99.61;6;0;29;ślubowała 27-08-2013
Kucharski Cezary;PO;5083;80.71;15;0;2;
Kuchciński Marek;PiS;5873;93.25;28;0;6;
Kudrycka Barbara;PO;3170;94.07;4;0;1;mandat wygasł 27-05-2014
Kulas Jan;PO;1626;99.69;1;0;49;ślubował 04-02-2015
Kulesza Tomasz;PO;6006;96.50;44;0;41;ślubował 22-12-2011
Kuźmiuk Zbigniew;PiS;3218;95.49;40;0;474;mandat wygasł 27-05-2014
Kwiatkowski Adam;PiS;5264;88.10;352;2;110;mandat wygasł 07-08-2015
Kwiatkowski Jacek;RP;6074;96.44;167;0;100;
Kwiatkowski Krzysztof;PO;2190;99.64;65;0;17;mandat wygasł 09-08-2013
Kwitek Marek;PiS;2286;96.42;10;0;11;ślubował 01-10-2014
Kępiński Adam;SLD;5684;90.25;418;3;80;
Kłopotek Eugeniusz;PSL;5299;84.14;30;1;45;
Kłosin Krystyna;PO;6281;99.73;47;0;87;
Kłosowski Krzysztof;SLD;5834;92.63;133;4;74;
Kłosowski Sławomir;PiS;5813;92.30;5;0;107;
Lamczyk Stanisław;PO;6208;98.57;31;0;72;
Lassota Józef;PO;6093;96.74;857;1;240;
Latos Tomasz;PiS;5479;87.00;133;0;139;
Lenz Tomasz;PO;6040;95.90;41;0;28;
Leszczyna Izabela;PO;6068;96.35;13;0;34;
Lewandowski Andrzej;RP;5710;90.66;116;0;35;
Lipiec Krzysztof;PiS;5984;95.01;54;0;94;
