kto;klub;l.glos;p.glos;l.interp;l.interp.nb;l.wystap;uwagi
Tusk Donald;PO;2886;71.74;0;0;0;mandat wygasł 31-10-2014
Tusk Łukasz;PO;3697;99.68;15;0;11;ślubował 22-11-2013
Tyszkiewicz Robert;PO;5881;93.38;10;0;23;
Ujazdowski Kazimierz Michał;PiS;2665;79.08;15;0;49;mandat wygasł 27-05-2014
Van der Coghen Piotr;PO;6158;97.78;18;0;22;
Vincent-Rostowski Jan;PO;6017;95.69;1;0;11;ślubował 17-11-2011
Walkowski Piotr;PSL;6085;96.62;22;0;190;
Wardzała Robert;PO;6243;99.13;61;1;13;
Warzecha Jan;PiS;6106;96.95;1399;3;479;
Waszczykowski Witold;PiS;5371;85.28;9;0;28;
Wenderlich Jerzy;SLD;5586;88.69;48;0;14;
Wielichowska Monika;PO;5929;94.14;309;0;78;
Wipler Przemysław;?NZ;5011;79.56;194;2;131;
Witczak Mariusz;PO;6204;98.51;5;0;34;
Witek Elżbieta;PiS;5946;94.41;28;0;64;
Witko Marcin;PiS;4122;98.28;14;1;77;mandat wygasł 01-12-2014
Witkowski Radosław;PO;4120;96.96;30;0;29;mandat wygasł 15-12-2014
Wiśniewska Jadwiga;PiS;3237;96.05;372;0;89;mandat wygasł 27-05-2014
Wojnarowski Norbert;PO;4421;70.20;7;0;1;
Wojtkiewicz Michał;PiS;5625;89.31;75;0;110;
Wojtkowski Marek;PO;4167;98.07;21;0;20;mandat wygasł 05-12-2014
Wolak Ewa;PO;5933;94.20;146;1;105;
Wontor Bogusław;SLD;6048;96.03;127;0;56;
Woźniak Grzegorz Adam;PiS;6173;98.02;102;1;89;
Woźniak Małgorzata;PO;1842;99.62;2;0;13;ślubowała 13-01-2015
Woźniak Tadeusz;ZP;6240;99.08;97;0;203;
Wróbel Marzena Dorota;?NZ;6165;97.89;13;0;310;
Wydrzyński Maciej;RP;5887;93.47;111;0;69;
Wziątek Stanisław;SLD;5843;92.78;159;0;128;
Wójcik Marek;PO;6286;99.81;30;0;59;
Włodkowski Zbigniew;PSL;3987;95.06;101;0;37;mandat wygasł 02-12-2014
Zaborowski Zbyszek;SLD;5724;90.89;42;0;314;
Zakrzewska Jadwiga;PO;5831;92.58;20;0;21;
Zalewska Anna;PiS;5934;94.22;34;0;102;
Zaremba Renata;PO;6173;98.02;3;0;45;
Zawadzki Ryszard;PO;6291;99.89;92;0;142;
Zawiślak Sławomir;PiS;5950;94.47;152;0;14;
Zbonikowski Łukasz;PiS;5099;80.96;173;1;44;
Zbrzyzny Ryszard;SLD;5312;84.34;68;0;579;
Zdrojewski Bogdan;PO;2968;88.07;0;0;0;mandat wygasł 27-05-2014
Zgorzelski Piotr;PSL;5600;88.92;189;0;138;
Zieliński Jarosław;PiS;6219;98.75;263;0;202;
Zieliński Maciej;PO;6234;98.98;5;0;5;
Ziemniak Wojciech;PO;6219;98.75;39;0;17;
Ziobro Jan;ZP;5985;95.03;224;3;221;
Ziobro Kazimierz;ZP;5874;93.27;233;1;105;
Ziętek Jerzy;?NZ;6146;97.59;38;0;53;
Zuba Maria;PiS;6097;96.81;243;0;249;
Zubowski Wojciech;PiS;6074;96.44;74;1;78;
Zych Józef;PSL;5405;85.82;1;0;265;
Złotowski Kosma;PiS;3141;93.20;19;0;34;mandat wygasł 27-05-2014
Ćwik Piotr Krzysztof;PiS;2856;99.76;111;0;67;ślubował 05-06-2014
Łapiński Marek;PO;6190;98.29;102;1;36;
Łatas Marek;PiS;4994;79.30;132;0;20;
Ławrynowicz Zofia;PO;6283;99.76;73;0;32;
Łopata Jan;PSL;6143;97.54;20;0;181;
Łopiński Maciej;PiS;5196;86.96;25;0;30;mandat wygasł 07-08-2015
Łuczak Mieczysław Marcin;PSL;4076;87.34;155;0;65;mandat wygasł 02-02-2015
Łybacka Krystyna;SLD;3158;93.71;131;0;130;mandat wygasł 27-05-2014
Śledzińska-Katarasińska Iwona;PO;6231;98.94;4;0;59;
Śniadek Janusz;PiS;5760;91.46;5;0;49;
Świat Jacek;PiS;6105;96.94;40;0;53;
Święcicki Marcin;PO;6195;98.36;58;0;111;
Świło Teresa;PO;3120;99.39;12;0;41;ślubowała 19-03-2014
Żaczek Jarosław;KPSP;3794;90.40;33;0;221;mandat wygasł 03-12-2014
Żalek Jacek;ZP;5608;89.04;83;2;20;
Żelichowski Stanisław;PSL;6249;99.22;0;0;51;
Żmijan Stanisław;PO;6094;96.76;5;0;59;
Żmuda-Trzebiatowska Ewa;PO;6275;99.63;3;0;18;
Żyliński Adam;PO;4061;99.51;7;0;21;ślubował 25-01-2012mandat wygasł 02-12-2014
Żyżyński Jerzy;PiS;5930;94.16;23;0;101;
