Lp.Nazwisko i imię posłaKlub/kołoLiczbainterpelacji, którym nadanobiegLiczbainterpelacji, którymnie nadanobiegu
1.;Sobecka Anna;PiS;1326;;;
2.;Szlachta Andrzej;PiS;1114;;;
3.;Moskal Kazimierz;PiS;1003;;;
4.;Matwiejuk Jarosław;SLD;846;;;
5.;Stec Stanisław;SLD;441;;;
6.;Tomaszewski Tadeusz;SLD;395;;;
7.;Brejza Krzysztof;PO;365;;;
8.;Chmielowiec Zbigniew;PiS;341;;;
9.;Arkit Tadeusz;PO;280;;;
10.;Rojek Józef;PiS;273;;;
11.;Kozak Zbigniew;PiS;264;;;
12.;Orzechowski Maciej;PO;258;;;
13.;Bartuś Barbara;PiS;252;;;
14.;Zawiślak Sławomir;PiS;250;;;
15.;Telus Robert;PiS;236;;;
16.;Seliga Dariusz;PiS;233;;;
17.;Siedlaczek Henryk;PO;223;;;
18.;Sońta Krzysztof;PiS;218;;;
19.;Wielichowska Monika;PO;215;;;
20.;Nowak Tomasz Piotr;PO;202;;;
21.;Rusiecki Jarosław;PiS;201;;;
22.;Szarama Wojciech;PiS;199;;;
23.;Putra Krzysztof;PiS;196;;mandat wygasł 10-04-2010;
24.;Lipiński Dariusz;PO;188;;;
25.;Żukowski Wojciech;PiS;182;;mandat wygasł 07-12-2010;
26.;Kotkowska Bożena;SLD;176;;;
27.;Łybacka Krystyna;SLD;176;;;
28.;Kochan Witold;PO;172;;mandat wygasł 07-12-2010;
29.;Krząkała Marek;PO;169;;;
30.;Mucha Joanna;PO;166;;;
31.;Zieliński Marek;PO;165;;;
32.;Roszak Grzegorz;PO;164;;;
33.;Zuba Maria;PiS;164;;;
34.;Gąsior-Marek Magdalena;PO;161;;;
35.;Kamiński Jan;PSL;161;;;
36.;Wiśniewska Jadwiga;PiS;161;;;
37.;Zbonikowski Łukasz;PiS;161;;;
38.;Łuczak Mieczysław Marcin;PSL;160;;;
39.;Mazurek Beata;PiS;160;;;
40.;Matuszczak Zbigniew;SLD;157;;;
41.;Stanke Piotr;PiS;156;;;
42.;Jurgiel Krzysztof;PiS;155;;;
43.;Grad Mariusz;PO;152;;;
44.;Godson John Abraham;PO;150;;ślubował 14-12-2010;
45.;Bury Jan s. Antoniego;PiS;149;;;
46.;Polak Marek;PiS;149;;;
47.;Stawiarski Jarosław;PiS;149;;;
48.;Wilk Wojciech;PO;148;;;
49.;Streker-Dembińska Elżbieta;SLD;147;;;
50.;Fiedler Arkady;PO;144;;;
51.;Karpiński Włodzimierz;PO;144;;;
52.;Ożóg Stanisław;PiS;144;;;
53.;Milcarz Henryk;SLD;142;;;
54.;Żaczek Jarosław;PiS;141;;;
55.;Andzel Waldemar;PiS;139;;;
56.;Osuch Jacek;PiS;137;;;
57.;Kraczkowski Maks;PiS;134;;;
58.;Wziątek Stanisław;SLD;133;;;
59.;Pilch Jacek;PJN;131;;;
60.;Dzikowski Waldy;PO;130;;;
61.;Górski Artur;PiS;130;;;
62.;Sadurska Małgorzata;PiS;130;;;
63.;Szczepański Wiesław Andrzej;SLD;129;;;
64.;Polaczek Jerzy;PiS;126;;;
65.;Tyszkiewicz Krzysztof;PO;126;;;
66.;Piotrowska Teresa;PO;125;;;
67.;Dolata Zbigniew;PiS;122;;;
68.;Paluch Anna;PiS;122;;;
69.;Libicki Jan Filip;PO;119;;ślubował 22-01-2008;
70.;Tomczak Jacek;PO;118;;;
71.;Kulas Jan;PO;117;;;
72.;Latos Tomasz;PiS;117;;;
73.;Opioła Marek;PiS;116;;;
74.;Klim Józef Piotr;PO;114;;;
75.;Tomczyk Cezary;PO;114;;;
76.;Kopyciński Sławomir;SLD;109;;;
77.;Lenz Tomasz;PO;108;;;
78.;Wolak Ewa;PO;108;;;
79.;Mrzygłocka Izabela Katarzyna;PO;107;;;
80.;Karasiewicz Lucjan;PJN;105;;;
81.;Gadowski Krzysztof;PO;103;;;
82.;Jaros Michał;PO;101;;;
83.;Krupa Adam;PO;100;;;
84.;Pisalski Grzegorz;PO;100;;;
85.;Małecka-Libera Beata;PO;99;;;
86.;Masłowska Gabriela;PiS;99;;;
87.;Kołakowski Lech;PiS;97;;;
88.;Gosiewski Jerzy;PiS;96;;;
89.;Kozłowska-Rajewicz Agnieszka;PO;96;;;
90.;Bukiewicz Bożenna;PO;95;;;
91.;Kloc Izabela;PiS;93;;;
92.;Kossakowski Wojciech;PiS;91;;ślubował 11-02-2009;
93.;Pięta Jarosław;PO;91;;;
94.;Rydzoń Stanisław;SLD;91;;;
95.;Gierada Artur;PO;90;;;
