idK;name;nrK;nrL;lista
8a8a8a820e3bbef2010e3ced9ccb0fab;Kamiński Jan;1;1;PSL
8a8a8a820e3bbef2010e3cf151af0fd9;Sienkiewicz Jerzy;2;1;PSL
8a8a8a820e3bbef2010e3cf3b8340ff3;Kruchelski Adam;3;1;PSL
8a8a8a820e3bbef2010e3cf6473e1007;Sokołowski Franciszek;4;1;PSL
8a8a8a820e3bbef2010e3cf8308f1014;Dorochowicz Mirosława;5;1;PSL
8a8a8a820e3bbef2010e3cfb356f1039;Zieziula Ewa;6;1;PSL
8a8a8a820e3bbef2010e3cfe3d2a105c;Owcarz Jan;7;1;PSL
8a8a8a820e3bbef2010e3d006b2f107a;Chmielewski Marian;8;1;PSL
8a8a8a820e3bbef2010e3d02ca2810a3;Strzyżewski Tadeusz;9;1;PSL
8a8a8a820e3bbef2010e3d04d91410b0;Jasionowski Ignacy;10;1;PSL
8a8a8a820e3bbef2010e3ccd6e230e1e;Paszkiewicz Bolesław;1;2;LPR
8a8a8a820e3bbef2010e3cd01ee70e3d;Sobolewski Zygmunt;2;2;LPR
8a8a8a820e3bbef2010e3cd548730e88;Laskowski Józef;3;2;LPR
8a8a8a820e3bbef2010e3cdbb5780edd;Osiecki Zygmunt;4;2;LPR
8a8a8a820e3bbef2010e3cde63fc0f03;Kamiński Kamil Hipolit;5;2;LPR
8a8a8a820e3bbef2010e3ce1db860f2d;Radzewicz Józef;6;2;LPR
8a8a8a820e3bbef2010e3ce4c2a20f4b;Basiewicz Mirosław;7;2;LPR
8a8a8a820e3bbef2010e3d3d1bf8122f;Szuszczyński Paweł;1;3;PEiR
8a8a8a820e3bbef2010e3d3e8b20123d;Wysocki Ryszard;2;3;PEiR
8a8a8a820e3bbef2010e3d403e221248;Malinowski Stanisław;3;3;PEiR
8a8a8a820e3bbef2010e3d430da0125a;Czyżyńska Jadwiga Augustyna;4;3;PEiR
8a8a8a820e3bbef2010e3d44b9361265;Chorużyk Aneta;5;3;PEiR
8a8a8a820e3bbef2010e3d46290d126a;Pachucka Joanna;6;3;PEiR
8a8a8a820e3bbef2010e3d49a0301281;Żywalewska Izabela;7;3;PEiR
8a8a8a820e3bbef2010e3d4b2c7e128a;Wasilewski Stanisław;8;3;PEiR
8a8a8a830e424cf8010e433681501132;Dec Leszek;1;4;PiS
8a8a8a830e424cf8010e4338d2cc1159;Wierzbicka Barbara;2;4;PiS
8a8a8a830e424cf8010e433aa4a91178;Buchowski Stanisław;3;4;PiS
8a8a8a830e424cf8010e433c33f11191;Bargłowski Krzysztof;4;4;PiS
8a8a8a830e424cf8010e433d793d11ab;Czerwiecki Tadeusz;5;4;PiS
8a8a8a830e424cf8010e433f286d11c2;Krzywiński Wojciech Szymon;6;4;PiS
8a8a8a830e424cf8010e43443d88122c;Łapiński Ryszard;7;4;PiS
8a8a8a830e424cf8010e435434a1135e;Łukaszewicz Krystyna Elżbieta;8;4;PiS
8a8a8a830e424cf8010e43563e4f1386;Paluch Czesław Ludwik;9;4;PiS
8a8a8a820e3f65e3010e41b8a6df1b3b;Cieślukowski Cezary;1;5;PO
8a8a8a820e3f65e3010e41baba961b68;Demiańczuk Jerzy;2;5;PO
8a8a8a820e3f65e3010e41bca7f11ba3;Kwaterski Waldemar;3;5;PO
8a8a8a820e3f65e3010e41c1c4131c38;Ordonowska Beata Henryka;4;5;PO
8a8a8a820e3f65e3010e41c383ce1c64;Stelmaszek Grzegorz;5;5;PO
8a8a8a820e3f65e3010e41c599b11c8a;Baczyńska Irena;6;5;PO
8a8a8a820e3f65e3010e41c8b5601cce;Wiśniewski Tadeusz Stanisław;7;5;PO
8a8a8a820e3f65e3010e41cbf5c01d15;Majka Andrzej Eugeniusz;8;5;PO
8a8a8a820e3f65e3010e41cf15761d4e;Chodkiewicz Eleonora Urszula;9;5;PO
8a8a8a820e3f65e3010e41d1f13b1d84;Kołtek Piotr;10;5;PO
8a8a8a840e38f711010e3b101a1a0013;Krzyżewski Janusz Kazimierz;1;6;SLD
8a8a8a840e38f711010e3b12009a0015;Łoboda Mirosław Henryk;2;6;SLD
8a8a8a840e38f711010e3b16cc920025;Wydra Jan;3;6;SLD
8a8a8a840e38f711010e3b18604a0027;Kłaczkowski Tadeusz;4;6;SLD
8a8a8a840e38f711010e3b1a1b8a002f;Sówka Stanisław;5;6;SLD
8a8a8a840e38f711010e3b1c076c0031;Jaśkiewicz Zdzisław;6;6;SLD
8a8a8a840e38f711010e3b1de10d0033;Godlewski Robert;7;6;SLD
8a8a8a840e3f65e6010e420c91532058;Chmielewski Andrzej Eugeniusz;1;7;Samoobrona
8a8a8a840e3f65e6010e42118b2720ea;Pietrołaj Wiesław Eugeniusz;2;7;Samoobrona
