"teryt";"lgw";"pis";"po";"d3";"pis.p";"po.p";"d3.p"
"";96603;19534;39486;5341;20.2209041127087;40.8745070028881;5.5288138049543
"020101";11285;3434;4974;533;30.4297740363314;44.0762073548959;4.72308373947718
"020102";4146;1620;1391;220;39.0738060781476;33.5504100337675;5.30631934394597
"020103";1281;686;307;45;53.551912568306;23.9656518345043;3.51288056206089
"020104";3270;1625;725;180;49.6941896024465;22.17125382263;5.5045871559633
"020105";1519;564;525;78;37.1296905859118;34.5622119815668;5.13495720868993
"020106";2013;916;550;67;45.5042225534029;27.3224043715847;3.32836562344759
"020201";7939;2818;3150;452;35.4956543645295;39.6775412520469;5.69341226854768
"020202";9704;3244;4262;440;33.4295136026381;43.9200329760923;4.53421269579555
"020203";2402;963;858;115;40.0915903413822;35.7202331390508;4.78767693588676
"020204";1433;592;434;117;41.3119330076762;30.2861130495464;8.16468946266574
"020205";2806;1209;859;212;43.0862437633642;30.6129722024234;7.55523877405559
"020206";2023;1090;500;92;53.8803756796836;24.7157686604053;4.54770143351458
"020207";1369;593;461;58;43.3162892622352;33.6742147552958;4.23666910153397
"020301";18737;6544;6787;843;34.9255483802103;36.2224475636441;4.49911938944335
"020302";2072;813;677;102;39.2374517374517;32.6737451737452;4.92277992277992
"020303";1761;600;577;117;34.0715502555366;32.7654741624077;6.64395229982964
"020304";1076;485;308;37;45.0743494423792;28.6245353159851;3.43866171003717
"020305";555;282;96;43;50.8108108108108;17.2972972972973;7.74774774774775
"020306";834;378;196;43;45.3237410071942;23.5011990407674;5.15587529976019
"020401";4382;1659;1586;217;37.8594249201278;36.1935189411228;4.95207667731629
"020402";630;291;125;25;46.1904761904762;19.8412698412698;3.96825396825397
"020403";995;546;167;45;54.8743718592965;16.78391959799;4.52261306532663
"020404";1668;673;531;80;40.347721822542;31.8345323741007;4.79616306954436
"020501";6438;2492;2628;218;38.7076731904318;40.8201304753029;3.38614476545511
"020502";2480;957;915;137;38.5887096774194;36.8951612903226;5.5241935483871
"020503";1394;643;386;67;46.1262553802009;27.6901004304161;4.80631276901004
"020504";1036;430;395;42;41.5057915057915;38.1274131274131;4.05405405405405
"020505";1156;474;371;60;41.0034602076125;32.0934256055363;5.19031141868512
"020506";939;402;269;84;42.8115015974441;28.6474973375932;8.94568690095847
"020601";1879;401;962;116;21.3411389036722;51.1974454497073;6.17349654071315
"020602";2885;807;1228;170;27.9722703639515;42.5649913344887;5.89254766031196
"020603";1757;493;761;102;28.0591918042117;43.3124644280023;5.8053500284576
"020604";2109;559;979;122;26.5054528212423;46.4201043148412;5.78473210052157
"020605";1214;362;538;60;29.8187808896211;44.3163097199341;4.94233937397035
"020606";2306;553;1134;163;23.98091934085;49.1760624457936;7.06851691240243
"020607";2834;846;1210;203;29.8517995765702;42.6958362738179;7.16302046577276
"020608";2488;626;1224;123;25.1607717041801;49.1961414790997;4.94372990353698
"020609";1305;463;497;73;35.4789272030651;38.0842911877395;5.59386973180077
"020701";4825;1656;2103;150;34.3212435233161;43.5854922279793;3.10880829015544
"020702";2489;1008;904;107;40.498192044998;36.3198071514665;4.29891522699879
"020703";2883;984;1225;140;34.1311134235172;42.4904613250087;4.85605272285813
"020704";1013;387;392;42;38.2033563672261;38.6969397828233;4.14610069101678
"020801";1472;488;655;64;33.1521739130435;44.4972826086957;4.34782608695652
"020802";7722;2446;3570;406;31.6757316757317;46.2315462315462;5.25770525770526
"020803";3354;1156;1465;146;34.4663088849135;43.6791890280262;4.35301132975552
"020804";5235;1616;2482;206;30.8691499522445;47.4116523400191;3.93505253104107
"020805";2396;730;1157;143;30.4674457429048;48.2888146911519;5.96828046744574
"020806";5084;2030;1994;202;39.9291896144768;39.2210857592447;3.97324940991345
"020807";4190;1819;1232;403;43.4128878281623;29.4033412887828;9.618138424821
"020808";2358;846;934;168;35.8778625954198;39.6098388464801;7.12468193384224
"020809";549;204;207;35;37.1584699453552;37.7049180327869;6.3752276867031
"020810";1795;717;663;96;39.9442896935933;36.9359331476323;5.34818941504178
"020811";2809;1014;1063;171;36.0982556069776;37.8426486294055;6.0875756496974
"020812";2178;926;728;106;42.5160697887971;33.425160697888;4.86685032139578
"020813";1882;559;801;114;29.7024442082891;42.5611052072264;6.05738575982997
"020814";1822;615;764;101;33.7541163556531;41.9319429198683;5.54335894621295
"020901";3417;1324;1286;128;38.7474392742172;37.6353526485221;3.74597600234123
