"Kod TERYT";"Gmina";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"060117";"gm. Tuczna";"bialski";"lubelskie";"49,57";"2,06";"50,00";"50,00";"0,00";"97,94";"11,16";"";"5,09";"13,10";"";"65,56";"";"4,20";"0,89";""
"060118";"gm. Wisznice";"bialski";"lubelskie";"55,78";"0,94";"71,43";"28,57";"0,00";"99,06";"17,72";"";"5,04";"12,28";"";"58,90";"";"4,81";"1,26";""
"060119";"gm. Zalesie";"bialski";"lubelskie";"52,32";"1,67";"93,55";"6,45";"0,00";"98,33";"19,78";"";"5,05";"12,64";"";"58,35";"";"3,57";"0,60";""
"060201";"m. Biłgoraj";"biłgorajski";"lubelskie";"60,16";"0,67";"58,33";"41,67";"0,00";"99,33";"14,12";"";"7,75";"17,77";"";"50,50";"";"9,08";"0,77";""
"060202";"gm. Aleksandrów";"biłgorajski";"lubelskie";"56,56";"1,09";"75,00";"25,00";"0,00";"98,91";"4,56";"";"8,02";"12,59";"";"71,99";"";"2,21";"0,62";""
"060203";"gm. Biłgoraj";"biłgorajski";"lubelskie";"57,66";"1,41";"70,59";"29,41";"0,00";"98,59";"2,97";"";"6,57";"22,08";"";"64,59";"";"3,32";"0,47";""
"060204";"gm. Biszcza";"biłgorajski";"lubelskie";"54,58";"1,19";"85,00";"15,00";"0,00";"98,81";"4,44";"";"5,22";"13,45";"";"72,87";"";"3,00";"1,02";""
"060205";"gm. Frampol";"biłgorajski";"lubelskie";"54,11";"0,99";"66,67";"33,33";"0,00";"99,01";"5,25";"";"7,37";"12,20";"";"69,12";"";"5,02";"1,04";""
"060206";"gm. Goraj";"biłgorajski";"lubelskie";"54,19";"1,46";"51,85";"48,15";"0,00";"98,54";"2,47";"";"7,35";"9,81";"";"77,03";"";"2,63";"0,71";""
"060207";"gm. Józefów";"biłgorajski";"lubelskie";"49,82";"1,27";"83,33";"16,67";"0,00";"98,73";"9,19";"";"7,55";"13,41";"";"60,01";"";"9,08";"0,75";""
"060208";"gm. Księżpol";"biłgorajski";"lubelskie";"55,15";"1,55";"59,57";"40,43";"0,00";"98,45";"10,05";"";"6,92";"9,44";"";"69,52";"";"3,60";"0,47";""
"060209";"gm. Łukowa";"biłgorajski";"lubelskie";"55,54";"0,94";"88,89";"11,11";"0,00";"99,06";"6,52";"";"4,98";"11,13";"";"73,87";"";"3,23";"0,26";""
"060210";"gm. Obsza";"biłgorajski";"lubelskie";"53,23";"1,89";"77,14";"22,86";"0,00";"98,11";"5,57";"";"6,02";"8,89";"";"76,05";"";"2,92";"0,55";""
"060211";"gm. Potok Górny";"biłgorajski";"lubelskie";"56,19";"1,11";"46,43";"53,57";"0,00";"98,89";"2,68";"";"6,63";"9,54";"";"78,27";"";"2,08";"0,80";""
"060212";"gm. Tarnogród";"biłgorajski";"lubelskie";"58,86";"1,34";"66,67";"33,33";"0,00";"98,66";"8,97";"";"5,97";"10,16";"";"68,89";"";"5,45";"0,55";""
"060213";"gm. Tereszpol";"biłgorajski";"lubelskie";"53,01";"1,07";"50,00";"50,00";"0,00";"98,93";"4,21";"";"7,52";"15,70";"";"66,67";"";"4,87";"1,02";""
"060214";"gm. Turobin";"biłgorajski";"lubelskie";"60,12";"0,94";"75,86";"24,14";"0,00";"99,06";"3,98";"";"4,14";"7,37";"";"78,97";"";"4,73";"0,82";""
"060301";"m. Rejowiec Fabryczny";"chełmski";"lubelskie";"47,74";"1,74";"60,00";"40,00";"0,00";"98,26";"20,84";"";"6,91";"5,90";"";"58,15";"";"7,08";"1,12";""
"060302";"gm. Białopole";"chełmski";"lubelskie";"45,45";"1,74";"57,89";"42,11";"0,00";"98,26";"13,67";"";"5,02";"11,16";"";"62,42";"";"7,35";"0,37";""
"060303";"gm. Chełm";"chełmski";"lubelskie";"53,37";"1,38";"60,00";"40,00";"0,00";"98,62";"19,61";"";"6,99";"9,04";"";"56,96";"";"6,35";"1,04";""
"060304";"gm. Dorohusk";"chełmski";"lubelskie";"51,28";"1,97";"65,38";"34,62";"0,00";"98,03";"11,62";"";"5,89";"11,12";"";"65,76";"";"4,45";"1,16";""
"060305";"gm. Dubienka";"chełmski";"lubelskie";"48,33";"1,99";"47,37";"52,63";"0,00";"98,01";"16,04";"";"6,84";"14,76";"";"54,12";"";"7,17";"1,07";""
"060306";"gm. Kamień";"chełmski";"lubelskie";"48,88";"2,33";"73,68";"26,32";"0,00";"97,67";"14,38";"";"8,22";"9,04";"";"62,84";"";"4,96";"0,56";""
"060307";"gm. Leśniowice";"chełmski";"lubelskie";"43,82";"2,84";"76,32";"23,68";"0,00";"97,16";"13,79";"";"4,62";"15,49";"";"58,78";"";"6,01";"1,31";""
"060308";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";"46,62";"2,06";"72,73";"27,27";"0,00";"97,94";"11,60";"";"3,95";"7,71";"";"71,13";"";"4,46";"1,15";""
"060309";"gm. Ruda-Huta";"chełmski";"lubelskie";"51,00";"3,85";"78,87";"21,13";"0,00";"96,15";"5,76";"";"3,67";"40,77";"";"46,81";"";"2,60";"0,40";""
"060310";"gm. Sawin";"chełmski";"lubelskie";"47,54";"1,98";"83,33";"16,67";"0,00";"98,02";"16,03";"";"7,85";"12,33";"";"58,93";"";"3,95";"0,91";""
"060311";"gm. Siedliszcze";"chełmski";"lubelskie";"43,99";"1,63";"71,79";"28,21";"0,00";"98,37";"15,00";"";"5,40";"6,33";"";"67,20";"";"5,23";"0,85";""
"060312";"gm. Wierzbica";"chełmski";"lubelskie";"49,68";"1,67";"73,53";"26,47";"0,00";"98,33";"21,07";"";"4,50";"5,46";"";"65,82";"";"2,50";"0,65";""
"060313";"gm. Wojsławice";"chełmski";"lubelskie";"47,62";"1,86";"89,29";"10,71";"0,00";"98,14";"12,02";"";"5,06";"8,58";"";"70,76";"";"3,04";"0,54";""
"060314";"gm. Żmudź";"chełmski";"lubelskie";"46,05";"1,62";"63,16";"36,84";"0,00";"98,38";"13,53";"";"6,07";"11,54";"";"64,01";"";"3,82";"1,04";""
"060315";"gm. Rejowiec";"chełmski";"lubelskie";"45,60";"2,14";"44,00";"56,00";"0,00";"97,86";"20,03";"";"6,65";"6,21";"";"60,56";"";"5,86";"0,70";""
"060401";"m. Hrubieszów";"hrubieszowski";"lubelskie";"53,33";"1,00";"68,35";"31,65";"0,00";"99,00";"12,57";"";"4,96";"9,75";"";"49,83";"";"22,03";"0,86";""
"060402";"gm. Dołhobyczów";"hrubieszowski";"lubelskie";"43,08";"1,51";"68,97";"31,03";"0,00";"98,49";"4,12";"";"3,33";"20,15";"";"65,15";"";"6,72";"0,53";""
"060403";"gm. Horodło";"hrubieszowski";"lubelskie";"44,78";"1,96";"83,78";"16,22";"0,00";"98,04";"7,07";"";"4,80";"12,20";"";"65,41";"";"9,55";"0,97";""
"060404";"gm. Hrubieszów";"hrubieszowski";"lubelskie";"47,22";"1,42";"78,18";"21,82";"0,00";"98,58";"5,49";"";"4,02";"12,03";"";"68,24";"";"9,56";"0,66";""
"060405";"gm. Mircze";"hrubieszowski";"lubelskie";"46,12";"1,94";"50,00";"50,00";"0,00";"98,06";"5,13";"";"4,77";"20,64";"";"61,95";"";"6,63";"0,88";""
"060406";"gm. Trzeszczany";"hrubieszowski";"lubelskie";"47,84";"1,51";"84,00";"16,00";"0,00";"98,49";"5,96";"";"4,30";"8,60";"";"71,36";"";"8,97";"0,80";""
"060407";"gm. Uchanie";"hrubieszowski";"lubelskie";"50,95";"2,12";"65,85";"34,15";"0,00";"97,88";"3,92";"";"3,44";"12,96";"";"74,55";"";"4,66";"0,48";""
"060408";"gm. Werbkowice";"hrubieszowski";"lubelskie";"49,59";"1,28";"77,55";"22,45";"0,00";"98,72";"6,22";"";"5,40";"11,09";"";"69,87";"";"6,54";"0,87";""
"060501";"gm. Batorz";"janowski";"lubelskie";"62,38";"2,19";"69,44";"30,56";"0,00";"97,81";"2,74";"";"5,54";"9,46";"";"78,72";"";"3,11";"0,44";""
"060502";"gm. Chrzanów";"janowski";"lubelskie";"64,27";"0,52";"75,00";"25,00";"0,00";"99,48";"1,31";"";"3,13";"7,51";"";"86,16";"";"1,50";"0,39";""
"060503";"gm. Dzwola";"janowski";"lubelskie";"61,21";"1,12";"45,71";"54,29";"0,00";"98,88";"1,69";"";"5,91";"6,30";"";"83,90";"";"1,91";"0,29";""
"060504";"gm. Godziszów";"janowski";"lubelskie";"69,33";"0,98";"37,50";"62,50";"0,00";"99,02";"0,96";"";"4,02";"3,93";"";"88,87";"";"2,04";"0,19";""
"060505";"gm. Janów Lubelski";"janowski";"lubelskie";"60,28";"0,86";"43,94";"56,06";"0,00";"99,14";"11,27";"";"6,49";"5,93";"";"68,93";"";"6,61";"0,77";""
"060506";"gm. Modliborzyce";"janowski";"lubelskie";"54,40";"1,79";"45,45";"54,55";"0,00";"98,21";"7,14";"";"5,03";"8,56";"";"74,34";"";"4,17";"0,76";""
"060507";"gm. Potok Wielki";"janowski";"lubelskie";"51,97";"1,67";"48,48";"51,52";"0,00";"98,33";"5,49";"";"4,11";"8,21";"";"75,67";"";"6,01";"0,51";""
"060601";"m. Krasnystaw";"krasnostawski";"lubelskie";"55,77";"1,21";"57,69";"42,31";"0,00";"98,79";"24,99";"";"7,18";"7,23";"";"49,25";"";"10,34";"1,00";""
"060602";"gm. Fajsławice";"krasnostawski";"lubelskie";"58,39";"0,85";"47,37";"52,63";"0,00";"99,15";"7,12";"";"7,12";"9,57";"";"70,48";"";"4,22";"1,50";""
"060603";"gm. Gorzków";"krasnostawski";"lubelskie";"50,17";"0,88";"69,23";"30,77";"0,00";"99,12";"8,19";"";"5,05";"13,11";"";"67,37";"";"4,98";"1,30";""
"060604";"gm. Izbica";"krasnostawski";"lubelskie";"50,49";"0,96";"66,67";"33,33";"0,00";"99,04";"9,05";"";"5,25";"9,88";"";"67,75";"";"7,13";"0,94";""
"060605";"gm. Krasnystaw";"krasnostawski";"lubelskie";"50,10";"1,17";"65,85";"34,15";"0,00";"98,83";"14,44";"";"6,76";"8,58";"";"62,83";"";"6,38";"1,01";""
"060606";"gm. Kraśniczyn";"krasnostawski";"lubelskie";"47,95";"2,50";"39,47";"60,53";"0,00";"97,50";"9,39";"";"4,39";"11,42";"";"65,00";"";"8,45";"1,35";""
"060607";"gm. Łopiennik Górny";"krasnostawski";"lubelskie";"47,38";"1,22";"42,11";"57,89";"0,00";"98,78";"8,39";"";"6,31";"7,02";"";"73,28";"";"4,23";"0,78";""
"060609";"gm. Rudnik";"krasnostawski";"lubelskie";"48,13";"0,96";"75,00";"25,00";"0,00";"99,04";"6,79";"";"3,72";"14,15";"";"69,44";"";"5,01";"0,89";""
"060610";"gm. Siennica Różana";"krasnostawski";"lubelskie";"49,90";"2,20";"55,26";"44,74";"0,00";"97,80";"13,88";"";"5,73";"21,38";"";"50,50";"";"7,74";"0,77";""
"060611";"gm. Żółkiewka";"krasnostawski";"lubelskie";"48,91";"2,32";"71,15";"28,85";"0,00";"97,68";"6,64";"";"3,52";"8,79";"";"75,19";"";"4,81";"1,05";""
"060701";"m. Kraśnik";"kraśnicki";"lubelskie";"58,13";"1,32";"63,16";"36,84";"0,00";"98,68";"22,66";"";"5,24";"9,17";"";"53,22";"";"8,89";"0,82";""
"060702";"gm. Annopol";"kraśnicki";"lubelskie";"52,29";"1,75";"57,81";"42,19";"0,00";"98,25";"7,98";"";"3,40";"17,18";"";"65,50";"";"5,13";"0,81";""
"060703";"gm. Dzierzkowice";"kraśnicki";"lubelskie";"55,01";"1,16";"59,26";"40,74";"0,00";"98,84";"8,32";"";"5,11";"16,55";"";"64,43";"";"4,51";"1,08";""
"060704";"gm. Gościeradów";"kraśnicki";"lubelskie";"52,18";"2,14";"71,88";"28,12";"0,00";"97,86";"5,19";"";"3,62";"25,22";"";"62,18";"";"3,17";"0,61";""
"060705";"gm. Kraśnik";"kraśnicki";"lubelskie";"56,25";"1,09";"62,86";"37,14";"0,00";"98,91";"8,91";"";"6,74";"13,52";"";"63,64";"";"6,05";"1,13";""
"060706";"gm. Szastarka";"kraśnicki";"lubelskie";"56,49";"1,16";"48,39";"51,61";"0,00";"98,84";"4,94";"";"2,47";"7,94";"";"80,50";"";"3,61";"0,53";""
"060707";"gm. Trzydnik Duży";"kraśnicki";"lubelskie";"50,74";"1,48";"56,41";"43,59";"0,00";"98,52";"7,03";"";"4,21";"14,98";"";"66,64";"";"5,91";"1,24";""
"060708";"gm. Urzędów";"kraśnicki";"lubelskie";"55,37";"1,65";"53,97";"46,03";"0,00";"98,35";"7,76";"";"4,57";"16,55";"";"66,71";"";"3,61";"0,80";""
"060709";"gm. Wilkołaz";"kraśnicki";"lubelskie";"61,64";"0,98";"73,08";"26,92";"0,00";"99,02";"4,95";"";"6,97";"9,86";"";"73,54";"";"3,73";"0,95";""
"060710";"gm. Zakrzówek";"kraśnicki";"lubelskie";"55,54";"1,10";"56,25";"43,75";"0,00";"98,90";"6,41";"";"6,35";"12,10";"";"70,53";"";"3,88";"0,73";""
"060801";"m. Lubartów";"lubartowski";"lubelskie";"63,97";"0,66";"52,78";"47,22";"0,00";"99,34";"19,35";"";"13,66";"8,99";"";"46,94";"";"9,29";"1,77";""
"060802";"gm. Abramów";"lubartowski";"lubelskie";"58,93";"1,02";"55,00";"45,00";"0,00";"98,98";"2,93";"";"7,72";"10,40";"";"74,99";"";"2,83";"1,13";""
"060803";"gm. Firlej";"lubartowski";"lubelskie";"52,89";"1,56";"61,54";"38,46";"0,00";"98,44";"9,29";"";"8,92";"10,34";"";"63,57";"";"6,53";"1,34";""
"060804";"gm. Jeziorzany";"lubartowski";"lubelskie";"52,17";"2,14";"44,00";"56,00";"0,00";"97,86";"5,96";"";"5,78";"12,80";"";"70,82";"";"4,47";"0,18";""
"060805";"gm. Kamionka";"lubartowski";"lubelskie";"53,40";"1,24";"73,53";"26,47";"0,00";"98,76";"11,88";"";"7,68";"11,51";"";"61,59";"";"5,94";"1,40";""
"060806";"gm. Kock";"lubartowski";"lubelskie";"53,88";"1,37";"47,37";"52,63";"0,00";"98,63";"8,78";"";"4,90";"8,74";"";"70,35";"";"4,42";"2,82";""
"060807";"gm. Lubartów";"lubartowski";"lubelskie";"61,00";"1,04";"63,16";"36,84";"0,00";"98,96";"10,76";"";"9,12";"11,61";"";"60,61";"";"6,20";"1,69";""
"060808";"gm. Michów";"lubartowski";"lubelskie";"53,60";"1,22";"62,50";"37,50";"0,00";"98,78";"5,93";"";"6,27";"14,36";"";"68,21";"";"4,43";"0,81";""
"060809";"gm. Niedźwiada";"lubartowski";"lubelskie";"56,93";"1,34";"60,53";"39,47";"0,00";"98,66";"5,08";"";"7,91";"9,63";"";"72,65";"";"3,44";"1,29";""
"060810";"gm. Ostrów Lubelski";"lubartowski";"lubelskie";"57,16";"1,11";"62,96";"37,04";"0,00";"98,89";"6,73";"";"7,23";"13,38";"";"66,43";"";"5,19";"1,04";""
"060811";"gm. Ostrówek";"lubartowski";"lubelskie";"55,52";"1,62";"71,43";"28,57";"0,00";"98,38";"5,48";"";"7,19";"14,33";"";"69,28";"";"3,01";"0,71";""
"060812";"gm. Serniki";"lubartowski";"lubelskie";"59,73";"1,49";"57,14";"42,86";"0,00";"98,51";"5,52";"";"6,99";"8,50";"";"73,72";"";"3,80";"1,47";""
"060813";"gm. Uścimów";"lubartowski";"lubelskie";"54,57";"1,59";"50,00";"50,00";"0,00";"98,41";"10,21";"";"5,29";"12,11";"";"67,33";"";"3,74";"1,32";""
"060901";"gm. Bełżyce";"lubelski";"lubelskie";"56,73";"1,07";"62,50";"37,50";"0,00";"98,93";"10,33";"";"6,82";"12,65";"";"62,83";"";"6,16";"1,20";""
"060902";"gm. Borzechów";"lubelski";"lubelskie";"60,95";"0,95";"55,56";"44,44";"0,00";"99,05";"10,22";"";"4,26";"13,26";"";"69,44";"";"2,34";"0,48";""
"060903";"gm. Bychawa";"lubelski";"lubelskie";"55,30";"1,39";"58,33";"41,67";"0,00";"98,61";"8,50";"";"7,23";"12,35";"";"65,04";"";"5,65";"1,23";""
"060904";"gm. Garbów";"lubelski";"lubelskie";"59,48";"1,21";"75,00";"25,00";"0,00";"98,79";"11,25";"";"7,66";"11,51";"";"62,48";"";"5,78";"1,32";""
"060905";"gm. Głusk";"lubelski";"lubelskie";"66,74";"0,64";"56,76";"43,24";"0,00";"99,36";"21,64";"";"7,85";"10,52";"";"51,03";"";"7,36";"1,59";""
"060906";"gm. Jabłonna";"lubelski";"lubelskie";"52,94";"0,95";"78,12";"21,88";"0,00";"99,05";"11,71";"";"8,17";"10,93";"";"61,80";"";"6,02";"1,38";""
"060907";"gm. Jastków";"lubelski";"lubelskie";"66,05";"0,87";"58,73";"41,27";"0,00";"99,13";"19,99";"";"6,95";"8,21";"";"57,45";"";"6,07";"1,33";""
"060908";"gm. Konopnica";"lubelski";"lubelskie";"67,84";"0,59";"51,16";"48,84";"0,00";"99,41";"21,87";"";"7,80";"17,73";"";"44,05";"";"7,42";"1,13";""
"060909";"gm. Krzczonów";"lubelski";"lubelskie";"53,58";"1,33";"74,07";"25,93";"0,00";"98,67";"7,15";"";"5,20";"14,86";"";"66,93";"";"4,75";"1,10";""
"060910";"gm. Niedrzwica Duża";"lubelski";"lubelskie";"60,93";"0,95";"75,47";"24,53";"0,00";"99,05";"13,00";"";"7,56";"11,71";"";"60,71";"";"5,44";"1,58";""
"060911";"gm. Niemce";"lubelski";"lubelskie";"64,68";"0,90";"59,55";"40,45";"0,00";"99,10";"16,05";"";"7,45";"17,46";"";"51,44";"";"6,49";"1,12";""
"060912";"gm. Strzyżewice";"lubelski";"lubelskie";"56,72";"1,00";"54,29";"45,71";"0,00";"99,00";"11,62";"";"7,87";"13,26";"";"60,32";"";"5,57";"1,36";""
"060913";"gm. Wojciechów";"lubelski";"lubelskie";"56,46";"1,46";"58,97";"41,03";"0,00";"98,54";"10,09";"";"5,58";"12,18";"";"65,86";"";"5,27";"1,02";""
"060914";"gm. Wólka";"lubelski";"lubelskie";"63,84";"0,67";"52,50";"47,50";"0,00";"99,33";"19,80";"";"8,81";"8,08";"";"54,18";"";"7,61";"1,52";""
"060915";"gm. Wysokie";"lubelski";"lubelskie";"53,89";"1,31";"44,44";"55,56";"0,00";"98,69";"5,52";"";"3,65";"14,45";"";"72,24";"";"3,75";"0,39";""
"060916";"gm. Zakrzew";"lubelski";"lubelskie";"50,97";"1,45";"38,89";"61,11";"0,00";"98,55";"3,68";"";"3,93";"12,27";"";"77,00";"";"2,70";"0,41";""
"061001";"gm. Cyców";"łęczyński";"lubelskie";"53,00";"1,27";"75,61";"24,39";"0,00";"98,73";"13,89";"";"6,50";"8,45";"";"65,47";"";"4,56";"1,13";""
"061002";"gm. Ludwin";"łęczyński";"lubelskie";"55,00";"1,01";"79,17";"20,83";"0,00";"98,99";"15,41";"";"7,17";"9,14";"";"61,57";"";"5,08";"1,62";""
"061003";"gm. Łęczna";"łęczyński";"lubelskie";"61,95";"0,87";"68,75";"31,25";"0,00";"99,13";"21,05";"";"8,27";"6,82";"";"56,76";"";"5,71";"1,39";""
"061004";"gm. Milejów";"łęczyński";"lubelskie";"50,22";"1,70";"60,66";"39,34";"0,00";"98,30";"14,16";"";"6,70";"8,83";"";"62,71";"";"6,04";"1,56";""
"061005";"gm. Puchaczów";"łęczyński";"lubelskie";"59,76";"1,26";"63,64";"36,36";"0,00";"98,74";"10,91";"";"7,31";"10,37";"";"66,11";"";"4,18";"1,12";""
"061006";"gm. Spiczyn";"łęczyński";"lubelskie";"55,02";"1,26";"51,61";"48,39";"0,00";"98,74";"17,64";"";"9,23";"8,70";"";"56,80";"";"5,94";"1,69";""
"061101";"m. Łuków";"łukowski";"lubelskie";"64,22";"1,01";"55,70";"44,30";"0,00";"98,99";"17,06";"";"7,20";"8,85";"";"55,34";"";"8,59";"2,96";""
"061102";"m. Stoczek Łukowski";"łukowski";"lubelskie";"61,98";"1,18";"73,33";"26,67";"0,00";"98,82";"14,76";"";"5,32";"10,24";"";"60,56";"";"7,62";"1,51";""
"061103";"gm. Adamów";"łukowski";"lubelskie";"57,36";"1,14";"48,28";"51,72";"0,00";"98,86";"7,98";"";"5,20";"7,63";"";"74,11";"";"4,17";"0,91";""
"061104";"gm. Krzywda";"łukowski";"lubelskie";"53,60";"1,63";"62,86";"37,14";"0,00";"98,37";"4,82";"";"5,34";"12,56";"";"71,84";"";"4,19";"1,25";""
"061105";"gm. Łuków";"łukowski";"lubelskie";"59,66";"1,09";"72,73";"27,27";"0,00";"98,91";"6,60";"";"7,14";"9,49";"";"71,38";"";"3,68";"1,71";""
"061106";"gm. Serokomla";"łukowski";"lubelskie";"52,34";"1,19";"70,00";"30,00";"0,00";"98,81";"5,72";"";"6,02";"9,58";"";"74,64";"";"3,49";"0,54";""
"061107";"gm. Stanin";"łukowski";"lubelskie";"58,97";"1,94";"63,95";"36,05";"0,00";"98,06";"2,95";"";"4,33";"22,40";"";"67,85";"";"1,87";"0,60";""
"061108";"gm. Stoczek Łukowski";"łukowski";"lubelskie";"57,63";"1,65";"63,33";"36,67";"0,00";"98,35";"4,58";"";"4,33";"8,80";"";"78,44";"";"2,57";"1,28";""
"061109";"gm. Trzebieszów";"łukowski";"lubelskie";"64,45";"0,90";"55,88";"44,12";"0,00";"99,10";"3,60";"";"5,69";"6,85";"";"80,67";"";"2,36";"0,83";""
"061110";"gm. Wojcieszków";"łukowski";"lubelskie";"54,17";"1,88";"74,55";"25,45";"0,00";"98,12";"4,60";"";"4,39";"10,66";"";"76,56";"";"2,61";"1,18";""
"061111";"gm. Wola Mysłowska";"łukowski";"lubelskie";"56,35";"1,59";"74,29";"25,71";"0,00";"98,41";"4,11";"";"5,21";"10,84";"";"75,87";"";"2,91";"1,06";""
"061201";"gm. Chodel";"opolski";"lubelskie";"51,74";"1,36";"67,57";"32,43";"0,00";"98,64";"6,14";"";"5,96";"9,53";"";"71,78";"";"5,40";"1,19";""
"061202";"gm. Józefów nad Wisłą";"opolski";"lubelskie";"48,90";"1,15";"46,67";"53,33";"0,00";"98,85";"8,03";"";"5,52";"13,90";"";"64,62";"";"6,37";"1,54";""
"061203";"gm. Karczmiska";"opolski";"lubelskie";"50,90";"2,19";"80,39";"19,61";"0,00";"97,81";"8,30";"";"5,75";"20,24";"";"59,00";"";"5,05";"1,67";""
"061204";"gm. Łaziska";"opolski";"lubelskie";"49,48";"2,10";"58,54";"41,46";"0,00";"97,90";"7,00";"";"5,80";"14,62";"";"65,38";"";"6,53";"0,68";""
"061205";"gm. Opole Lubelskie";"opolski";"lubelskie";"51,98";"1,37";"53,92";"46,08";"0,00";"98,63";"17,82";"";"6,72";"7,33";"";"58,19";"";"8,49";"1,46";""
"061206";"gm. Poniatowa";"opolski";"lubelskie";"56,12";"1,19";"57,89";"42,11";"0,00";"98,81";"15,21";"";"5,52";"8,96";"";"60,44";"";"8,56";"1,30";""
"061207";"gm. Wilków";"opolski";"lubelskie";"54,30";"1,16";"69,57";"30,43";"0,00";"98,84";"5,91";"";"5,60";"12,63";"";"71,23";"";"3,67";"0,97";""
"061301";"gm. Dębowa Kłoda";"parczewski";"lubelskie";"50,60";"2,73";"75,56";"24,44";"0,00";"97,27";"16,92";"";"5,93";"11,05";"";"59,05";"";"6,49";"0,56";""
"061302";"gm. Jabłoń";"parczewski";"lubelskie";"57,46";"1,37";"75,00";"25,00";"0,00";"98,63";"6,26";"";"8,41";"12,18";"";"66,36";"";"5,74";"1,04";""
"061303";"gm. Milanów";"parczewski";"lubelskie";"52,26";"1,94";"67,74";"32,26";"0,00";"98,06";"7,66";"";"6,77";"13,92";"";"64,62";"";"5,49";"1,53";""
"061304";"gm. Parczew";"parczewski";"lubelskie";"56,53";"0,96";"67,19";"32,81";"0,00";"99,04";"14,64";"";"6,45";"17,60";"";"53,07";"";"7,12";"1,11";""
"061305";"gm. Podedwórze";"parczewski";"lubelskie";"53,47";"1,49";"63,64";"36,36";"0,00";"98,51";"11,25";"";"5,90";"11,11";"";"64,75";"";"6,58";"0,41";""
"061306";"gm. Siemień";"parczewski";"lubelskie";"53,32";"1,71";"50,00";"50,00";"0,00";"98,29";"6,85";"";"6,70";"9,97";"";"68,40";"";"3,53";"4,55";""
"061307";"gm. Sosnowica";"parczewski";"lubelskie";"49,46";"1,42";"53,33";"46,67";"0,00";"98,58";"11,34";"";"6,15";"11,05";"";"59,94";"";"9,41";"2,11";""
"061401";"m. Puławy";"puławski";"lubelskie";"62,68";"0,83";"47,72";"52,28";"0,00";"99,17";"28,47";"";"8,17";"5,61";"";"45,42";"";"10,68";"1,64";""
"061402";"gm. Baranów";"puławski";"lubelskie";"54,94";"2,08";"45,95";"54,05";"0,00";"97,92";"7,40";"";"6,88";"13,43";"";"66,21";"";"5,16";"0,92";""
"061403";"gm. Janowiec";"puławski";"lubelskie";"59,08";"0,83";"53,33";"46,67";"0,00";"99,17";"18,32";"";"6,09";"7,88";"";"59,11";"";"7,82";"0,78";""
"061404";"gm. Kazimierz Dolny";"puławski";"lubelskie";"58,62";"1,46";"46,94";"53,06";"0,00";"98,54";"23,01";"";"6,58";"7,49";"";"54,59";"";"7,12";"1,21";""
"061405";"gm. Końskowola";"puławski";"lubelskie";"60,60";"0,85";"75,68";"24,32";"0,00";"99,15";"14,49";"";"8,17";"10,43";"";"59,59";"";"6,11";"1,21";""
"061406";"gm. Kurów";"puławski";"lubelskie";"57,72";"0,99";"51,43";"48,57";"0,00";"99,01";"11,23";"";"9,80";"9,05";"";"62,33";"";"6,13";"1,46";""
"061407";"gm. Markuszów";"puławski";"lubelskie";"59,79";"0,70";"70,00";"30,00";"0,00";"99,30";"11,44";"";"7,44";"9,61";"";"64,70";"";"5,05";"1,75";""
"061408";"gm. Nałęczów";"puławski";"lubelskie";"64,88";"0,95";"49,02";"50,98";"0,00";"99,05";"17,14";"";"7,02";"11,82";"";"54,89";"";"8,09";"1,04";""
"061409";"gm. Puławy";"puławski";"lubelskie";"58,60";"1,41";"53,75";"46,25";"0,00";"98,59";"17,06";"";"7,37";"7,53";"";"58,67";"";"7,74";"1,63";""
"061410";"gm. Wąwolnica";"puławski";"lubelskie";"55,46";"1,52";"50,00";"50,00";"0,00";"98,48";"7,91";"";"9,50";"11,23";"";"65,28";"";"5,30";"0,77";""
