"TERYT";"Jednostka terytorialna";"Frekwencja";"% głosów nieważnych";"w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"w tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19";"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19";"KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19";"KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19";"KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19";"KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19";"KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19";"KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19"
"060404";"gm. Hrubieszów";"34,86";"1,48";"51,16";"46,51";"2,33";"98,52";"18,14";"0,66";"";"";"70,05";"";"1,96";"3,18";"5,70";"0,31"
"060405";"gm. Mircze";"34,45";"1,67";"42,86";"40,00";"17,14";"98,33";"22,18";"0,68";"";"";"66,78";"";"1,89";"2,57";"5,42";"0,48"
"060406";"gm. Trzeszczany";"35,63";"1,12";"57,14";"28,57";"14,29";"98,88";"17,06";"0,49";"";"";"74,29";"";"2,02";"1,94";"3,88";"0,32"
"060407";"gm. Uchanie";"38,83";"1,94";"48,28";"31,03";"20,69";"98,06";"13,05";"0,61";"";"";"77,80";"";"2,05";"2,87";"3,35";"0,27"
"060408";"gm. Werbkowice";"37,36";"1,09";"71,88";"15,62";"12,50";"98,91";"16,55";"0,55";"";"";"70,30";"";"2,06";"3,20";"6,68";"0,65"
"060501";"gm. Batorz";"49,44";"1,20";"68,75";"25,00";"6,25";"98,80";"13,30";"0,30";"";"";"79,48";"";"0,53";"3,80";"2,05";"0,53"
"060502";"gm. Chrzanów";"57,08";"0,44";"83,33";"16,67";"0,00";"99,56";"6,41";"0,58";"";"";"87,76";"";"0,36";"2,26";"2,48";"0,15"
"060503";"gm. Dzwola";"51,28";"1,33";"40,00";"11,43";"48,57";"98,67";"6,89";"0,50";"";"";"84,96";"";"0,54";"4,16";"2,77";"0,19"
"060504";"gm. Godziszów";"58,89";"0,82";"65,22";"17,39";"17,39";"99,18";"4,77";"0,25";"";"";"88,46";"";"0,50";"3,37";"2,62";"0,04"
"060505";"gm. Janów Lubelski";"47,81";"1,06";"30,30";"22,73";"46,97";"98,94";"20,90";"0,45";"";"";"68,03";"";"2,25";"4,86";"2,85";"0,65"
"060506";"gm. Modliborzyce";"42,31";"1,56";"42,11";"28,95";"28,95";"98,44";"15,43";"0,79";"";"";"74,44";"";"1,58";"3,92";"3,38";"0,46"
"060507";"gm. Potok Wielki";"38,46";"1,55";"26,09";"39,13";"34,78";"98,45";"13,47";"0,62";"";"";"77,79";"";"0,89";"3,49";"3,28";"0,48"
"060601";"m. Krasnystaw";"41,53";"1,02";"43,28";"37,31";"19,40";"98,98";"36,78";"0,80";"";"";"48,91";"";"4,23";"5,15";"3,57";"0,57"
"060602";"gm. Fajsławice";"45,73";"1,20";"57,14";"33,33";"9,52";"98,80";"15,15";"0,69";"";"";"73,74";"";"2,54";"4,45";"2,95";"0,46"
"060603";"gm. Gorzków";"40,45";"1,08";"23,08";"46,15";"30,77";"98,92";"21,86";"0,84";"";"";"63,90";"";"2,35";"4,19";"6,11";"0,75"
"060604";"gm. Izbica";"37,76";"1,39";"80,56";"11,11";"8,33";"98,61";"16,68";"0,90";"";"";"71,46";"";"3,09";"3,64";"3,60";"0,63"
"060605";"gm. Krasnystaw";"37,64";"1,35";"55,56";"25,00";"19,44";"98,65";"22,84";"0,65";"";"";"63,76";"";"3,27";"4,45";"4,45";"0,57"
"060606";"gm. Kraśniczyn";"36,70";"2,30";"44,44";"37,04";"18,52";"97,70";"21,20";"1,31";"";"";"65,18";"";"3,14";"4,36";"4,01";"0,79"
"060607";"gm. Łopiennik Górny";"37,23";"1,45";"38,89";"50,00";"11,11";"98,55";"13,48";"0,49";"";"";"76,14";"";"2,21";"4,00";"3,43";"0,25"
"060609";"gm. Rudnik";"36,54";"1,26";"75,00";"8,33";"16,67";"98,74";"16,74";"0,32";"";"";"72,71";"";"2,35";"2,88";"3,73";"1,28"
"060610";"gm. Siennica Różana";"36,59";"2,27";"75,86";"17,24";"6,90";"97,73";"32,85";"0,32";"";"";"55,13";"";"3,21";"3,61";"4,25";"0,64"
"060611";"gm. Żółkiewka";"36,97";"2,11";"50,00";"30,56";"19,44";"97,89";"14,92";"0,66";"";"";"77,11";"";"1,80";"2,28";"2,76";"0,48"
"060701";"m. Kraśnik";"45,26";"1,08";"55,15";"30,15";"14,71";"98,92";"32,78";"0,98";"";"";"54,99";"";"3,09";"4,05";"3,67";"0,43"
"060702";"gm. Annopol";"40,45";"2,23";"67,19";"21,88";"10,94";"97,77";"20,52";"0,82";"";"";"69,74";"";"2,78";"2,93";"2,61";"0,61"
"060703";"gm. Dzierzkowice";"44,15";"0,84";"43,75";"43,75";"12,50";"99,16";"21,19";"0,48";"";"";"66,60";"";"2,50";"4,25";"4,30";"0,69"
"060704";"gm. Gościeradów";"38,77";"1,90";"44,19";"37,21";"18,60";"98,10";"19,49";"0,90";"";"";"71,31";"";"1,85";"2,93";"2,84";"0,68"
"060705";"gm. Kraśnik";"42,92";"1,48";"48,65";"35,14";"16,22";"98,52";"21,52";"0,57";"";"";"67,52";"";"1,95";"4,47";"3,25";"0,73"
"060706";"gm. Szastarka";"44,69";"1,41";"53,33";"26,67";"20,00";"98,59";"10,79";"0,62";"";"";"82,79";"";"1,19";"1,81";"2,47";"0,33"
"060707";"gm. Trzydnik Duży";"38,40";"1,34";"59,26";"22,22";"18,52";"98,66";"18,66";"1,40";"";"";"70,51";"";"2,51";"3,26";"3,16";"0,50"
"060708";"gm. Urzędów";"43,35";"1,58";"43,75";"50,00";"6,25";"98,42";"18,94";"0,47";"";"";"69,27";"";"1,50";"3,74";"5,38";"0,70"
"060709";"gm. Wilkołaz";"47,19";"1,11";"69,57";"17,39";"13,04";"98,89";"12,84";"0,49";"";"";"75,98";"";"1,52";"4,80";"3,87";"0,49"
"060710";"gm. Zakrzówek";"41,39";"0,86";"31,58";"42,11";"26,32";"99,14";"16,35";"0,23";"";"";"73,81";"";"1,60";"4,17";"3,34";"0,50"
"060801";"m. Lubartów";"48,16";"0,76";"48,44";"29,69";"21,88";"99,24";"34,53";"0,82";"";"";"50,19";"";"4,74";"5,17";"3,47";"1,08"
"060802";"gm. Abramów";"45,34";"1,25";"78,95";"5,26";"15,79";"98,75";"11,10";"0,60";"";"";"77,39";"";"1,26";"4,52";"4,26";"0,86"
"060803";"gm. Firlej";"39,12";"1,18";"68,18";"18,18";"13,64";"98,82";"18,39";"1,14";"";"";"67,95";"";"2,45";"6,20";"2,67";"1,20"
"060804";"gm. Jeziorzany";"39,09";"1,35";"75,00";"25,00";"0,00";"98,65";"15,77";"0,69";"";"";"77,14";"";"1,14";"2,29";"2,40";"0,57"
"060805";"gm. Kamionka";"39,88";"2,23";"63,04";"26,09";"10,87";"97,77";"22,23";"0,99";"";"";"64,22";"";"4,02";"4,47";"3,52";"0,55"
"060806";"gm. Kock";"40,16";"1,29";"66,67";"25,93";"7,41";"98,71";"15,88";"0,34";"";"";"73,48";"";"1,89";"3,44";"4,11";"0,87"
"060807";"gm. Lubartów";"41,81";"1,38";"46,15";"32,69";"21,15";"98,62";"22,44";"0,54";"";"";"63,72";"";"3,58";"5,01";"4,04";"0,67"
"060808";"gm. Michów";"39,41";"1,27";"52,00";"32,00";"16,00";"98,73";"16,84";"0,77";"";"";"74,28";"";"1,70";"3,41";"2,53";"0,46"
"060809";"gm. Niedźwiada";"41,62";"1,01";"66,67";"23,81";"9,52";"98,99";"14,13";"0,24";"";"";"75,19";"";"2,14";"4,00";"3,70";"0,58"
"060810";"gm. Ostrów Lubelski";"44,36";"1,16";"63,64";"27,27";"9,09";"98,84";"21,21";"0,74";"";"";"67,57";"";"1,97";"4,36";"3,46";"0,69"
"060811";"gm. Ostrówek";"39,99";"1,36";"64,71";"29,41";"5,88";"98,64";"20,06";"0,24";"";"";"70,76";"";"1,14";"4,39";"3,01";"0,41"
"060812";"gm. Serniki";"46,08";"1,09";"60,00";"30,00";"10,00";"98,91";"12,67";"0,50";"";"";"76,20";"";"1,60";"5,23";"3,14";"0,66"
"060813";"gm. Uścimów";"40,35";"0,96";"30,00";"30,00";"40,00";"99,04";"20,23";"0,97";"";"";"70,47";"";"1,26";"2,71";"2,71";"1,65"
"060901";"gm. Bełżyce";"41,96";"1,09";"53,06";"28,57";"18,37";"98,91";"23,70";"0,70";"";"";"65,10";"";"1,51";"4,03";"4,01";"0,95"
"060902";"gm. Borzechów";"48,02";"1,26";"36,84";"31,58";"31,58";"98,74";"18,61";"0,54";"";"";"71,55";"";"0,60";"3,28";"4,89";"0,54"
"060903";"gm. Bychawa";"41,23";"1,18";"56,52";"19,57";"23,91";"98,82";"21,35";"0,59";"";"";"67,37";"";"1,50";"5,12";"3,18";"0,88"
"060904";"gm. Garbów";"45,00";"1,11";"61,11";"25,00";"13,89";"98,89";"19,72";"0,53";"";"";"65,97";"";"3,08";"5,04";"4,60";"1,06"
"060905";"gm. Głusk";"49,27";"0,91";"50,00";"26,32";"23,68";"99,09";"32,49";"0,65";"";"";"52,90";"";"2,96";"5,22";"4,55";"1,23"
"060906";"gm. Jabłonna";"37,75";"0,66";"62,50";"25,00";"12,50";"99,34";"22,58";"0,87";"";"";"66,09";"";"2,20";"4,73";"3,20";"0,33"
"060907";"gm. Jastków";"51,30";"0,92";"49,02";"27,45";"23,53";"99,08";"29,07";"0,45";"";"";"58,30";"";"3,54";"4,39";"3,52";"0,73"
"060908";"gm. Konopnica";"50,34";"0,75";"41,46";"41,46";"17,07";"99,25";"40,12";"0,48";"";"";"45,43";"";"3,53";"5,84";"3,95";"0,64"
"060909";"gm. Krzczonów";"41,96";"1,19";"68,42";"26,32";"5,26";"98,81";"21,92";"0,51";"";"";"68,22";"";"2,27";"2,78";"3,66";"0,63"
"060910";"gm. Niedrzwica Duża";"44,76";"1,72";"38,03";"30,99";"30,99";"98,28";"21,63";"0,59";"";"";"63,72";"";"2,84";"6,30";"3,98";"0,94"
"060911";"gm. Niemce";"47,38";"0,94";"48,53";"30,88";"20,59";"99,06";"30,32";"0,68";"";"";"56,12";"";"3,12";"5,13";"3,85";"0,78"
"060912";"gm. Strzyżewice";"42,01";"1,18";"51,61";"19,35";"29,03";"98,82";"25,59";"0,46";"";"";"61,50";"";"2,35";"5,20";"4,12";"0,77"
"060913";"gm. Wojciechów";"42,11";"1,30";"61,54";"19,23";"19,23";"98,70";"21,67";"0,61";"";"";"67,27";"";"2,42";"4,34";"3,08";"0,61"
"060914";"gm. Wólka";"47,51";"1,17";"37,25";"41,18";"21,57";"98,83";"29,49";"0,61";"";"";"54,60";"";"3,68";"6,27";"4,31";"1,05"
"060915";"gm. Wysokie";"43,36";"0,53";"55,56";"11,11";"33,33";"99,47";"18,87";"0,84";"";"";"75,46";"";"0,96";"1,85";"1,67";"0,36"
"060916";"gm. Zakrzew";"41,66";"0,58";"50,00";"33,33";"16,67";"99,42";"13,85";"0,78";"";"";"77,85";"";"0,68";"2,63";"3,51";"0,68"
"061001";"gm. Cyców";"38,08";"1,12";"73,08";"23,08";"3,85";"98,88";"21,61";"0,74";"";"";"67,25";"";"2,47";"4,16";"3,17";"0,61"
"061002";"gm. Ludwin";"38,85";"1,73";"65,52";"20,69";"13,79";"98,27";"21,60";"0,73";"";"";"65,84";"";"2,49";"4,55";"4,31";"0,49"
"061003";"gm. Łęczna";"45,37";"0,88";"63,01";"23,29";"13,70";"99,12";"26,30";"0,65";"";"";"58,99";"";"3,36";"5,75";"3,94";"1,03"
"061004";"gm. Milejów";"35,30";"1,38";"60,00";"34,29";"5,71";"98,62";"22,08";"0,48";"";"";"65,17";"";"2,91";"4,82";"4,07";"0,48"
"061005";"gm. Puchaczów";"43,63";"0,73";"57,14";"21,43";"21,43";"99,27";"18,31";"0,53";"";"";"69,38";"";"2,37";"5,42";"3,58";"0,42"
"061006";"gm. Spiczyn";"36,92";"1,39";"65,22";"13,04";"21,74";"98,61";"24,33";"0,55";"";"";"59,54";"";"2,14";"7,70";"4,71";"1,04"
"061101";"m. Łuków";"45,99";"1,02";"47,71";"33,94";"18,35";"98,98";"27,51";"0,75";"";"";"58,36";"";"3,42";"4,84";"4,21";"0,90"
"061102";"m. Stoczek Łukowski";"46,08";"1,04";"70,00";"30,00";"0,00";"98,96";"25,37";"0,84";"";"";"62,47";"";"3,14";"4,09";"3,67";"0,42"
"061103";"gm. Adamów";"39,62";"1,57";"53,57";"46,43";"0,00";"98,43";"17,36";"0,68";"";"";"71,83";"";"2,28";"3,53";"3,98";"0,34"
"061104";"gm. Krzywda";"37,40";"1,87";"52,63";"33,33";"14,04";"98,13";"14,08";"0,67";"";"";"74,93";"";"1,94";"3,92";"4,09";"0,37"
"061105";"gm. Łuków";"43,30";"1,34";"59,49";"31,65";"8,86";"98,66";"13,11";"0,84";"";"";"76,53";"";"1,51";"3,96";"3,55";"0,51"
"061106";"gm. Serokomla";"38,32";"1,76";"50,00";"22,73";"27,27";"98,24";"11,88";"0,98";"";"";"77,62";"";"1,71";"4,15";"3,17";"0,49"
"061107";"gm. Stanin";"40,36";"2,29";"68,57";"22,86";"8,57";"97,71";"14,97";"0,77";"";"";"76,70";"";"1,37";"2,91";"2,61";"0,67"
"061108";"gm. Stoczek Łukowski";"42,45";"1,59";"44,19";"48,84";"6,98";"98,41";"9,82";"0,49";"";"";"82,32";"";"1,31";"3,11";"2,55";"0,41"
"061109";"gm. Trzebieszów";"51,71";"1,28";"38,46";"46,15";"15,38";"98,72";"7,01";"0,53";"";"";"84,38";"";"1,03";"4,25";"2,39";"0,40"
"061110";"gm. Wojcieszków";"38,40";"1,39";"44,83";"41,38";"13,79";"98,61";"13,23";"0,88";"";"";"78,16";"";"1,36";"2,48";"3,55";"0,34"
"061111";"gm. Wola Mysłowska";"39,45";"1,92";"56,67";"33,33";"10,00";"98,08";"11,58";"0,78";"";"";"79,20";"";"1,50";"3,40";"3,07";"0,46"
"061201";"gm. Chodel";"39,72";"1,53";"46,88";"37,50";"15,62";"98,47";"13,01";"0,15";"";"";"69,03";"";"0,87";"4,27";"12,18";"0,49"
"061202";"gm. Józefów nad Wisłą";"38,40";"1,11";"69,57";"21,74";"8,70";"98,89";"20,57";"0,68";"";"";"66,44";"";"2,33";"3,70";"5,45";"0,83"
"061203";"gm. Karczmiska";"35,56";"1,70";"53,57";"10,71";"35,71";"98,30";"25,43";"0,56";"";"";"62,19";"";"2,48";"4,08";"4,39";"0,87"
"061204";"gm. Łaziska";"37,18";"1,27";"63,16";"31,58";"5,26";"98,73";"20,51";"0,34";"";"";"67,43";"";"2,17";"4,20";"5,01";"0,34"
"061205";"gm. Opole Lubelskie";"37,98";"1,38";"68,42";"19,74";"11,84";"98,62";"24,45";"0,83";"";"";"60,69";"";"3,95";"4,16";"5,35";"0,57"
"061206";"gm. Poniatowa";"42,39";"1,04";"50,98";"37,25";"11,76";"98,96";"28,61";"0,49";"";"";"61,75";"";"2,48";"3,10";"3,04";"0,53"
"061207";"gm. Wilków";"41,23";"1,37";"61,90";"19,05";"19,05";"98,63";"16,34";"0,86";"";"";"74,47";"";"1,79";"2,98";"3,17";"0,40"
"061301";"gm. Dębowa Kłoda";"36,18";"2,01";"70,83";"16,67";"12,50";"97,99";"27,22";"0,43";"";"";"61,60";"";"2,30";"3,67";"4,35";"0,43"
"061302";"gm. Jabłoń";"44,30";"1,38";"73,68";"21,05";"5,26";"98,62";"16,91";"0,59";"";"";"66,10";"";"1,77";"7,09";"7,09";"0,44"
"061303";"gm. Milanów";"39,72";"2,27";"46,43";"32,14";"21,43";"97,73";"18,11";"0,58";"";"";"66,86";"";"2,49";"4,65";"6,48";"0,83"
"061304";"gm. Parczew";"41,46";"0,93";"63,04";"28,26";"8,70";"99,07";"32,63";"0,92";"";"";"54,69";"";"3,08";"4,16";"3,88";"0,63"
"061305";"gm. Podedwórze";"41,85";"2,17";"53,85";"23,08";"23,08";"97,83";"23,08";"0,34";"";"";"62,56";"";"1,37";"6,32";"5,64";"0,68"
"061306";"gm. Siemień";"38,75";"0,96";"50,00";"42,86";"7,14";"99,04";"17,77";"0,62";"";"";"70,92";"";"1,87";"3,68";"4,79";"0,35"
"061307";"gm. Sosnowica";"38,95";"1,55";"76,92";"7,69";"15,38";"98,45";"26,81";"0,72";"";"";"59,90";"";"2,78";"3,50";"5,31";"0,97"
"061401";"m. Puławy";"49,00";"0,77";"39,04";"40,41";"20,55";"99,23";"38,50";"0,94";"";"";"46,38";"";"5,27";"4,44";"3,52";"0,95"
"061402";"gm. Baranów";"41,10";"2,34";"46,88";"46,88";"6,25";"97,66";"16,25";"0,97";"";"";"69,51";"";"3,45";"5,47";"3,97";"0,37"
"061403";"gm. Janowiec";"44,78";"1,44";"75,00";"20,00";"5,00";"98,56";"26,48";"0,36";"";"";"60,18";"";"4,16";"3,79";"4,08";"0,95"
"061404";"gm. Kazimierz Dolny";"42,87";"1,20";"50,00";"43,33";"6,67";"98,80";"30,02";"1,01";"";"";"56,23";"";"3,96";"3,64";"4,29";"0,85"
"061405";"gm. Końskowola";"44,19";"1,12";"55,56";"27,78";"16,67";"98,88";"22,08";"0,66";"";"";"62,95";"";"3,32";"5,24";"4,80";"0,95"
"061406";"gm. Kurów";"42,93";"1,16";"38,71";"54,84";"6,45";"98,84";"20,50";"1,13";"";"";"64,18";"";"3,47";"6,12";"3,81";"0,79"
"061407";"gm. Markuszów";"42,38";"1,17";"33,33";"41,67";"25,00";"98,83";"18,28";"0,69";"";"";"67,09";"";"2,47";"4,84";"5,53";"1,09"
"061408";"gm. Nałęczów";"50,11";"1,19";"58,00";"22,00";"20,00";"98,81";"29,65";"0,80";"";"";"56,81";"";"3,75";"4,69";"3,53";"0,77"
"061409";"gm. Puławy";"42,99";"1,48";"51,61";"37,10";"11,29";"98,52";"24,56";"1,16";"";"";"60,84";"";"4,25";"4,18";"4,09";"0,92"
"061410";"gm. Wąwolnica";"42,17";"1,90";"38,71";"54,84";"6,45";"98,10";"14,12";"1,38";"";"";"68,75";"";"2,31";"8,31";"4,38";"0,75"
"061411";"gm. Żyrzyn";"44,31";"1,92";"55,56";"33,33";"11,11";"98,08";"17,86";"1,00";"";"";"70,10";"";"2,39";"4,95";"3,04";"0,65"
"061501";"m. Radzyń Podlaski";"45,66";"1,05";"55,74";"19,67";"24,59";"98,95";"30,36";"0,72";"";"";"56,67";"";"2,87";"4,49";"3,76";"1,14"
"061502";"gm. Borki";"35,76";"0,91";"50,00";"25,00";"25,00";"99,09";"19,37";"0,23";"";"";"72,55";"";"2,35";"3,09";"2,29";"0,11"
"061503";"gm. Czemierniki";"44,84";"1,26";"75,00";"10,00";"15,00";"98,74";"20,58";"0,64";"";"";"69,52";"";"2,17";"4,03";"2,56";"0,51"
"061504";"gm. Kąkolewnica";"40,99";"1,15";"70,97";"19,35";"9,68";"98,85";"11,37";"0,34";"";"";"77,93";"";"1,28";"4,03";"2,71";"2,34"
"061505";"gm. Komarówka Podlaska";"39,44";"1,11";"31,25";"18,75";"50,00";"98,89";"19,83";"0,84";"";"";"67,30";"";"1,55";"5,49";"4,29";"0,70"
"061506";"gm. Radzyń Podlaski";"40,59";"1,02";"51,85";"33,33";"14,81";"98,98";"14,73";"0,34";"";"";"76,00";"";"1,68";"4,08";"2,79";"0,38"
"061507";"gm. Ulan-Majorat";"43,07";"1,31";"55,56";"25,93";"18,52";"98,69";"10,62";"0,49";"";"";"82,00";"";"0,98";"2,90";"2,66";"0,34"
"061508";"gm. Wohyń";"36,25";"1,72";"54,29";"22,86";"22,86";"98,28";"18,86";"0,60";"";"";"67,45";"";"2,81";"4,91";"4,66";"0,70"
"061601";"m. Dęblin";"44,75";"0,74";"39,53";"53,49";"6,98";"99,26";"34,40";"0,98";"";"";"49,85";"";"6,00";"4,36";"3,65";"0,75"
"061602";"gm. Kłoczew";"44,63";"1,34";"61,76";"17,65";"20,59";"98,66";"8,98";"0,64";"";"";"80,77";"";"1,92";"3,47";"3,71";"0,52"
"061603";"gm. Nowodwór";"44,80";"2,00";"53,33";"30,00";"16,67";"98,00";"12,38";"0,48";"";"";"79,25";"";"0,88";"2,24";"4,49";"0,27"
"061604";"gm. Ryki";"43,48";"0,97";"57,14";"28,57";"14,29";"99,03";"26,16";"0,87";"";"";"59,84";"";"4,05";"4,09";"4,61";"0,39"
"061605";"gm. Stężyca";"43,52";"1,18";"54,55";"31,82";"13,64";"98,82";"23,51";"0,60";"";"";"66,67";"";"2,99";"2,44";"3,37";"0,43"
"061606";"gm. Ułęż";"43,20";"2,15";"48,00";"40,00";"12,00";"97,85";"21,79";"0,88";"";"";"63,18";"";"3,34";"3,95";"6,41";"0,44"
"061701";"m. Świdnik";"48,01";"0,86";"54,26";"31,78";"13,95";"99,14";"32,25";"0,96";"";"";"50,58";"";"4,58";"7,08";"3,76";"0,79"
"061702";"gm. Mełgiew";"44,06";"1,16";"51,28";"28,21";"20,51";"98,84";"24,61";"0,81";"";"";"61,90";"";"2,68";"5,84";"3,52";"0,63"
"061703";"gm. Piaski";"42,04";"1,03";"70,27";"27,03";"2,70";"98,97";"28,67";"0,70";"";"";"61,87";"";"2,31";"3,55";"2,48";"0,42"
"061704";"gm. Rybczewice";"42,32";"0,97";"75,00";"8,33";"16,67";"99,03";"14,18";"0,57";"";"";"75,74";"";"1,39";"4,67";"2,95";"0,49"
"061705";"gm. Trawniki";"36,29";"1,11";"62,07";"31,03";"6,90";"98,89";"18,28";"1,28";"";"";"70,24";"";"2,55";"4,02";"3,17";"0,46"
"061801";"m. Tomaszów Lubelski";"45,46";"0,96";"45,71";"28,57";"25,71";"99,04";"31,14";"0,61";"";"";"52,57";"";"3,24";"4,36";"7,47";"0,61"
"061802";"gm. Bełżec";"36,95";"2,83";"78,57";"7,14";"14,29";"97,17";"21,08";"0,83";"";"";"65,01";"";"4,05";"2,91";"5,40";"0,73"
"061803";"gm. Jarczów";"37,34";"0,92";"50,00";"50,00";"0,00";"99,08";"14,18";"0,37";"";"";"76,87";"";"1,12";"2,33";"4,48";"0,65"
"061804";"gm. Krynice";"39,87";"1,18";"46,15";"23,08";"30,77";"98,82";"16,59";"0,46";"";"";"71,34";"";"1,47";"2,67";"7,10";"0,37"
"061805";"gm. Lubycza Królewska";"30,37";"1,57";"62,50";"33,33";"4,17";"98,43";"25,28";"0,86";"";"";"58,42";"";"2,40";"4,79";"7,78";"0,47"
"061806";"gm. Łaszczów";"37,60";"1,52";"51,72";"31,03";"17,24";"98,48";"20,64";"0,96";"";"";"69,52";"";"2,93";"1,49";"4,15";"0,32"
"061807";"gm. Rachanie";"38,59";"1,64";"67,86";"21,43";"10,71";"98,36";"11,44";"0,48";"";"";"74,61";"";"1,79";"4,11";"7,09";"0,48"
"061808";"gm. Susiec";"40,04";"1,04";"65,38";"19,23";"15,38";"98,96";"19,94";"0,52";"";"";"70,10";"";"1,41";"2,26";"5,21";"0,56"
"061809";"gm. Tarnawatka";"39,78";"1,10";"42,86";"50,00";"7,14";"98,90";"11,74";"0,87";"";"";"77,08";"";"1,67";"4,20";"4,04";"0,40"
"061810";"gm. Telatyn";"37,74";"1,51";"42,11";"52,63";"5,26";"98,49";"15,56";"0,89";"";"";"70,81";"";"1,13";"4,19";"6,61";"0,81"
"061811";"gm. Tomaszów Lubelski";"40,62";"1,09";"53,66";"24,39";"21,95";"98,91";"15,25";"0,59";"";"";"70,01";"";"1,97";"4,59";"7,29";"0,30"
"061812";"gm. Tyszowce";"36,17";"1,39";"50,00";"29,17";"20,83";"98,61";"16,32";"0,59";"";"";"72,75";"";"1,70";"2,41";"5,93";"0,29"
"061813";"gm. Ulhówek";"34,02";"2,05";"53,57";"25,00";"21,43";"97,95";"16,70";"0,52";"";"";"70,92";"";"2,61";"2,31";"6,71";"0,22"
"061901";"m. Włodawa";"42,69";"1,15";"38,18";"52,73";"9,09";"98,85";"41,54";"0,87";"";"";"45,08";"";"4,44";"3,77";"3,66";"0,63"
"061902";"gm. Hanna";"37,93";"2,01";"47,37";"42,11";"10,53";"97,99";"26,51";"0,54";"";"";"59,48";"";"2,91";"4,53";"5,39";"0,65"
"061903";"gm. Hańsk";"36,41";"1,82";"85,00";"15,00";"0,00";"98,18";"29,72";"0,93";"";"";"58,80";"";"2,78";"3,80";"3,15";"0,83"
"061904";"gm. Stary Brus";"42,75";"0,79";"83,33";"16,67";"0,00";"99,21";"21,14";"0,66";"";"";"70,01";"";"3,30";"2,25";"2,25";"0,40"
"061905";"gm. Urszulin";"43,10";"1,63";"62,50";"33,33";"4,17";"98,37";"24,98";"0,48";"";"";"65,56";"";"2,48";"3,52";"2,62";"0,35"
"061906";"gm. Włodawa";"38,30";"1,32";"56,00";"24,00";"20,00";"98,68";"32,53";"1,18";"";"";"54,00";"";"3,17";"4,67";"3,54";"0,91"
"061907";"gm. Wola Uhruska";"38,78";"2,19";"46,43";"42,86";"10,71";"97,81";"28,12";"0,88";"";"";"61,54";"";"2,40";"3,53";"2,88";"0,64"
"061908";"gm. Wyryki";"36,46";"2,35";"89,47";"10,53";"0,00";"97,65";"25,57";"1,27";"";"";"62,66";"";"2,66";"3,54";"3,92";"0,38"
"062001";"gm. Adamów";"39,41";"1,13";"66,67";"22,22";"11,11";"98,87";"13,83";"0,89";"";"";"75,91";"";"1,85";"2,42";"4,97";"0,13"
"062002";"gm. Grabowiec";"36,29";"1,18";"46,67";"40,00";"13,33";"98,82";"12,87";"0,56";"";"";"76,82";"";"2,40";"2,96";"4,32";"0,08"
"062003";"gm. Komarów-Osada";"44,28";"2,18";"60,98";"29,27";"9,76";"97,82";"25,39";"0,38";"";"";"65,52";"";"1,47";"2,66";"3,92";"0,65"
"062004";"gm. Krasnobród";"46,63";"1,09";"56,67";"26,67";"16,67";"98,91";"13,88";"0,40";"";"";"76,08";"";"1,98";"2,93";"4,51";"0,22"
"062005";"gm. Łabunie";"43,69";"0,94";"33,33";"52,38";"14,29";"99,06";"11,90";"0,36";"";"";"75,52";"";"2,08";"3,39";"6,43";"0,32"
"062006";"gm. Miączyn";"36,45";"1,95";"67,65";"26,47";"5,88";"98,05";"19,17";"0,53";"";"";"71,42";"";"2,22";"2,75";"3,68";"0,23"
"062007";"gm. Nielisz";"36,00";"1,29";"68,18";"22,73";"9,09";"98,71";"16,25";"0,42";"";"";"72,42";"";"1,66";"1,78";"7,06";"0,42"
"062008";"gm. Radecznica";"40,93";"1,34";"70,37";"18,52";"11,11";"98,66";"11,70";"0,15";"";"";"78,45";"";"1,21";"3,97";"4,32";"0,20"
"062009";"gm. Sitno";"41,36";"1,15";"57,69";"30,77";"11,54";"98,85";"12,44";"0,63";"";"";"74,90";"";"1,57";"3,22";"6,80";"0,45"
