year;pack;name;age;height;weight;caps;position
1999;canada;Pat Dunkley;27;182;93;13;Hooker
1999;canada;John Graf;31;175;88;52;Scrumhalf
1999;canada;John Hutchinson;30;193;104;43;Flanker
1999;canada;Mike James;26;198;111;31;Lock
1999;canada;Dave Lougheed;31;187;91;29;Wing
1999;canada;Julian Loveday;36;177;79;10;Wing
1999;canada;Duane Major;27;182;107;1;Prop
1999;canada;Brian McCarthy;30;193;116;5;Lock
1999;canada;Kyle Nichols;24;185;85;11;Centre
1999;canada;Joe Pagano;27;182;88;9;Wing
1999;canada;Dave Penney;29;182;105;7;Prop
1999;canada;Gareth Rees;32;182;92.5;52;Flyhalf
1999;canada;Bob Robson;32;182;100;3;Flanker
1999;canada;Bobby Ross;30;180;84;36;Flyhalf
1999;canada;Mike Schmid;30;190;102;17;Number-8
1999;canada;Courtney Smith;28;177;87;20;Wing
1999;canada;Rod Snow;29;180;120;26;Prop
1999;canada;Winston Stanley;25;185;83.5;34;Wing
1999;canada;Scott Stewart;30;187;88.5;50;Fullback
1999;canada;John Tait;26;203;104;18;Lock
1999;canada;John Thiel;24;185;118;10;Prop
1999;canada;Morgan Williams;23;182;82;3;Scrumhalf
1999;canada;Chris Whittaker;28;198;104;16;Lock
1999;england;Garath Archer;25;198;117;14;Lock
1999;england;Neil Back;30;177;93;24;Flanker
1999;england;Nick Beal;29;187;86;12;Fullback
1999;england;Mike Catt;28;177;86;36;Flyhalf
1999;england;Richard Cockerill;29;177;108;24;Hooker
1999;england;Martin Corry;26;195;112;9;Flanker
1999;england;Lawrence Dallaglio;27;193;98;29;Flanker
1999;england;Matt Dawson;27;180;81;24;Scrumhalf
1999;england;Phil De Glanville;31;180;85;35;Centre
1999;england;Darren Garforth;33;177;118;22;Prop
1999;england;Paul Grayson;28;182;79;19;Flyhalf
1999;england;Phil Greening;24;182;108;9;Hooker
1999;england;Will Greenwood;27;193;95;12;Centre
1999;england;Danny Grewcock;27;198;111;13;Lock
1999;england;Jeremy Guscott;34;185;87;63;Centre
1999;england;Austin Healey;26;177;85;21;Scrumhalf
1999;england;Richard Hill;26;187;99;23;Flanker
