imnz;rokur;wiek;klub;miejsce;okreg;glosy;plec
Tomasz Siemoniak;1967-07-02;48;PO;NA;2 Wałbrzych;30786;M
Krzysztof Sitarski;1976-11-14;39;KUKIZ;NA;30 Rybnik;12127;M
Krystyna Skowrońska;1954-07-22;61;PO;NA;23 Rzeszów;23576;F
Wojciech Skurkiewicz;1969-12-05;46;PiS;NA;17 Radom;7058;M
Paweł Skutecki;1975-02-26;40;KUKIZ;NA;4 Bydgoszcz;11089;M
Andrzej Smirnow;1938-09-09;77;PiS; Warszawa;20 Warszawa;5572;M
Kazimierz Smoliński;1955-07-15;60;PiS;NA;25 Gdańsk;12424;M
Anna Elżbieta Sobecka;1951-03-27;64;PiS;NA;5 Toruń;16269;F
Czesław Sobierajski;1952-06-05;63;PiS;NA;30 Rybnik;5014;M
Artur Soboń;1977-03-13;38;PiS;NA;6 Lublin;16643;M
Bogusław Sonik;1953-12-03;62;PO;NA;13 Kraków;11715;M
Zbigniew Sosnowski;1963-12-10;52;PSL;NA;5 Toruń;7230;M
Andrzej Sośnierz;1951-05-08;64;PiS;NA;31 Katowice;23809;M
Marek Sowa;1967-02-04;48;PO;NA;12 Chrzanów;20867;M
Lech Sprawka;1955-08-09;60;PiS;NA;6 Lublin;15713;M
Mirosława Stachowiak-Różecka;1973-07-08;42;PiS;NA;3 Wrocław;41296;F
Dariusz Starzycki;1973-02-26;42;PiS;NA;32 Sosnowiec;9039;M
Michał Stasiński;1968-04-28;47;PETRU;NA;4 Bydgoszcz;12017;M
Jarosław Stawiarski;1963-10-03;52;PiS;NA;6 Lublin;15807;M
Elżbieta Stępień;1978-09-23;37;PETRU;NA;1 Legnica;10041;F
Mirosław Suchoń;1976-01-10;39;PETRU;NA;27 Bielsko-Biała;13357;M
Marek Suski;1958-06-11;57;PiS;NA;17 Radom;36542;M
Paweł Suski;1964-06-10;51;PO;NA;40 Koszalin;5702;M
Artur Szałabawka;1967-10-03;48;PiS;NA;41 Szczecin;7024;M
Wojciech Szarama;1955-12-16;60;PiS;NA;29 Gliwice;34979;M
Michał Szczerba;1977-12-14;38;PO;NA;19 Warszawa;4919;M
Józefa Szczurek-Żelazko;1961-03-14;54;PiS;NA;15 Tarnów;15635;F
Jolanta Szczypińska;1957-06-24;58;PiS;NA;26 Gdynia;31013;F
Paweł Szefernaker;1987-02-27;28;PiS;NA;40 Koszalin;6991;M
Jan Szewczak;1953-09-23;62;PiS;NA;7 Chełm;7863;M
Jarosław Szlachetka;1983-06-05;32;PiS;NA;12 Chrzanów;9142;M
Andrzej Szlachta;1947-01-19;68;PiS;NA;23 Rzeszów;24365;M
Adam Szłapka;1984-12-06;31;PETRU;NA;36 Kalisz;12539;M
Paweł Szramka;1989-06-18;26;KUKIZ;NA;5 Toruń;13552;M
Krzysztof Szulowski;1963-05-25;52;PiS;NA;6 Lublin;9019;M
Krystyna Szumilas;1956-06-28;59;PO;NA;29 Gliwice;14533;F
Stanisław Szwed;1955-04-12;60;PiS;NA;27 Bielsko-Biała;46220;M
Halina Szydełko;1962-06-10;53;PiS;NA;23 Rzeszów;10483;F
Beata Szydło;1963-04-15;52;PiS;NA;12 Chrzanów;96127;F
Bożena Szydłowska;1951-04-11;64;PO;NA;39 Poznań;15596;F
Ewa Szymańska;1952-04-24;63;PiS;NA;1 Legnica;5712;F
Tomasz Szymański;1978-04-24;37;PO;NA;5 Toruń;10399;M
Szymon Szynkowski Vel Sęk;1982-11-24;33;PiS;NA;39 Poznań;8676;M
Jan Szyszko;1944-04-19;71;PiS;NA;20 Warszawa;15015;M
Agnieszka Ścigaj;1975-12-22;40;KUKIZ;NA;13 Kraków;17630;F
Iwona Śledzińska-Katarasińska;1941-01-03;74;PO;NA;9 Łódź;21424;F
Janusz Śniadek;1955-05-26;60;PiS;NA;26 Gdynia;26671;M
Jacek Świat;1955-12-16;60;PiS;NA;3 Wrocław;17281;M
Marcin Święcicki;1947-04-17;68;PO;NA;19 Warszawa;8329;M
Dominik Tarczyński;1979-03-27;36;PiS;NA;33 Kielce;7475;M
Krzysztof Tchórzewski;1950-05-19;65;PiS;NA;18 Siedlce;26372;M
Robert Telus;1969-04-18;46;PiS;NA;10 Piotrków Trybunalski;18670;M
Ryszard Terlecki;1949-09-02;66;PiS;NA;13 Kraków;7913;M
Grzegorz Tobiszowski;1965-11-01;50;PiS;NA;31 Katowice;36422;M
Genowefa Tokarska;1949-08-05;66;PSL;NA;7 Chełm;4606;F
Ewa Tomaszewska;1947-04-14;68;PiS;NA;19 Warszawa;5114;F
Jacek Tomczak;1973-07-27;42;PO;NA;39 Poznań;10687;M
Cezary Tomczyk;1984-08-25;31;PO;NA;11 Sieradz;26781;M
Tomasz Tomczykiewicz;1961-03-02;54;PO;NA;31 Katowice;10814;M
Krzysztof Truskolaski;1990-07-25;25;PETRU;NA;24 Białystok;14141;M
Rafał Trzaskowski;1972-01-17;43;PO;NA;13 Kraków;47080;M
Sylwester Tułajew;1981-12-30;34;PiS;NA;6 Lublin;17289;M
Stanisław Tyszka;1979-04-11;36;KUKIZ;NA;20 Warszawa;14670;M
Robert Tyszkiewicz;1963-06-07;52;PO;NA;24 Białystok;19453;M
Jarosław Urbaniak;1966-08-07;49;PO;NA;36 Kalisz;14218;M
Piotr Uruski;1976-08-11;39;PiS;NA;22 Krosno;11200;M
Piotr Uściński;1977-05-20;38;PiS;NA;20 Warszawa;6679;M
Teresa Wargocka;1955-12-18;60;PiS;NA;18 Siedlce;8567;F
Robert Warwas;1976-08-13;39;PiS;NA;32 Sosnowiec;11998;M
Jan Warzecha;1959-04-21;56;PiS;NA;23 Rzeszów;15240;M
Anna Wasilewska;1958-01-10;57;PO;NA;35 Olsztyn;7660;F
Małgorzata Wassermann;1978-03-16;37;PiS;NA;13 Kraków;81379;F
Witold Waszczykowski;1957-05-05;58;PiS;NA;11 Sieradz;32909;M
Maciej Wąsik;1969-10-16;46;PiS;NA;16 Płock;9977;M
Rafał Weber;1981-09-01;34;PiS;NA;23 Rzeszów;17359;M
Monika Wielichowska;1973-10-04;42;PO;NA;2 Wałbrzych;8621;F
Ryszard Wilczyński;1960-10-23;55;PO;NA;21 Opole;8440;M
Jacek Wilk;1974-08-17;41;KUKIZ;NA;19 Warszawa;2420;M
Jerzy Wilk;1955-03-15;60;PiS;NA;34 Elbląg;14904;M
Wojciech Wilk;1972-08-12;43;PO;NA;6 Lublin;6348;M
Robert Winnicki;1985-07-18;30;KUKIZ;NA;1 Legnica;11802;M
Mariusz Witczak;1971-04-14;44;PO;NA;36 Kalisz;25525;M
Elżbieta Witek;1957-12-17;58;PiS;NA;1 Legnica;22168;F
Grzegorz Wojciechowski;1960-08-25;55;PiS;NA;10 Piotrków Trybunalski;21163;M
Michał Wojtkiewicz;1946-06-24;69;PiS;NA;15 Tarnów;13230;M
Grzegorz Adam Woźniak;1968-12-18;47;PiS;NA;18 Siedlce;16516;M
Tadeusz Woźniak;1960-01-15;55;PiS;NA;11 Sieradz;11011;M
Marek Wójcik;1980-03-24;35;PO;NA;31 Katowice;8028;M
Michał Wójcik;1971-04-17;44;PiS;NA;31 Katowice;7652;M
Rafał Wójcikowski;1973-12-02;42;KUKIZ;NA;10 Piotrków Trybunalski;9135;M
Kornelia Wróblewska;1982-12-20;33;PETRU;NA;19 Warszawa;3945;F
Krystyna Wróblewska;1963-07-12;52;PiS;NA;23 Rzeszów;9426;F
Bartłomiej Wróblewski;1975-03-13;40;PiS;NA;39 Poznań;14108;M
Małgorzata Wypych;1971-02-02;44;PiS;NA;19 Warszawa;7496;F
Marek Zagórski;1967-08-06;48;PiS;NA;18 Siedlce;19018;M
Anna Zalewska;1965-07-06;50;PiS;NA;2 Wałbrzych;22402;F
Krzysztof Zaremba;1972-12-12;43;PiS;NA;41 Szczecin;7857;M
Artur Zasada;1969-06-05;46;PiS;NA;8 Zielona Góra;5821;M
Sławomir Zawiślak;1963-06-09;52;PiS;NA;7 Chełm;25236;M
Łukasz Zbonikowski;1978-02-20;37;PiS;NA;5 Toruń;8949;M
Witold Zembaczyński;1980-12-28;35;PETRU;NA;21 Opole;12699;M
Marian Zembala;1950-02-11;65;PO;NA;31 Katowice;53610;M
Piotr Zgorzelski;1963-09-17;52;PSL;NA;16 Płock;8070;M
Jarosław Zieliński;1960-09-20;55;PiS;NA;24 Białystok;28865;M
Wojciech Ziemniak;1956-03-25;59;PO;NA;36 Kalisz;12043;M
Zbigniew Ziobro;1970-08-18;45;PiS;NA;33 Kielce;67238;M
Szymon Ziółkowski;1976-07-01;39;PO;NA;39 Poznań;29760;M
Maria Zuba;1951-04-06;64;PiS;NA;33 Kielce;6940;F
Wojciech Zubowski;1979-11-12;36;PiS;NA;1 Legnica;10802;M
Małgorzata Zwiercan;1958-07-06;57;KUKIZ;NA;26 Gdynia;11822;F
Ireneusz Zyska;1969-08-05;46;KUKIZ;NA;2 Wałbrzych;7725;M
Jacek Żalek;1973-01-13;42;PiS;NA;24 Białystok;12370;M
Stanisław Żmijan;1956-12-13;59;PO;NA;7 Chełm;7135;M
Jerzy Żyżyński;1949-08-06;66;PiS;NA;21 Opole;9289;M
