imnz;rokur;wiek;klub;miejsce;okreg;glosy;plec
Tadeusz Dziuba;1948-12-17;67;PiS;NA;39 Poznań;32910;M
Barbara Dziuk;1968-12-02;47;PiS;NA;29 Gliwice;12036;F
Joanna Fabisiak;1950-07-07;65;PO;NA;19 Warszawa;3512;F
Jacek Falfus;1951-02-01;64;PiS;NA;27 Bielsko-Biała;9439;M
Ewa Filipiak;1957-03-29;58;PiS;NA;12 Chrzanów;3915;F
Joanna Frydrych;1978-01-13;37;PO;NA;22 Krosno;5761;F
Grzegorz Furgo;1957-04-07;58;PETRU;NA;26 Gdynia;14247;M
Krzysztof Gadowski;1962-08-14;53;PO;NA;30 Rybnik;11549;M
Kinga Gajewska;1990-07-22;25;PO;NA;20 Warszawa;4820;F
Leszek Galemba;1966-03-07;49;PiS;NA;37 Konin;7708;M
Ryszard Galla;1956-07-22;59;MNiem;NA;21 Opole;9623;M
Elżbieta Gapińska;1960-10-03;55;PO;NA;16 Płock;11733;F
Kamila Gasiuk-Pihowicz;1983-05-08;32;PETRU;NA;20 Warszawa;19041;F
Zdzisław Gawlik;1960-09-12;55;PO;NA;23 Rzeszów;8414;M
Stanisław Gawłowski;1968-11-27;47;PO;NA;40 Koszalin;14264;M
Andrzej Gawron;1965-01-06;50;PiS;NA;28 Częstochowa;9202;M
Lidia Gądek;1967-01-11;48;PO;NA;13 Kraków;9082;F
Elżbieta Gelert;1955-04-22;60;PO;NA;34 Elbląg;13540;F
Artur Gierada;1979-04-21;36;PO;NA;33 Kielce;5087;M
Szymon Giżyński;1956-03-08;59;PiS;NA;28 Częstochowa;24802;M
Teresa Glenc;1958-05-27;57;PiS;NA;30 Rybnik;6354;F
Piotr Gliński;1954-04-20;61;PiS;NA;9 Łódź;41697;M
Konrad Głębocki;1972-05-13;43;PiS;NA;28 Częstochowa;11761;M
Tomasz Głogowski;1974-12-30;41;PO;NA;29 Gliwice;8982;M
Krzysztof Głuchowski;1956-08-02;59;PiS;NA;6 Lublin;9924;M
Marta Golbik;1985-04-14;30;PETRU;NA;29 Gliwice;14323;F
Małgorzata Golińska;1980-10-30;35;PiS;NA;40 Koszalin;7612;F
Kazimierz Gołojuch;1964-02-05;51;PiS;NA;23 Rzeszów;19118;M
Jarosław Gonciarz;1970-04-28;45;PiS;NA;29 Gliwice;4884;M
Małgorzata Gosiewska;1966-07-22;49;PiS;NA;19 Warszawa;13976;F
Jerzy Gosiewski;1952-11-20;63;PiS;NA;35 Olsztyn;5092;M
Jarosław Gowin;1961-12-04;54;PiS;NA;13 Kraków;43539;M
Artur Górski;1970-01-30;45;PiS;NA;19 Warszawa;6262;M
Cezary Grabarczyk;1960-04-26;55;PO;NA;9 Łódź;26591;M
Jan Grabiec;1972-11-02;43;PO;NA;20 Warszawa;10929;M
Paweł Grabowski;1986-08-19;29;KUKIZ;NA;21 Opole;4508;M
Rafał Grupiński;1952-09-26;63;PO;NA;39 Poznań;29122;M
Zbigniew Gryglas;1965-06-01;50;PETRU;NA;19 Warszawa;1011;M
Kazimierz Gwiazdowski;1962-06-10;53;PiS;NA;24 Białystok;6787;M
Andrzej Halicki;1961-11-26;54;PO;NA;19 Warszawa;13859;M
Teresa Hałas;1953-04-13;62;PiS;NA;7 Chełm;6451;F
Agnieszka Hanajczyk;1963-01-12;52;PO;NA;11 Sieradz;12128;F
Bożena Henczyca;1976-04-19;39;PO;NA;36 Kalisz;8599;F
Paulina Hennig-Kloska;1977-10-05;38;PETRU;NA;37 Konin;7306;F
Jolanta Hibner;1951-01-26;64;PO;NA;18 Siedlce;12899;F
Czesław Hoc;1954-02-22;61;PiS;NA;40 Koszalin;25072;M
Marek Hok;1953-06-15;62;PO;NA;40 Koszalin;17647;M
Marcin Horała;1981-10-02;34;PiS;NA;26 Gdynia;10546;M
Józefa Hrynkiewicz;1945-10-07;70;PiS;NA;23 Rzeszów;27010;F
Stanisław Huskowski;1953-04-24;62;PO;NA;1 Legnica;15206;M
Michał Jach;1951-09-23;64;PiS;NA;41 Szczecin;6183;M
Jerzy Jachnik;1949-11-17;66;KUKIZ;NA;27 Bielsko-Biała;11654;M
Patryk Jaki;1985-05-11;30;PiS;NA;21 Opole;29923;M
Marek Jakubiak;1959-04-30;56;KUKIZ;NA;16 Płock;11131;M
Wiesław Janczyk;1964-04-07;51;PiS;NA;14 Nowy Sącz;16349;M
Grzegorz Janik;1965-06-27;50;PiS;NA;30 Rybnik;9355;M
Maria Małgorzata Janyska;1962-01-16;53;PO;NA;38 Piła;21700;F
Michał Jaros;1981-01-26;34;PO;NA;3 Wrocław;12235;M
Krystian Jarubas;1981-06-03;34;PSL;NA;33 Kielce;4379;M
Wojciech Jasiński;1948-04-01;67;PiS;NA;16 Płock;31106;M
Tomasz Jaskóła;1974-07-31;41;KUKIZ;NA;28 Częstochowa;10952;M
Andrzej Jaworski;1970-12-16;45;PiS;NA;25 Gdańsk;25875;M
Mariusz Orion Jędrysek;1962-04-28;53;PiS;NA;3 Wrocław;13982;M
Bartosz Józwiak;1973-08-01;42;KUKIZ;NA;37 Konin;8747;M
Krzysztof Jurgiel;1953-11-18;62;PiS;NA;24 Białystok;44620;M
Norbert Kaczmarczyk;1989-11-16;26;KUKIZ;NA;15 Tarnów;8926;M
Jarosław Kaczyński;1949-06-18;66;PiS;NA;19 Warszawa;202424;M
Piotr Kaleta;1968-06-25;47;PiS;NA;36 Kalisz;6848;M
Bożena Kamińska;1965-08-27;50;PO;NA;24 Białystok;9826;F
Mariusz Kamiński;1965-09-25;50;PiS;NA;19 Warszawa;29654;M
Michał Kamiński;1972-03-28;43;PO;NA;20 Warszawa;5877;M
Włodzimierz Karpiński;1961-11-16;54;PO;NA;6 Lublin;10260;M
Mieczysław Kasprzak;1953-03-30;62;PSL;NA;22 Krosno;5251;M
Beata Kempa;1966-02-11;49;PiS;NA;3 Wrocław;29877;F
Małgorzata Kidawa-Błońska;1957-05-05;58;PO;NA;20 Warszawa;80866;F
Marcin Kierwiński;1976-08-22;39;PO;NA;16 Płock;16271;M
Jan Kilian;1953-12-27;62;PiS;NA;25 Gdańsk;6675;M
Jan Klawiter;1950-11-10;65;PiS;NA;26 Gdynia;7389;M
Izabela Kloc;1963-05-08;52;PiS;NA;30 Rybnik;43648;F
Joanna Kluzik-Rostkowska;1963-12-14;52;PO;NA;19 Warszawa;12807;F
Eugeniusz Kłopotek;1953-11-15;62;PSL;NA;4 Bydgoszcz;9143;M
Sławomir Kłosowski;1964-02-21;51;PiS;NA;21 Opole;17048;M
Andrzej Kobylarz;1965-12-21;50;KUKIZ;NA;34 Elbląg;5168;M
Paweł Kobyliński;1982-06-03;33;KUKIZ;NA;29 Gliwice;13905;M
Magdalena Kochan;1950-01-28;65;PO;NA;41 Szczecin;8972;F
Agnieszka Kołacz-Leszczyńska;1972-10-19;43;PO;NA;2 Wałbrzych;6421;F
Lech Kołakowski;1963-06-13;52;PiS;NA;24 Białystok;15106;M
Robert Kołakowski;1963-03-15;52;PiS;NA;16 Płock;10960;M
Zbigniew Konwiński;1974-03-24;41;PO;NA;26 Gdynia;10783;M
Ewa Kopacz;1956-12-03;59;PO;NA;19 Warszawa;230894;F
Joanna Kopcińska;1967-01-02;48;PiS;NA;9 Łódź;17911;F
Adam Korol;1974-08-20;41;PO;NA;25 Gdańsk;28727;M
Leszek Korzeniowski;1955-01-01;60;PO;NA;21 Opole;20084;M
