kadencja;posel;data.ur;wiek;klub;miejsce.ur;okreg;glosy;plec
2001;Jerzy Czepułkowski;1952-02-05;49;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Pyrzyce;35 Olsztyn;9580;M
2001;Zbigniew Kaniewski;1948-11-09;53;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Białogard;9 Łódź;4037;M
2001;Danuta Ciborowska;1947-09-18;54;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Krasnystaw;34 Elbląg;9895;F
2001;Elżbieta Kruk;1959-11-19;42;Klub Parlamentarny Prawo i Sprawiedliwość;Lublin;6 Lublin;17478;F
2001;Jan Szwarc;1946-07-08;55;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Ustroń;27 Bielsko-Biała;9378;M
2001;Mirosław Drzewiecki;1956-07-08;45;Klub Parlamentarny Platforma Obywatelska;Łódź;9 Łódź;7823;M
2001;Franciszek Wołowicz;1953-10-04;48;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Nowa Sól;8 Zielona Góra;12415;M
2001;Marek Kotlinowski;1956-05-13;45;Klub Parlamentarny Liga Polskich Rodzin;Gorlice;13 Kraków;22571;M
2001;Franciszek Potulski;1943-06-17;58;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Gdynia;25 Gdańsk;12455;M
2001;Robert Smoleń;1964-05-20;37;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Żagań;8 Zielona Góra;9682;M
2001;Józef Fortuna;1952-09-11;49;Klub Parlamentarny Prawo i Sprawiedliwość;Maków Podhalański;12 Chrzanów;3111;M
2001;Aldona Michalak;1955-11-02;46;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Gostynin;16 Płock;4912;F
2001;Tadeusz Jarmuziewicz;1957-09-21;44;Klub Parlamentarny Platforma Obywatelska;Piława Górna;21 Opole;5340;M
2001;Robert Luśnia;1962-07-09;39;Poseł niezrzeszony;Warszawa;6 Lublin;9205;M
2001;Renata Rochnowska;1949-02-02;52;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Wawrowice;11 Sieradz;10489;F
2001;Leszek Korzeniowski;1955-01-01;46;Klub Parlamentarny Platforma Obywatelska;Warszawa;21 Opole;10644;M
2001;Antoni Mężydło;1954-08-23;47;Klub Parlamentarny Prawo i Sprawiedliwość;Lubawa;5 Toruń;4686;M
2001;Włodzimierz Cimoszewicz;1950-09-13;51;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Warszawa;24 Białystok;71819;M
2001;Janusz Dobrosz;1954-03-07;47;Klub Parlamentarny Liga Polskich Rodzin;Wieruszów;3 Wrocław;5131;M
2001;Marian Marczewski;1948-08-09;53;Klub Parlamentarny Socjaldemokracji Polskiej;Turek;37 Konin;8881;M
2001;Danuta Polak;1945-01-01;56;Koło Parlamentarne Unii Pracy;Hoduciszki;28 Częstochowa;8801;F
2001;Ryszard Hayn;1944-07-24;57;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;Egeln;36 Kalisz;12157;M
2001;Dariusz Jacek Bachalski;1963-12-29;38;Klub Parlamentarny Platforma Obywatelska;Gorzów Wielkopolski;8 Zielona Góra;9186;M
2001;Elżbieta Łukacijewska;1966-11-25;35;Klub Parlamentarny Platforma Obywatelska;Jasło;22 Krosno;5447;F
2001;Bohdan Kopczyński;1935-10-22;66;Poseł niezrzeszony;Włodzimierz Wołyński;41 Szczecin;5452;M
2001;Wanda Łyżwińska;1953-07-09;48;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;Piaseczno;17 Radom;6927;F
2001;Edmund Borawski;1946-04-17;55;Klub Parlamentarny Polskiego Stronnictwa Ludowego;Świdry Podleśne;24 Białystok;7727;M
