Józef Oleksy;1946-06-22;Nowy Sącz;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;18 Siedlce;55703;M
Krzysztof Zaremba;1972-12-12;Szczecin;Klub Parlamentarny Platforma Obywatelska;41 Szczecin;5881;M
Wojciech Długoborski;1954-04-13;Szczecin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;41 Szczecin;10876;M
Iwona Śledzińska-Katarasińska;1941-01-03;Komorniki;Klub Parlamentarny Platforma Obywatelska;9 Łódź;12161;F
Gertruda Szumska;1941-12-11;Gdańsk;Koło Poselskie "Dom Ojczysty";25 Gdańsk;6596;F
Marek Muszyński;1947-01-23;Lublin;Poseł niezrzeszony;3 Wrocław;2915;M
Tadeusz Balcerowski;1933-01-5;Pawliczka;Klub Parlamentarny Polskiego Stronnictwa Ludowego;17 Radom;4104;M
Mieczysław Aszkiełowicz;1957-01-12;Olsztyn;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;35 Olsztyn;6753;M
Jakub Derech-Krzycki;1970-06-24;Poznań;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;8 Zielona Góra;10739;M
Wojciech Mojzesowicz;1954-06-25;Bydgoszcz;Klub Parlamentarny Prawo i Sprawiedliwość;4 Bydgoszcz;14870;M
Bogdan Klich;1960-05-08;Kraków;Klub Poselski Platformy Obywatelskiej;13 Kraków;11307;M
Jan Szymański;1953-09-23;Prudnik;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;3 Wrocław;10147;M
Józef Szczepańczyk;1954-08-25;Szarwark;Klub Parlamentarny Polskiego Stronnictwa Ludowego;33 Kielce;7244;M
Kazimierz Zarzycki;1939-09-26;Tuczempt;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;27 Bielsko-Biała;20002;M
Jan Łączny;1950-12-19;Dobrzyca;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;40 Koszalin;498;M
Józef Laskowski;1955-03-26;Wiżajny;Koło Poselskie "Dom Ojczysty";24 Białystok;7304;M
Krystian Łuczak;1949-11-20;Inowrocław;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;5 Toruń;7088;M
Grzegorz Górniak;1959-07-28;Ziębice;Koło Poselskie "Dom Ojczysty";2 Wałbrzych;4401;M
Jacek Wojciechowicz;1963-06-26;Racibórz;Klub Parlamentarny Platforma Obywatelska;18 Siedlce;3058;M
Tadeusz Kaleniecki;1949-06-06;Wałbrzych;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;22 Krosno;7312;M
Aleksander Szczygło;1963-10-27;Jeziorany;Klub Parlamentarny Prawo i Sprawiedliwość;35 Olsztyn;5536;M
Witold Gintowt-Dziewałtowski;1949-01-11;Drewnica;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;34 Elbląg;21377;M
Tadeusz Motowidło;1952-07-21;Trójczyce;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;30 Rybnik;8968;M
Szczepan Skomra;1949-08-12;Wysoka;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;7 Chełm;8729;M
Bożena Kozłowska;1956-05-28;Barlinek;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;41 Szczecin;8457;F
Andrzej Szarawarski;1948-02-25;Czeladź;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;32 Sosnowiec;48016;M
Kazimierz Michał Ujazdowski;1964-07-28;Kielce;Klub Parlamentarny Prawo i Sprawiedliwość;3 Wrocław;25871;M
Tadeusz Ferenc;1940-02-10;Rzeszów;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;23 Rzeszów;8843;M
Stefan Nowak;1939-02-8;Przybysławice;Klub Parlamentarny Polskiego Stronnictwa Ludowego;13 Kraków;1492;M
Piotr Kozłowski;1961-06-25;Milicz;Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej;3 Wrocław;10920;M
Zbigniew Sosnowski;1963-12-10;Rypin;Klub Parlamentarny Polskiego Stronnictwa Ludowego;5 Toruń;4246;M
Artur Balazs;1952-01-03;Ełk;Koło Poselskie Konserwatywno-Ludowe;41 Szczecin;6980;M
Andrzej Celiński;1950-02-26;Warszawa;Klub Parlamentarny Socjaldemokracji Polskiej;20 Warszawa;14193;M
Jacek Kasprzyk;1960-08-21;Częstochowa;Klub Parlamentarny Socjaldemokracji Polskiej;28 Częstochowa;11956;M
Ryszard Chodynicki;1947-02-22;Polanów;Koło Poselskie Partii Ludowo-Demokratycznej;5 Toruń;8563;M
Benedykt Suchecki;1945-04-13;Karnice;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;16 Płock;6414;M
