imnz;wiek;klub;kadencje
Adam Abramowicz;1961;PiS;2
Adam Hofman;1980;PiS;3
Adam Kwiatkowski;1972;PiS;1
Adam Kępiński;1975;RP;1
Adam Lipiński;1956;PiS;5
Adam Rogacki;1976;PiS;3
Adam Rybakowicz;1984;RP;1
Adam Szejnfeld;1958;PO;3
Adam Żyliński;1958;PO;2
Agnieszka Hanajczyk;1963;PO;2
Agnieszka Kozłowska-Rajewicz;1969;PO;2
Agnieszka Kołacz-Leszczyńska;1972;PO;1
Agnieszka Pomaska;1980;PO;2
Aleksander Grad;1962;PO;4
Aleksandra Trybuś;1967;PO;1
Alicja Dąbrowska;1956;PO;2
Alicja Olechowska;1956;PO;4
Andrzej Adamczyk;1959;PiS;3
Andrzej Biernat;1960;PO;3
Andrzej Buła;1965;PO;2
Andrzej Bętkowski;1951;PiS;2
Andrzej Czerwiński;1954;PO;4
Andrzej Dera;1961;PiS;1
Andrzej Duda;1972;PiS;1
Andrzej Dąbrowski;1972;PiS;1
Andrzej Gałażewski;1944;PO;4
Andrzej Gut-Mostowy;1960;PO;3
Andrzej Halicki;1961;PO;3
Andrzej Jaworski;1970;PiS;2
Andrzej Kania;1963;PO;2
Andrzej Lewandowski;1954;RP;1
Andrzej Orzechowski;1962;PO;2
Andrzej Piątak;1969;RP;1
Andrzej Romanek;1967;PiS;1
Andrzej Rozenek;1969;RP;1
Andrzej Szlachta;1947;PiS;3
Andrzej Sztorc;1953;PSL;2
Anna Bańkowska;1946;SLD;6
Anna Elżbieta Sobecka;1951;PiS;1
Anna Fotyga;1957;PiS;1
Anna Grodzka;1954;RP;1
Anna Nemś;1964;PO;1
Anna Paluch;1960;PiS;3
Anna Zalewska;1965;PiS;2
Antoni Macierewicz;1948;PiS;5
Antoni Mężydło;1954;PO;4
Arkadiusz Czartoryski;1966;PiS;3
Arkadiusz Litwiński;1970;PO;3
Arkadiusz Mularczyk;1971;PiS;3
Arkady Fiedler;1945;PO;3
Armand Kamil Ryfiński;1974;RP;1
Artur Bramora;1972;RP;1
Artur Dunin;1969;PO;2
Artur Dębski;1969;RP;1
Artur Gierada;1979;PO;2
Artur Górczyński;1972;RP;1
Artur Górski;1970;PiS;3
Artur Ostrowski;1968;SLD;3
Barbara Bartuś;1967;PiS;2
Barbara Bubula;1963;PiS;2
Barbara Czaplicka;1948;PO;2
Barbara Kudrycka;1956;PO;1
Bartosz Arłukowicz;1971;PO;2
Bartosz Kownacki;1979;PiS;1
Bartłomiej Bodio;1972;RP;1
Beata Bublewicz;1975;PO;3
Beata Kempa;1966;PiS;3
Beata Mazurek;1967;PiS;3
Beata Małecka-Libera;1954;PO;3
Beata Szydło;1963;PiS;3
Bogdan Rzońca;1961;PiS;1
Bogdan Zdrojewski;1957;PO;4
Bogusław Wontor;1967;SLD;4
Bolesław Grzegorz Piecha;1954;PiS;3
Borys Budka;1978;PO;1
Bożena Kamińska;1965;PO;1
Bożena Szydłowska;1951;PO;2
Bożena Sławiak;1948;PO;2
Bożenna Bukiewicz;1952;PO;3
Brygida Kolenda-Łabuś;1950;PO;1
Cezary Grabarczyk;1960;PO;4
Cezary Kucharski;1972;PO;1
Cezary Olejniczak;1972;SLD;1
Cezary Tomczyk;1984;PO;2
Czesław Czechyra;1954;PO;2
Czesław Gluza;1956;PO;1
Czesław Hoc;1954;PiS;3
Czesław Mroczek;1964;PO;3
Damian Raczkowski;1975;PO;3
Danuta Pietraszewska;1947;PO;3
Dariusz Bąk;1958;PiS;2
Dariusz Cezar Dziadzio;1975;RP;1
Dariusz Joński;1979;SLD;1
Dariusz Piontkowski;1964;PiS;1
Dariusz Rosati;1946;PO;1
Dariusz Seliga;1969;PiS;3
Dawid Jackiewicz;1973;PiS;3
Domicela Kopaczewska;1958;PO;3
Donald Tusk;1957;PO;5
Dorota Arciszewska-Mielewczyk;1968;PiS;2
Dorota Niedziela;1964;PO;1
Dorota Rutkowska;1962;PO;2
Edmund Borawski;1946;PSL;3
Edward Czesak;1951;PiS;3
Edward Siarka;1963;PiS;3
Elżbieta Apolonia Pierzchała;1954;PO;1
Elżbieta Gapińska;1960;PO;1
Elżbieta Gelert;1955;PO;1
Elżbieta Kruk;1959;PiS;3
Elżbieta Radziszewska;1958;PO;4
Elżbieta Rafalska;1955;PiS;2
Elżbieta Witek;1957;PiS;3
Eugeniusz Czykwin;1949;SLD;5
Eugeniusz Kłopotek;1953;PSL;3
Eugeniusz Tomasz Grzeszczak;1954;PSL;1
Ewa Drozd;1963;PO;2
Ewa Kopacz;1956;PO;4
Ewa Kołodziej;1978;PO;1
Ewa Malik;1961;PiS;3
Ewa Wolak;1960;PO;3
Ewa Żmuda-Trzebiatowska;1956;PO;1
Franciszek Jerzy Stefaniuk;1944;PSL;6
Gabriela Masłowska;1950;PiS;4
Genowefa Tokarska;1949;PSL;1
Grzegorz Adam Woźniak;1968;PiS;1
Grzegorz Matusiak;1961;PiS;1
Grzegorz Napieralski;1974;SLD;4
Grzegorz Raniewicz;1970;PO;2
Grzegorz Schetyna;1963;PO;4
Grzegorz Schreiber;1961;PiS;2
Grzegorz Sztolcman;1962;PO;2
Grzegorz Tobiszowski;1965;PiS;3
Halina Rozpondek;1950;PO;3
Halina Szymiec-Raczyńska;1949;RP;1
Henryk Kmiecik;1953;RP;1
Henryk Kowalczyk;1956;PiS;3
Henryk Siedlaczek;1956;PO;3
Henryk Smolarz;1969;PSL;2
Ireneusz Raś;1972;PO;3
Iwona Ewa Arent;1968;PiS;1
Iwona Guzowska;1974;PO;2
Iwona Kozłowska;1963;PO;1
Iwona Śledzińska-Katarasińska;1941;PO;7
Izabela Katarzyna Mrzygłocka;1959;PO;3
Izabela Kloc;1963;PiS;3
Izabela Leszczyna;1962;PO;2
Jacek Bogucki;1959;PiS;3
Jacek Brzezinka;1966;PO;2
Jacek Czerniak;1964;SLD;1
Jacek Falfus;1951;PiS;4
Jacek Kozaczyński;1968;PO;2
Jacek Kwiatkowski;1970;RP;1
Jacek Najder;1978;RP;1
Jacek Osuch;1958;PiS;2
Jacek Sasin;1969;PiS;1
Jacek Tomczak;1973;PO;3
Jacek Świat;1955;PiS;1
Jacek Żalek;1973;PO;2
Jadwiga Wiśniewska;1963;PiS;3
Jadwiga Zakrzewska;1950;PO;3
Jagna Marczułajtis-Walczak;1978;PO;1
Jakub Rutnicki;1978;PO;3
Jakub Szulc;1973;PO;3
Jan Bury;1963;PSL;6
Jan Cedzyński;1961;RP;1
Jan Dziedziczak;1981;PiS;2
Jan Kaźmierczak;1950;PO;2
