Tomasz Szyszko;1960-12-22;Konin;Klub Parlamentarny Akcji Wyborczej Solidarność;19 Konin;;M
Krzysztof Kłak;1966-03-29;Przeworsk;Klub Parlamentarny Akcji Wyborczej Solidarność;36 Przemyśl;;M
Jan Piątkowski;1935-10-04;Gnieszowice;Koło Parlamentarne Ruchu Odbudowy Polski;30 Opole;;M
Lesław Podkański;1956-02-11;Tarnawa Mała;Klub Parlamentarny Polskiego Stronnictwa Ludowego;51 Zamość;;M
Władysław Adamski;1963-05-23;Ruda Śląska;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;18 Kielce;;M
Stanisław Brzózka;1952-04-28;Parczówek;Klub Parlamentarny Polskiego Stronnictwa Ludowego;37 Radom;;M
Maciej Rudnicki;1970-12-20;Gorzów Wlkp.;Klub Parlamentarny Akcji Wyborczej Solidarność;12 Gorzów Wielkopolski;;M
Marek Mazurkiewicz;1931-06-20;Wilno;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;50 Wrocław;;M
Grzegorz Kurczuk;1949-09-20;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;25 Lublin;;M
Roman Jagieliński;1947-01-02;Wichradz;posłowie niezrzeszeni;33 Piotrków Trybunalski;;M
Edmund Sroka;1947-09-13;Katowice;Klub Parlamentarny Akcji Wyborczej Solidarność;16 Katowice;;M
Ludwik Dorn;1954-06-05;Warszawa;Klub Parlamentarny "Prawo i Sprawiedliwość";02 Warszawa;;M
Kazimierz Sas;1947-09-04;Maniowy;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;28 Nowy Sącz;;M
Józef Gruszka;1947-03-16;Kwiatków;Klub Parlamentarny Polskiego Stronnictwa Ludowego;14 Kalisz;;M
Ryszard Andrzej Ostrowski;1958-08-03;Rybnik;Klub Parlamentarny Unii Wolności ;17 Gliwice;;M
Marek Piotrowicz;1962-01-18;Gostynin;Klub Parlamentarny Akcji Wyborczej Solidarność;02 Warszawa;;M
Krystyna Łybacka;1946-02-10;Jutrosin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;35 Poznań;;F
Agnieszka Pasternak;1972-01-26;Dąbrowa Górnicza;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;15 Sosnowiec;;F
Janusz Zemke;1949-02-24;Kowalewo Pomorskie;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;06 Bydgoszcz;;M
Kazimierz Dzielski;1954-01-28;Wróblówka woj. nowosądeckie;Klub Parlamentarny Akcji Wyborczej Solidarność;28 Nowy Sącz;;M
Kazimierz Milner;1942-05-13;Dąbrowa Górnicza;posłowie niezrzeszeni;15 Sosnowiec;;M
Helena Góralska;1947-10-20;Warszawa;Klub Parlamentarny Unii Wolności ;09 Częstochowa;;F
Zbigniew Zarębski;1957-10-13;Wieliczka;Klub Parlamentarny Akcji Wyborczej Solidarność;21 Kraków;;M
Renata Szynalska;1969-10-14;Kalisz;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;14 Kalisz;;F
Mirosław Andrzej Styczeń;1953-04-24;Kraków;Klub Parlamentarny "Prawo i Sprawiedliwość";05 Bielsko-Biała;;M
Izabella Sierakowska;1946-09-22;Góra Śląska woj. leszczyńskie;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;25 Lublin;;F
Mirosław Kukliński;1959-10-01;Tomaszów Mazowiecki;Klub Parlamentarny Akcji Wyborczej Solidarność;33 Piotrków Trybunalski;;M
Andrzej Wielowieyski;1927-12-16;Warszawa;Klub Parlamentarny Unii Wolności ;01 Warszawa;;M
Piotr Żak;1957-02-02;Łódź;posłowie niezrzeszeni;27 Łódź;;M
Grzegorz Woźny;1946-07-19;Pudliszki;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;14 Kalisz;;M
Jerzy Polaczek;1961-08-24;Piekary Śląskie;Klub Parlamentarny "Prawo i Sprawiedliwość";16 Katowice;;M
Wacław Martyniuk;1949-11-10;Bytom;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;17 Gliwice;;M
Aleksander Łuczak;1943-09-10;Legionowo;Klub Parlamentarny Polskiego Stronnictwa Ludowego;31 Ostrołęka;;M
Maria Kleitz-Żółtowska;1948-01-31;Zybułtowo woj. olsztyńskie;Klub Parlamentarny Akcji Wyborczej Solidarność;34 Płock;;F
Kazimierz Poznański;1962-03-04;Libiąż;Klub Parlamentarny Akcji Wyborczej Solidarność;15 Sosnowiec;;M
Franciszek Jerzy Stefaniuk;1944-06-04;Drelów;Klub Parlamentarny Polskiego Stronnictwa Ludowego;03 Biała Podlaska;;M
Dariusz Grabowski;1950-08-28;Warszawa;posłowie niezrzeszeni;37 Radom;;M
Jacek Kasprzyk;1960-08-21;Częstochowa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;09 Częstochowa;;M
Mirosław Pawlak;1942-04-02;Zielonki;Klub Parlamentarny Polskiego Stronnictwa Ludowego;18 Kielce;;M
Joanna Fabisiak;1950-07-07;Warszawa;Klub Parlamentarny Akcji Wyborczej Solidarność;01 Warszawa;;F
Antoni Tyczka;1952-02-08;Konin;Klub Parlamentarny Akcji Wyborczej Solidarność;19 Konin;;M
Jan Oraniec;1954-10-19;Ożarów;Klub Parlamentarny Akcji Wyborczej Solidarność;45 Tarnobrzeg;;M
Jarosław Kalinowski;1962-04-12;Wyszków;Klub Parlamentarny Polskiego Stronnictwa Ludowego;31 Ostrołęka;;M
Andrzej Brachmański;1958-06-10;Wolsztyn;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;52 Zielona Góra;;M
Andrzej Folwarczny;1970-02-27;Zbrosławice;Klub Parlamentarny Unii Wolności ;17 Gliwice;;M
Tadeusz Matyjek;1935-06-01;Grójec;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;29 Olsztyn;;M
Grażyna Sołtyk;1948-04-20;Warszawa;Klub Parlamentarny "Prawo i Sprawiedliwość";49 Włocławek;;F
Waldemar Józef Bartosz;1954-01-17;Snochowice;Klub Parlamentarny Akcji Wyborczej Solidarność;18 Kielce;;M
Dariusz Wójcik;1961-04-09;Chełm;Klub Parlamentarny Akcji Wyborczej Solidarność;25 Lublin;;M
Bogdan Lewandowski;1946-12-07;Toruń;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;47 Toruń;;M
Jerzy Feliks Budnik;1951-05-30;Wejherowo;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;11 Gdańsk;;M
Stanisław Głowacki;1956-02-11;Chlewiska;Klub Parlamentarny Akcji Wyborczej Solidarność;18 Kielce;;M
Zygmunt Berdychowski;1960-09-09;Krynica Górska;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;28 Nowy Sącz;;M
Jerzy Wiatr;1931-09-17;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;01 Warszawa;;M
Janina Kraus;1952-01-10;Katowice;Koło Parlamentarne ALTERNATYWA;33 Piotrków Trybunalski;;F
Marian Juśko;1942-04-12;Lublin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;25 Lublin;;M
Ewa Freyberg;1944-01-28;Zimna Woda;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;12 Gorzów Wielkopolski;;F
Ryszard Stanibuła;1950-10-24;Rachanie;Klub Parlamentarny Polskiego Stronnictwa Ludowego;51 Zamość;;M
Andrzej Pęczak;1951-03-10;Łódź;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;27 Łódź;;M
Jan Sieńko;1947-04-14;Bełżyce;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;42 Słupsk;;M
Ryszard Zbrzyzny;1955-05-04;Lubawka;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;23 Legnica;;M
Jerzy Stanisław Madej;1935-09-02;Starachowice;Klub Parlamentarny Unii Wolności ;20 Koszalin;;M
Joanna Sosnowska;1968-08-26;Lidzbark Warmiński;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;29 Olsztyn;;F
Jerzy Kropiwnicki;1945-07-05;Częstochowa;posłowie niezrzeszeni;27 Łódź;;M
Antoni Kobielusz;1947-06-22;Wechowice;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;05 Bielsko-Biała;;M
Aleksander Hall;1953-05-20;Gdańsk;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;11 Gdańsk;;M
Grzegorz Schetyna;1963-02-18;Opole;posłowie niezrzeszeni;50 Wrocław;;M
Stanisław Stec;1941-03-22;Jazowsko;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;35 Poznań;;M
Michał Tomasz Kamiński;1972-03-28;Warszawa;Klub Parlamentarny "Prawo i Sprawiedliwość";26 Łomża;;M
Adam Słomka;1964-11-23;Cieszyn;posłowie niezrzeszeni;16 Katowice;;M
Czesław Siekierski;1952-10-08;Stopnica;Klub Parlamentarny Polskiego Stronnictwa Ludowego;18 Kielce;;M
Andrzej Olszewski;1931-06-02;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;41 Skierniewice;;M
Kazimierz Janiak;1959-03-03;Łódź;Klub Parlamentarny Akcji Wyborczej Solidarność;42 Słupsk;;M
Krzysztof Anuszkiewicz;1962-04-10;Olecko;Klub Parlamentarny Akcji Wyborczej Solidarność;43 Suwałki;;M
Jerzy Borowczak;1957-11-15;Białogard;posłowie niezrzeszeni;11 Gdańsk;;M
Zdzisława Kobylińska;1965-09-07;Dobre Miasto;Klub Parlamentarny "Prawo i Sprawiedliwość";43 Suwałki;;F
Wiesław Szweda;1954-03-02;Rybnik;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;17 Gliwice;;M
Jan Kochanowski;1949-06-21;Świebodzin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;12 Gorzów Wielkopolski;;M
Seweryn Jurgielaniec;1938-06-16;Grodno;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;20 Koszalin;;M
Zofia Krasicka-Domka;1934-10-26;Siedliska;Klub Parlamentarny Akcji Wyborczej Solidarność;28 Nowy Sącz;;F
Andrzej Zając;1949-04-09;Trzebinia;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;17 Gliwice;;M
Ryszard Hayn;1944-07-24;Egeln - Niemcy;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;24 Leszno;;M
Adam Śnieżek;1951-02-25;Orzechówka;Klub Parlamentarny Akcji Wyborczej Solidarność;38 Rzeszów;;M
Małgorzata Ostrowska;1958-07-31;Malbork;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;10 Elbląg;;F
Stanisław Pawlak;1952-05-22;Lubomin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;49 Włocławek;;M
Roman Rutkowski;1959-11-18;Gorzów Wlkp.;Klub Parlamentarny Akcji Wyborczej Solidarność;12 Gorzów Wielkopolski;;M
Tadeusz Maćkała;1962-11-02;Lubin;posłowie niezrzeszeni;23 Legnica;;M
Romuald Ajchler;1949-01-19;Duszniki Wlkp.;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;32 Piła;;M
Katarzyna Maria Piekarska;1967-09-23;Warszawa;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;01 Warszawa;;F
Andrzej Chrzanowski;1948-04-29;Bydgoszcz;Klub Parlamentarny Akcji Wyborczej Solidarność;52 Zielona Góra;;M
Wiesław Ciesielski;1953-07-14;Syców;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;38 Rzeszów;;M
Józef Lassota;1943-10-24;Siedliska;Klub Parlamentarny Unii Wolności ;21 Kraków;;M
Sergiusz Plewa;1940-03-16;Łosinka;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;04 Białystok;;M
Józef Górny;1949-09-15;Gilowice;Klub Parlamentarny Akcji Wyborczej Solidarność;38 Rzeszów;;M
Krystyna Cencek;1951-08-25;Marchocice;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;15 Sosnowiec;;F
Tadeusz Wrona;1951-03-26;Szczecin;Klub Parlamentarny Akcji Wyborczej Solidarność;09 Częstochowa;;M
Stanisław Szwed;1955-04-12;Bielsko-Biała;Klub Parlamentarny Akcji Wyborczej Solidarność;05 Bielsko-Biała;;M
Józef Zych;1938-03-23;Giedlarowa;Klub Parlamentarny Polskiego Stronnictwa Ludowego;52 Zielona Góra;;M
Mirosław Pietrewicz;1941-01-02;Nowa Wieś;Klub Parlamentarny Polskiego Stronnictwa Ludowego;01 Warszawa;;M
Paweł Nowok;1942-01-02;Ruda Śląska;Klub Parlamentarny Akcji Wyborczej Solidarność;16 Katowice;;M
Jan Chmielewski;1951-12-27;Wrocław;Klub Parlamentarny Akcji Wyborczej Solidarność;50 Wrocław;;M
Andrzej Żelazowski;1944-07-13;Mińsk Mazowiecki;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;02 Warszawa;;M
Eugeniusz Kłopotek;1953-11-15;Chojnice;Klub Parlamentarny Polskiego Stronnictwa Ludowego;06 Bydgoszcz;;M
Witold Nieduszyński;1950-10-02;Warszawa;Klub Parlamentarny "Prawo i Sprawiedliwość";18 Kielce;;M
Marek Kolasiński;1953-01-13;Żarnowiec;Klub Parlamentarny Akcji Wyborczej Solidarność;15 Sosnowiec;;M
Józef Nowicki;1944-08-14;Gorzów Wlkp.;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;19 Konin;;M
Bogdan Bujak;1954-07-14;Piotrków Trybunalski;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;33 Piotrków Trybunalski;;M
Urszula Wachowska;1938-10-24;Łoknica;Klub Parlamentarny Akcji Wyborczej Solidarność;35 Poznań;;F
Stanisław Janas;1953-11-15;Mielec;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;38 Rzeszów;;M
Kosma Złotowski;1964-01-14;Bydgoszcz;Klub Parlamentarny Akcji Wyborczej Solidarność;06 Bydgoszcz;;F
Czesław Śleziak;1952-06-30;Laliki;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;16 Katowice;;M
Marian Piłka;1954-06-16;Trąbki;Klub Parlamentarny "Prawo i Sprawiedliwość";39 Siedlce;;M
Marek Olewiński;1947-11-23;Złotów;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;49 Włocławek;;M
Jacek Tworkowski;1953-04-09;Piotrków Trybunalski;Klub Parlamentarny Akcji Wyborczej Solidarność;33 Piotrków Trybunalski;;M
Maria Gajecka-Bożek;1946-07-12;Zawiercie;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;15 Sosnowiec;;F
Bronisława Kowalska;1955-12-05;Starachowice;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;23 Legnica;;F
Edward Maniura;1960-02-24;Lubsza;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;09 Częstochowa;;M
Jacek Kuroń;1934-03-03;Lwów;Klub Parlamentarny Unii Wolności ;01 Warszawa;;M
Krzysztof Jurgiel;1953-11-18;Ogrodniki;Klub Parlamentarny "Prawo i Sprawiedliwość";04 Białystok;;M
Stanisław Paszczyk;1940-04-16;Pruszków;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;02 Warszawa;;M
Józef Błaszczyk;1945-02-03;Ruda Śląska;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;16 Katowice;;M
Zdzisław Podkański;1949-10-18;Guzówka;Klub Parlamentarny Polskiego Stronnictwa Ludowego;25 Lublin;;M
Ryszard Ulicki;1943-07-20;Łódź;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;20 Koszalin;;M
Grzegorz Walendzik;1955-01-21;Starachowice;Klub Parlamentarny Akcji Wyborczej Solidarność;18 Kielce;;M
Jacek Piechota;1959-04-28;Szczecin;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;44 Szczecin;;M
Grzegorz Gruszka;1962-09-02;Koski 38;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;06 Bydgoszcz;;M
Marian Dembiński;1947-11-21;Strzegom;Klub Parlamentarny Akcji Wyborczej Solidarność;48 Wałbrzych;;M
Grażyna Langowska;1946-10-14;Rzeszotary;Klub Parlamentarny Akcji Wyborczej Solidarność;29 Olsztyn;;F
Mariusz Ambroziak;1969-11-24;Sochaczew;Klub Parlamentarny Akcji Wyborczej Solidarność;34 Płock;;M
Jan Kulas;1957-07-21;Kościerzyna;Klub Parlamentarny Akcji Wyborczej Solidarność;11 Gdańsk;;M
Elżbieta Barys;1947-01-19;Poznań;Klub Parlamentarny Akcji Wyborczej Solidarność;24 Leszno;;F
Wojciech Szczęsny Zarzycki;1942-06-26;Warszawa;Klub Parlamentarny Polskiego Stronnictwa Ludowego;40 Sieradz;;M
Zbigniew Wawak;1967-02-10;Bielsko-Biała;Klub Parlamentarny Akcji Wyborczej Solidarność;05 Bielsko-Biała;;M
Anna Zalewska;1939-09-18;Pokrytki;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;08 Ciechanów;;F
Andrzej Otręba;1949-07-23;Tyniec;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;50 Wrocław;;M
Waldemar Mieczysław Sikora;1945-01-01;Rudnik n/Sanem;posłowie niezrzeszeni;38 Rzeszów;;M
Mieczysław Czerniawski;1948-07-15;Glinne ;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;26 Łomża;;M
Ewa Sikorska-Trela;1943-01-02;Siedlce;Klub Parlamentarny Akcji Wyborczej Solidarność;11 Gdańsk;;F
Jan Wyrowiński;1947-08-27;Brusy;Klub Parlamentarny Unii Wolności ;47 Toruń;;M
Bogusław Liberadzki;1948-09-12;Sochaczew;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;44 Szczecin;;M
Tadeusz Tomaszewski;1959-02-21;Niechanowo;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;35 Poznań;;M
Kazimierz Kapera;1942-07-14;Jodłownik;Klub Parlamentarny Akcji Wyborczej Solidarność;21 Kraków;;M
Bronisław Komorowski;1952-06-04;Oborniki Śląskie;Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego;01 Warszawa;;M
Stanisław Żelichowski;1944-04-09;Księżostany;Klub Parlamentarny Polskiego Stronnictwa Ludowego;08 Ciechanów;;M
Epaminondas Osiatyński;1941-11-02;Ryga;Klub Parlamentarny Unii Wolności ;22 Krosno;;M
Marek Biernacki;1959-04-28;Sopot;Klub Parlamentarny Akcji Wyborczej Solidarność;11 Gdańsk;;M
Leszek Piotrowski;1938-07-16;Rybnik;posłowie niezrzeszeni;16 Katowice;;M
Stanisław Zając;1949-05-01;Święcany;Klub Parlamentarny Akcji Wyborczej Solidarność;22 Krosno;;M
Marian Jaszewski;1962-05-03;Kolno;Klub Parlamentarny Akcji Wyborczej Solidarność;26 Łomża;;M
Karol Łużniak;1950-06-09;Kraków;Klub Parlamentarny Akcji Wyborczej Solidarność;17 Gliwice;;M
Wit Majewski;1943-07-21;Janów;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;31 Ostrołęka;;M
Tomasz Wełnicki;1957-11-16;Wrocław;Klub Parlamentarny Akcji Wyborczej Solidarność;39 Siedlce;;M
Kazimierz Szczygielski;1946-11-16;Dziećmarów gm. Baborów;Klub Parlamentarny Unii Wolności ;30 Opole;;M
Józef Oleksy;1946-06-22;Nowy Sącz;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;39 Siedlce;;M
Roman Sroczyński;1945-09-04;Fallinbostel (w Niemczech);Klub Parlamentarny Sojuszu Lewicy Demokratycznej;40 Sieradz;;M
Adam Stanisław Szejnfeld;1958-11-13;Kalisz;posłowie niezrzeszeni;32 Piła;;M
Jan Byra;1958-05-27;Józefów;Klub Parlamentarny Sojuszu Lewicy Demokratycznej;51 Zamość;;M
Paweł Jaros;1961-12-01;Kutno;Klub Parlamentarny Akcji Wyborczej Solidarność;34 Płock;;M
Andrzej Potocki;1964-08-25;Gliwice;Klub Parlamentarny Unii Wolności ;17 Gliwice;;M
Andrzej Anusz;1965-08-27;Warszawa;Klub Parlamentarny Akcji Wyborczej Solidarność;02 Warszawa;;M
Włodzimierz Puzyna;1947-07-09;Szczecin;Klub Parlamentarny Unii Wolności ;44 Szczecin;;M
Andrzej Osnowski;1948-11-27;Rzemień;Klub Parlamentarny Akcji Wyborczej Solidarność;38 Rzeszów;;M
Jerzy Barzowski;1951-08-10;Pomysk Wielki;Klub Parlamentarny Akcji Wyborczej Solidarność;42 Słupsk;;M
