year;pack;name;age;height;weight;caps;position;poscode
1999;ARG;Diego Albanese;26;175;77;28;Wing;WI
1999;ARG;Fernando Diaz Alberdi;27;180;108;2;Prop;PR
1999;ARG;Alejandro Allub;23;195;105;18;Lock;SR
1999;ARG;Lisandro Arbizu;28;175;78;54;Flyhalf;FH
1999;ARG;Octavio Bartolucci;24;195;100;8;Wing;WI
1999;ARG;Gonzalo Camardon;29;187;85;22;Scrumhalf;SH
1999;ARG;Agustin Canalda;22;182;99;2;Hooker;HK
1999;ARG;Jose Cilley;27;177;80;9;Flyhalf;FH
1999;ARG;Felipe Contepomi;22;180;86;4;Centre;CE
1999;ARG;Manuel Contepomi;22;190;95;8;Fullback;FB
1999;ARG;Ignacio Corletto;21;185;85;2;Wing;WI
1999;ARG;Ignacio Fernandez Lobbe;25;193;106;14;Flanker;SR
1999;ARG;Juan Fernandez Miranda;25;180;85;5;Flyhalf;FH
1999;ARG;Nicolas Fernandez Miranda;27;180;86;20;Scrumhalf;SH
1999;ARG;Roberto Grau;29;180;108;24;Prop;PR
1999;ARG;Omar Hasan Jalil;28;182;110;24;Prop;PR
1999;ARG;Mario Ledesma Arocena;26;182;85;18;Hooker;HK
1999;ARG;Gonzalo Longo Elia;25;193;98;5;Number-8;SR
1999;ARG;Rolando Martin;31;187;103;48;Flanker;SR
1999;ARG;Jose Orengo;23;175;86;12;Centre;CE
1999;ARG;Lucas Ostiglia;23;190;95;5;Lock;SR
1999;ARG;Raul Perez;34;198;110;20;Flanker;SR
1999;ARG;Santiago Phelan;25;185;90;12;Flanker;SR
1999;ARG;Agustin Pichot;25;175;78;22;Scrumhalf;SH
1999;ARG;Gonzalo Quesada;25;182;88;18;Flyhalf;FH
1999;ARG;Mauricio Reggiardo;29;190;122;25;Prop;PR
1999;ARG;Miguel Ruiz;24;193;103;17;Flanker;SR
1999;ARG;Martin Scelzo;23;190;91;12;Prop;PR
1999;ARG;Eduardo Simone;25;182;89;24;Centre;CE
1999;ARG;Pedro Sporleder;28;198;118;63;Lock;SR
1999;AUS;Andrew Blades;32;175;111;27;Prop;PR
1999;AUS;Tom Bowman;23;200;109;15;Lock;SR
1999;AUS;Matthew Burke;26;182;94;39;Fullback;FB
1999;AUS;Matt Cockbain;27;195;108;24;Flanker;SR
1999;AUS;Mark Connors;28;195;103;5;Lock;SR
1999;AUS;Dan Crowley;34;175;102.5;35;Prop;PR
1999;AUS;John Eales;29;200;114;65;Lock;SR
1999;AUS;Owen Finegan;27;195;113;28;Flanker;SR
1999;AUS;Michael Foley;32;180;106;24;Hooker;HK
1999;AUS;David Giffin;26;198;112.5;11;Lock;SR
1999;AUS;George Gregan;26;172;79;50;Scrumhalf;SH
1999;AUS;Nathan Grey;24;182;94;13;Centre;CE
1999;AUS;Dan Herbert;25;187;93;34;Centre;CE
1999;AUS;Richard Harry;32;185;117.5;26;Prop;PR
1999;AUS;Tim Horan;29;182;90;75;Centre;CE
1999;AUS;Rod Kafer;28;177;95;2;Flyhalf;FH
1999;AUS;Phil Kearns;32;182;110;66;Hooker;HK
1999;AUS;Toutai Kefu;25;190;106;22;Number-8;SR
1999;AUS;Steve Larkham;25;187;86;25;Flyhalf;FH
1999;AUS;Chris Latham;24;190;92.5;5;Fullback;FB
1999;AUS;Jason Little;29;185;93;63;Centre;CE
1999;AUS;Patricio Noriega;28;185;119;9;Prop;PR
1999;AUS;Jeremy Paul;22;185;108;11;Prop;PR
1999;AUS;Joe Roff;24;190;100;46;Wing;WI
1999;AUS;Scott Staniforth;22;186;96;0.00;Wing;WI
1999;AUS;Tiaan Strauss;34;187;104;8;Number-8;SR
1999;AUS;Ben Tune;23;185;85;32;Wing;WI
1999;AUS;Chris Whitaker;25;180;79;5;Scrumhalf;SH
1999;AUS;Jim Williams;31;193;102.5;3;Flanker;SR
1999;AUS;David Wilson;32;187;93;68;Flanker;SR
1999;CAN;Ryan Banks;27;182;101;7;Flanker;SR
1999;CAN;Danny Baugh;25;182;91;14;Flanker;SR
1999;CAN;Richard Bice;31;190;120;21;Prop;PR
1999;CAN;Scott Bryan;30;187;93;17;Centre;CE
1999;CAN;Mark Cardinal;38;180;93;33;Hooker;HK
1999;CAN;Al Charron;33;198;111;51;Number-8;SR
1999;CAN;Jeremy Cordle;27;185;91;5;Wing;WI
1999;CAN;Pat Dunkley;27;182;93;13;Hooker;HK
1999;CAN;John Graf;31;175;88;52;Scrumhalf;SH
1999;CAN;John Hutchinson;30;193;104;43;Flanker;SR
1999;CAN;Mike James;26;198;111;31;Lock;SR
1999;CAN;Dave Lougheed;31;187;91;29;Wing;WI
1999;CAN;Julian Loveday;36;177;79;10;Wing;WI
1999;CAN;Duane Major;27;182;107;1;Prop;PR
1999;CAN;Brian McCarthy;30;193;116;5;Lock;SR
1999;CAN;Kyle Nichols;24;185;85;11;Centre;CE
1999;CAN;Joe Pagano;27;182;88;9;Wing;WI
1999;CAN;Dave Penney;29;182;105;7;Prop;PR
1999;CAN;Gareth Rees;32;182;92.5;52;Flyhalf;FH
1999;CAN;Bob Robson;32;182;100;3;Flanker;SR
1999;CAN;Bobby Ross;30;180;84;36;Flyhalf;FH
1999;CAN;Mike Schmid;30;190;102;17;Number-8;SR
1999;CAN;Courtney Smith;28;177;87;20;Wing;WI
1999;CAN;Rod Snow;29;180;120;26;Prop;PR
1999;CAN;Winston Stanley;25;185;83.5;34;Wing;WI
1999;CAN;Scott Stewart;30;187;88.5;50;Fullback;FB
1999;CAN;John Tait;26;203;104;18;Lock;SR
1999;CAN;John Thiel;24;185;118;10;Prop;PR
1999;CAN;Morgan Williams;23;182;82;3;Scrumhalf;SH
1999;CAN;Chris Whittaker;28;198;104;16;Lock;SR
1999;ENG;Garath Archer;25;198;117;14;Lock;SR
1999;ENG;Neil Back;30;177;93;24;Flanker;SR
1999;ENG;Nick Beal;29;187;86;12;Fullback;FB
1999;ENG;Mike Catt;28;177;86;36;Flyhalf;FH
1999;ENG;Richard Cockerill;29;177;108;24;Hooker;HK
1999;ENG;Martin Corry;26;195;112;9;Flanker;SR
1999;ENG;Lawrence Dallaglio;27;193;98;29;Flanker;SR
1999;ENG;Matt Dawson;27;180;81;24;Scrumhalf;SH
1999;ENG;Phil De Glanville;31;180;85;35;Centre;CE
1999;ENG;Darren Garforth;33;177;118;22;Prop;PR
1999;ENG;Paul Grayson;28;182;79;19;Flyhalf;FH
1999;ENG;Phil Greening;24;182;108;9;Hooker;HK
1999;ENG;Will Greenwood;27;193;95;12;Centre;CE
1999;ENG;Danny Grewcock;27;198;111;13;Lock;SR
1999;ENG;Jeremy Guscott;34;185;87;63;Centre;CE
1999;ENG;Austin Healey;26;177;85;21;Scrumhalf;SH
1999;ENG;Richard Hill;26;187;99;23;Flanker;SR
1999;ENG;Martin Johnson;29;198;114;49;Lock;SR
1999;ENG;Jason Leonard;31;177;109;74;Prop;PR
1999;ENG;Leon Lloyd;22;193;89;0.00;Wing;WI
1999;ENG;Dan Luger;24;185;89;11;Wing;WI
1999;ENG;Neil McCarthy;25;177;102;2;Hooker;HK
1999;ENG;Matt Perry;22;185;86;21;Fullback;FB
1999;ENG;Tim Rodber;30;198;105;42;Number-8;SR
1999;ENG;Graham Rowntree;28;182;110;24;Prop;PR
1999;ENG;Victor Ubogu;35;175;108;24;Prop;PR
1999;ENG;Phill Vickery;23;190;125;8;Prop;PR
1999;ENG;Jonny Wilkinson;20;177;80;11;Flyhalf;FH
1999;ENG;Joe Worsley;22;195;108;0;Flanker;SR
1999;ENG;Martyn Wood;22;175;83;0.00;Scrumhalf;SH
1999;FIJ;Manasa Bari;25;182;90;10;Wing;WI
1999;FIJ;Alifereti Doviverata;23;190;100;1;Flanker;SR
1999;FIJ;Emori Katalau;32;195;90;17;Lock;SR
1999;FIJ;Fero Lasagavibau;23;175;76;12;Wing;WI
1999;FIJ;Lawrence Little;32;185;91;19;Centre;CE
1999;FIJ;Nicky Little;23;182;93;1;Flyhalf;FH
1999;FIJ;Inoke Male;34;185;105;5;Number-8;SR
1999;FIJ;Tabai Matson;26;191;105;1;Centre;CE
1999;FIJ;Alivereti Mocelau Vuibau;28;190;109;16;Number-8;SR
1999;FIJ;Apisai Naevo;26;195;105;13;Flanker;SR
1999;FIJ;Epeli Naituivau;37;187;114;9;Prop;PR
1999;FIJ;Meli Nakauta;30;185;93;7;Centre;CE
1999;FIJ;Niko Qoro;30;185;114;8;Prop;PR
1999;FIJ;Simon Raiwalui;25;198;114;15;Lock;SR
1999;FIJ;Isaia Rasila;30;180;90;17;Hooker;HK
1999;FIJ;Jacob Rauluni;27;177;88;17;Scrumhalf;SH
1999;FIJ;Mosese Rauluni;24;177;87;5;Scrumhalf;SH
1999;FIJ;Dan Rouse;27;190;112;17;Prop;PR
1999;FIJ;Viliame Satala;27;187;90;6;Fullback;FB
1999;FIJ;Waisale Serevi;31;175;80;16;Fullback;FB
1999;FIJ;Koli Sewabu;24;195;103;5;Number-8;SR
1999;FIJ;Greg Smith;25;190;102;15;Hooker;HK
1999;FIJ;Waisake Sotutu;29;182;96;5;Centre;CE
1999;FIJ;Ilivasi Tamanivalu Tabua;35;195;105;12;Flanker;SR
1999;FIJ;Ifereimi Tawake;37;198;100;39;Lock;SR
1999;FIJ;Setereki Tawake;30;190;93;6;Flanker;SR
1999;FIJ;Imanueli Tikomaimakogai;25;190;93;6;Wing;WI
1999;FIJ;Alfred Uluinayau;27;177;95;14;Centre;CE
1999;FIJ;Joeli Veitayaki;32;185;130;20;Prop;PR
1999;FIJ;Marika Vunibaka;25;193;95;3;Wing;WI
1999;FRA;David Auradou;26;200;101;6;Lock;SR
1999;FRA;Abdelatif Benazzi;31;198;110;66;Flanker;SR
1999;FRA;Philippe Bernat-Salle;29;180;76;28;Wing;WI
1999;FRA;Olivier Brouzet;27;203;120;35;Lock;SR
1999;FRA;Christian Califano;27;180;105;49;Prop;PR
1999;FRA;Stephane Castaignede;30;172;73;3;Scrumhalf;SH
1999;FRA;Thomas Castaignede;24;175;78;31;Centre;CE
1999;FRA;Arnaud Costes;26;185;100;8;Flanker;SR
1999;FRA;Marc Dal Maso;32;180;100;25;Hooker;HK
1999;FRA;Pieter de Villiers;27;185;105;1;Prop;PR
1999;FRA;Cedric Desbrosse;28;190;95;1;Centre;CE
1999;FRA;Christophe Dominici;27;172;77;10;Wing;WI
1999;FRA;Richard Dourthe;25;185;92;18;Centre;CE
1999;FRA;Xavier Garbajosa;23;185;80;12;Wing;WI
1999;FRA;Stephane Glas;26;177;78;29;Centre;CE
1999;FRA;Raphael Ibanez;26;177;96;26;Hooker;HK
1999;FRA;Christophe Juillet;30;190;110;7;Number-8;SR
1999;FRA;Christophe Lamaison;28;180;85;25;Centre;CE
1999;FRA;Marc Lievremont;31;182;90;209;Flanker;SR
1999;FRA;Thomas Lievremont;26;187;105;16;Number-8;SR
1999;FRA;Olivier Magne;26;187;85;25;Flanker;SR
1999;FRA;Lionel Mallier;25;185;98;2;Number-8;SR
1999;FRA;Jimmy Marlu;22;180;78;1;Wing;WI
1999;FRA;Pierre Mignoni;22;170;75;8;Scrumhalf;SH
1999;FRA;Ugo Mola;26;180;78;8;Fullback;FB
1999;FRA;Emile Ntamack;29;187;92;37;Wing;WI
1999;FRA;Fabien Pelous;26;198;108;45;Lock;SR
1999;FRA;Olivier Sarramea;24;193;102;4;Wing;WI
1999;FRA;Cedric Soulette;27;187;108;9;Prop;PR
1999;FRA;Franck Tournaire;27;180;103;39;Prop;PR
1999;IRE;Jonathan Bell;25;180;95;30;Centre;CE
1999;IRE;Justin Bishop;25;182;83;14;Wing;WI
1999;IRE;Trevor Brennan;26;195;103;8;Flanker;SR
1999;IRE;Rob Casey;21;201;117;0;Lock;SR
1999;IRE;Peter Clohessy;33;180;105;32;Prop;PR
1999;IRE;David Corkery;27;193;103;27;Flanker;SR
1999;IRE;Reg Corrigan;29;187;114;9;Prop;PR
1999;IRE;Jeremy Davidson;25;198;109;24;Lock;SR
1999;IRE;Kieron Dawson;24;185;98;3;Flanker;SR
1999;IRE;Girvan Dempsey;24;187;89;7;Fullback;FB
1999;IRE;Eric Elwood;30;182;85;33;Flyhalf;FH
1999;IRE;Justin Fitzpatrick;26;185;114;11;Prop;PR
