team;pid;number;pos;plabel;age;height;weight;bplace;bdate;last;first;caps;isoc;ccoords
TON;61135;SR;SR;Lock;28;198;121;Auckland, New Zealand;1991-07-20;Lousi;Samiuela Taufa;4;NZ;-40.900557,174.885971
TON;34256;SR;SR;Lock;29;196;102;Fairfield, Australia;1989-12-09;Mafi;Sitiveni;32;AU;-25.274398,133.775136
TON;68253;2;HK;Hooker;22;181;111;Angaha, Tonga;1997-02-18;Maile;Siua Pututau;1;TO;-21.178986,-175.198242
TON;34026;BR;BR;Back Row;31;190;108;Lincoln, New Zealand;1988-08-15;Manu;Tavake Lecanus;3;NZ;-40.900557,174.885971
TON;38030;10;FH;Fly Half;34;186;85;Takapuna, New Zealand;1984-11-13;Morath;Kurt Stanley;37;NZ;-40.900557,174.885971
TON;50000;2;HK;Hooker;29;185;122;Christchurch, New Zealand;1990-02-19;Ngauamo;Paula Mark;19;NZ;-40.900557,174.885971
TON;58398;15;FB;Full Back;30;183;81;Ha'ateiho, Tonga;1989-08-02;Pakalani;Atieli;10;TO;-21.178986,-175.198242
TON;44200;CE;CE;Centre;33;185;99;Auckland, New Zealand;1985-10-13;Piutau;Siale Vailea;39;NZ;-40.900557,174.885971
TON;39749;2;HK;Hooker;27;180;105;Tofoa, Tonga;1991-12-14;Sakalia;Sosefo;10;TO;-21.178986,-175.198242
TON;50727;9;SH;Scrum Half;28;180;95;Tofoa, Tonga;1991-01-11;Takulua;Sonatane;34;TO;-21.178986,-175.198242
TON;36916;PR;PR;Prop;29;193;132;Neiafu, Tonga;1989-12-26;Talakai;Sione Latu;6;TO;-21.178986,-175.198242
TON;43516;PR;PR;Prop;28;188;151;Otahuhu, New Zealand;1991-08-30;Tameifuna;Benjamin Va ' inga Charles;11;NZ;-40.900557,174.885971
TON;36920;CE;CE;Centre;30;179;90;Auckland, New Zealand;1989-01-21;Tuitavake;Nafitalai Henry;13;NZ;-40.900557,174.885971
TON;48056;BR;BR;Back Row;30;190;112;Pakaura, New Zealand;1989-07-21;Vaipulu;Maama 'Oe Mo' Ui;8;NZ;-40.900557,174.885971
TON;39559;15;FB;Full Back;28;190;103;Kawakawa, New Zealand;1990-12-26;Veainu;Koloti Telusa Pelaki;9;NZ;-40.900557,174.885971
TON;44208;WI;WI;Wing;32;187;101;Auckland, New Zealand;1987-07-05;Vuna;Kerry Cooper;13;NZ;-40.900557,174.885971
