team;pid;number;pos;plabel;age;height;weight;bplace;bdate;last;first;caps;isoc;ccoords
NZL;43596;PR;PR;Prop;27;193;125;Tofoa, Tonga;1992-04-19;Tuungafasi;Aniseto Ofa He Mooni;30;TO;-21.178986,-175.198242
NZL;43517;9;SH;Scrum Half;28;172;75;Napier, New Zealand;1991-01-17;Weber;Brad McCormick;2;NZ;-40.900557,174.885971
NZL;32482;SR;SR;Lock;30;202;119;Palmerston North, New Zealand;1988-10-12;Whitelock;Samuel Laurence;112;NZ;-40.900557,174.885971
NZL;42050;CE;CE;Centre;34;191;110;Auckland, New Zealand;1985-08-03;Williams;SonnyWilliam;53;NZ;-40.900557,174.885971
NZL;50136;BR;BR;Back Row;25;188;114;Tofoa, Tonga;1994-02-11;Frizell;Shannon Michael;5;TO;-21.178986,-175.198242
RSA;58707;CE;CE;Centre;25;186;93;East London, South Africa;1993-11-28;Am;Lukhanyo;9;ZA;-30.559482,22.937506
RSA;33042;2;HK;Hooker;38;182;100;Empangeni, South Africa;1981-05-16;Brits;Schalk Burger;13;ZA;-30.559482,22.937506
RSA;50682;SR;SR;Lock;26;205;122;Alberton, South Africa;1992-12-17;De Jager;Lodewyk;40;ZA;-30.559482,22.937506
RSA;45550;BR;BR;Back Row;27;200;115;Riebeeck Kasteel, South Africa;1992-08-20;Du Toit;Pieter Stephanus;50;ZA;-30.559482,22.937506
RSA;43559;SR;SR;Lock;27;204;119;Cape Town, South Africa;1991-10-29;Etzebeth;Eben;79;ZA;-30.559482,22.937506
RSA;54664;15;FB;Full Back;24;179;86;Knysna, South Africa;1995-05-20;Gelant;Warrick;7;ZA;-30.559482,22.937506
RSA;39664;10;FH;Fly Half;29;187;92;Graaf Reinet, South Africa;1990-08-01;Jantjies;Elton Thomas;35;ZA;-30.559482,22.937506
RSA;67397;9;SH;Scrum Half;23;160;80;Cape Town, South Africa;1996-04-22;Jantjies;Herschel Jerome;4;ZA;-30.559482,22.937506
RSA;45555;PR;PR;Prop;27;183;120;Somerset West, South Africa;1992-02-10;Kitshoff;Steven;40;ZA;-30.559482,22.937506
RSA;49037;PR;PR;Prop;29;185;118;Empangeni, South Africa;1990-03-13;Koch;Vincent Philip;15;ZA;-30.559482,22.937506
RSA;48565;15;FB;Full Back;25;170;74;Cape Town, South Africa;1993-10-28;Kolbe;Cheslin;10;ZA;-30.559482,22.937506
RSA;39774;BR;BR;Back Row;28;186;99;Port Elizabeth, South Africa;1991-06-16;Kolisi;Siyamthanda;43;ZA;-30.559482,22.937506
RSA;49029;CE;CE;Centre;25;186;96;Cape Town, South Africa;1994-02-15;Kriel;Jesse Andre;45;ZA;-30.559482,22.937506
RSA;49080;15;FB;Full Back;30;186;90;Strand, South Africa;1989-08-18;Le Roux;Willem Jacobus Johannes;56;ZA;-30.559482,22.937506
RSA;39965;BR;BR;Back Row;34;190;114;Cape Town, South Africa;1985-06-15;Louw;Louis-Francois Pickard;69;ZA;-30.559482,22.937506
RSA;47012;PR;PR;Prop;28;190;123;Paarl, South Africa;1991-03-14;Malherbe;Jozua Francois;32;ZA;-30.559482,22.937506
RSA;60865;WI;WI;Wing;29;187;90;Mdantsane, South Africa;1990-07-26;Mapimpi;Makazole;8;ZA;-30.559482,22.937506
RSA;50452;2;HK;Hooker;25;185;107;Johannesburg, South Africa;1994-07-13;Marx;Malcolm Justin;27;ZA;-30.559482,22.937506
RSA;43544;2;HK;Hooker;28;177;98;Bethlehem, South Africa;1991-01-07;Mbonambi;Mbongeni Theo;30;ZA;-30.559482,22.937506
RSA;58426;SR;SR;Lock;28;198;112;Johannesburg, South Africa;1990-11-27;Mostert;Franco John;32;ZA;-30.559482,22.937506
RSA;34362;PR;PR;Prop;34;183;116;Harare, Zimbabwe;1985-08-01;Mtawarira;Tendai;111;ZW;-19.015438,29.154857
RSA;57852;WI;WI;Wing;23;181;97;Barberton, South Africa;1996-01-21;Nkosi;S'Busiso Romeo;8;ZA;-30.559482,22.937506
RSA;49081;PR;PR;Prop;30;178;120;Limpopo, South Africa;1989-05-04;Nyakane;Ntando Trevor;41;ZA;-30.559482,22.937506
RSA;46392;10;FH;Fly Half;25;189;98;Somerset West, South Africa;1994-03-11;Pollard;Handre;42;ZA;-30.559482,22.937506
RSA;53956;9;SH;Scrum Half;29;175;84;Bloemfontein, South Africa;1990-02-07;Reinach;Jacobus Meyer;12;ZA;-30.559482,22.937506
RSA;48550;BR;BR;Back Row;26;181;85;Krugersdorp, South Africa;1993-06-11;Smith;Albertus Stephanus;4;ZA;-30.559482,22.937506
RSA;55747;SR;SR;Lock;24;206;117;Pretoria, South Africa;1995-01-29;Snyman;Rudolph Gerhardus;16;ZA;-30.559482,22.937506
RSA;29126;CE;CE;Centre;32;191;111;Aliwal North, South Africa;1987-05-14;Steyn;Francois Phillippus Lodewyk;61;ZA;-30.559482,22.937506
RSA;37137;BR;BR;Back Row;33;193;108;Mbombela, South Africa;1986-07-03;Vermeulen;Daniel Johannes;49;ZA;-30.559482,22.937506
RSA;50681;CE;CE;Centre;27;189;101;Cape Town, South Africa;1991-11-25;de Allende;Damian;40;ZA;-30.559482,22.937506
RSA;56104;9;SH;Scrum Half;27;172;88;Mbombela, South Africa;1991-10-19;de Klerk;Francois;25;ZA;-30.559482,22.937506
RUS;35514;15;FB;Full Back;32;180;89;Moscow, Russian Federation;1987-07-24;Artemyev;Vasily;86;RU;61.52401,105.318756
RUS;56541;PR;PR;Prop;29;182;108;Selo Kambileevskoe, Russian Federation;1989-12-09;Bitiev;Azamat;19;RU;61.52401,105.318756
RUS;30234;2;HK;Hooker;31;178;101;Moscow, Russian Federation;1988-05-13;Chernyshev;Sergey;10;RU;61.52401,105.318756
RUS;50766;WI;WI;Wing;25;186;99;Kazan, Russian Federation;1994-03-10;Davydov;German;17;RU;61.52401,105.318756
RUS;39259;9;SH;Scrum Half;29;175;82;Krasnoyarsk, Russian Federation;1990-08-06;Dorofeev;Vasilii;22;RU;61.52401,105.318756
RUS;57050;SR;SR;Lock;32;190;114;Krasnoyarsk, Russian Federation;1987-03-10;Elgin;Evgeny;24;RU;61.52401,105.318756
