teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
3210;myśliborski;11858;66648;17.79;0;0;1;0;1;0;p;11858
3211;policki;15839;78333;20.22;0;0;1;0;1;0;p;15839
3212;pyrzycki;7072;39873;17.74;0;0;1;0;1;0;p;7072
3213;sławieński;10447;56764;18.40;0;0;1;0;1;0;p;10447
3214;stargardzki;21457;120091;17.87;1;0;1;1;2;1;p;7152.33
3215;szczecinecki;13759;78232;17.59;0;0;1;1;1;1;p;6879.5
3216;świdwiński;8303;47643;17.43;0;0;0;0;0;0;p;66666
3217;wałecki;9668;53738;17.99;0;0;0;0;0;0;p;66666
3218;łobeski;6745;37401;18.03;0;0;0;0;0;0;p;66666
3261;m.Koszalin;17185;107670;15.96;1;1;1;1;2;2;m;4296.25
3262;m.Szczecin;64448;403883;15.96;3;2;7;2;10;4;m;4603.43
3263;m.Świnoujście;5858;41032;14.28;0;0;1;0;1;0;m;5858
