teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
0809;zielonogórski;13938;75558;18.45;0;0;0;0;0;0;p;66666
0810;żagański;13953;80114;17.42;0;0;2;1;2;1;p;4651
0811;żarski;17202;97487;17.65;0;0;1;0;1;0;p;17202
0812;wschowski;7663;39196;19.55;0;0;1;0;1;0;p;7663
0861;m.Gorzów Wielkopolski;21545;124295;17.33;0;0;2;1;2;1;m;7181.67
0862;m.Zielona Góra;24644;139819;17.63;0;0;1;1;1;1;m;12322
1001;bełchatowski;20887;113028;18.48;0;0;1;0;1;0;p;20887
1002;kutnowski;15396;98018;15.71;0;0;1;1;1;1;p;7698
1003;łaski;8537;50224;17.;0;0;0;0;0;0;p;66666
1004;łęczycki;8475;50527;16.77;0;0;1;0;1;0;p;8475
1005;łowicki;13992;78994;17.71;0;0;2;1;2;1;p;4664
1006;łódzki wschodni;13271;71182;18.64;0;0;2;0;2;0;p;6635.5
1007;opoczyński;14812;76984;19.24;0;0;1;0;1;0;p;14812
1008;pabianicki;19601;119285;16.43;0;1;1;2;1;3;p;4900.25
1009;pajęczański;8915;51851;17.19;0;0;0;0;0;0;p;66666
1010;piotrkowski;17676;91301;19.36;0;0;0;0;0;0;p;66666
1011;poddębicki;7032;41380;16.99;0;0;1;0;1;0;p;7032
1012;radomszczański;19369;113923;17.;0;0;1;0;1;0;p;19369
1013;rawski;9096;48997;18.56;0;0;0;0;0;0;p;66666
1014;sieradzki;21068;118692;17.75;0;0;1;0;1;0;p;21068
1015;skierniewicki;7386;38224;19.32;0;0;0;0;0;0;p;66666
1016;tomaszowski;21052;117852;17.86;0;0;1;1;1;1;p;10526
1017;wieluński;13865;77017;18.;0;0;1;0;1;0;p;13865
1018;wieruszowski;7952;42255;18.82;0;0;0;0;0;0;p;66666
1019;zduńskowolski;12020;67049;17.93;0;0;1;1;1;1;p;6010
1020;zgierski;28742;165606;17.36;0;0;4;1;4;1;p;5748.4
1021;brzeziński;5442;30884;17.62;0;0;1;0;1;0;p;5442
1061;m.Łódź;101502;690422;14.70;2;1;7;1;9;2;m;9227.45
1062;m.Piotrków Trybunalski;12968;74312;17.45;0;0;1;1;1;1;m;6484
