teryt;nazwa;ppp;OSM1;OSM2;SM1;SM2;L1;L2
1210000;nowosądecki;49120;0;0;5;0;5;0
1211000;nowotarski;38876;0;0;6;1;6;1
1212000;olkuski;18631;0;0;1;0;1;0
1213000;oświęcimski;27175;0;0;1;0;1;0
1214000;proszowicki;7750;0;0;3;0;3;0
1215000;suski;16827;0;0;1;0;1;0
1216000;tarnowski;39378;0;0;1;0;1;0
1217000;tatrzański;13109;1;0;2;0;3;0
1218000;wadowicki;31639;0;0;2;1;2;1
1219000;wielicki;26355;0;0;3;1;3;1
1261000;m.Kraków;127105;3;2;8;6;11;8
1262000;m.Nowy Sącz;15818;1;1;1;1;2;2
1263000;m.Tarnów;17208;1;1;1;1;2;2
1401000;białobrzeski;6841;0;0;0;0;0;0
1402000;ciechanowski;16356;0;0;1;0;1;0
1403000;garwoliński;23269;0;0;1;1;1;1
1404000;gostyniński;7690;0;0;1;0;1;0
1405000;grodziski;19374;0;0;2;0;2;0
1406000;grójecki;18664;0;0;1;0;1;0
1407000;kozienicki;10629;0;0;1;0;1;0
1408000;legionowski;24286;0;0;1;0;1;0
1409000;lipski;5695;0;0;1;0;1;0
1410000;łosicki;5722;0;0;1;0;1;0
1411000;makowski;8654;0;0;0;0;0;0
1412000;miński;31598;0;0;3;1;3;1
1413000;mławski;13720;0;0;1;1;1;1
1414000;nowodworski;14986;0;0;1;0;1;0
1415000;ostrołęcki;18215;0;0;0;0;0;0
1416000;ostrowski;13350;0;0;1;0;1;0
1417000;otwocki;24454;0;0;4;0;4;0
1418000;piaseczyński;40606;0;0;7;0;7;0
1419000;płocki;20802;0;0;1;0;1;0
1420000;płoński;16339;0;0;1;0;1;0
1421000;pruszkowski;32054;0;0;3;1;3;1
1422000;przasnyski;10572;0;0;1;0;1;0
1423000;przysuski;7472;0;0;1;0;1;0
1424000;pułtuski;9969;0;0;1;0;1;0
1425000;radomski;30795;0;0;0;0;0;0
1426000;siedlecki;16249;0;0;0;0;0;0
1427000;sierpecki;9775;0;0;1;1;1;1
1428000;sochaczewski;16171;0;0;1;1;1;1
1429000;sokołowski;9469;0;0;1;0;1;0
1430000;szydłowiecki;7386;0;0;0;0;0;0
1432000;warszawski zachodni;23391;0;0;4;0;4;0
1433000;węgrowski;12595;0;0;0;0;0;0
1434000;wołomiński;53714;0;0;4;1;4;1
1435000;wyszkowski;15023;0;0;0;0;0;0
1436000;zwoleński;6862;0;0;0;0;0;0
1437000;żuromiński;7277;0;0;1;0;1;0
1438000;żyrardowski;14427;0;0;2;1;2;1
1461000;m.Ostrołęka;9565;0;0;1;1;1;1
1462000;m.Płock;20737;1;0;1;1;2;1
1463000;m.Radom;37014;1;1;2;1;3;2
1464000;m.Siedlce;15445;0;0;1;1;1;1
1465000;m. st. Warszawa;310319;5;4;25;9;30;13
1601000;brzeski;15674;0;0;1;0;1;0
1602000;głubczycki;7293;0;0;1;0;1;0
1603000;kędzierzyńsko-kozielski;14462;0;0;2;0;2;0
1604000;kluczborski;10389;0;0;1;0;1;0
1605000;krapkowicki;10008;0;0;1;0;1;0
1606000;namysłowski;7500;0;0;1;0;1;0
1607000;nyski;21389;0;0;2;1;2;1
1608000;oleski;10445;0;0;1;0;1;0
1609000;opolski;19639;0;0;0;0;0;0
1610000;prudnicki;9047;0;0;1;0;1;0
1611000;strzelecki;11891;0;0;2;0;2;0
1661000;m.Opole;20092;0;0;4;1;4;1
1801000;bieszczadzki;3751;0;0;0;0;0;0
1802000;brzozowski;12855;0;0;2;0;2;0
1803000;dębicki;25943;0;0;1;2;1;2
1804000;jarosławski;21922;0;0;3;2;3;2
1805000;jasielski;19824;0;0;2;1;2;1
1806000;kolbuszowski;11424;0;0;2;0;2;0
1807000;krośnieński;21547;0;0;1;0;1;0
1808000;leżajski;12785;0;0;2;1;2;1
1809000;lubaczowski;9757;0;0;1;0;1;0
1810000;łańcucki;15922;0;0;2;0;2;0
1811000;mielecki;25541;0;0;1;1;1;1
1812000;niżański;11406;0;0;1;0;1;0
1813000;przemyski;13837;0;0;0;0;0;0
1814000;przeworski;14675;0;0;4;1;4;1
1815000;ropczycko-sędziszowski;15032;0;0;1;0;1;0
1816000;rzeszowski;33798;0;0;7;0;7;0
1817000;sanocki;16893;0;0;1;2;1;2
1818000;stalowowolski;17723;0;0;1;1;1;1
1819000;strzyżowski;11294;0;0;1;0;1;0
1820000;tarnobrzeski;9066;0;0;0;0;0;0
1821000;leski;4511;0;0;1;0;1;0
1861000;m.Krosno;7718;1;1;3;2;4;3
1862000;m.Przemyśl;9959;1;1;1;1;2;2
1863000;m.Rzeszów;34648;2;1;1;2;3;3
1864000;m.Tarnobrzeg;7407;0;0;1;0;1;0
2001000;augustowski;10163;0;0;1;0;1;0
2002000;białostocki;26444;0;0;1;0;1;0
2003000;bielski;8900;0;0;1;0;1;0
2004000;grajewski;8461;0;0;3;0;3;0
2005000;hajnowski;6204;0;0;1;0;1;0
2006000;kolneński;7052;0;0;1;0;1;0
2007000;łomżyński;9566;0;0;0;0;0;0
2008000;moniecki;6650;0;0;2;0;2;0
2009000;sejneński;3405;0;0;2;0;2;0
2010000;siemiatycki;6896;0;0;1;0;1;0
2011000;sokólski;11075;0;0;1;0;1;0
2012000;suwalski;6994;0;0;0;0;0;0
2013000;wysokomazowiecki;10441;0;0;2;0;2;0
2014000;zambrowski;7996;0;0;1;0;1;0
2061000;m.Białystok;51843;0;1;9;4;9;5
2062000;m.Łomża;11020;0;0;1;1;1;1
2063000;m.Suwałki;12909;0;0;1;1;1;1
2201000;bytowski;16426;0;0;2;0;2;0
2202000;chojnicki;20451;0;0;1;0;1;0
2203000;człuchowski;10870;0;0;0;0;0;0
2204000;gdański;25532;0;0;3;0;3;0
2205000;kartuski;34558;0;0;1;0;1;0
2206000;kościerski;16142;0;0;1;0;1;0
