teryt;powiat;total2012;total2013;total2014;total2015;total2016;total2017;total2018;pp2012;pp2013;pp2014;pp2015;pp2016;pp2017;pp2018;pr2012;pr2013;pr2014;pr2015;pr2016;pr2017;pr2018;pm2012;pm2013;pm2014;pm2015;pm2016;pm2017;pm2018;pn2012;pn2013;pn2014;pn2015;pn2016;pn2017;pn2018;po2012;po2013;po2014;po2015;po2016;po2017;po2018;
0211000;lubiński;106818;106512;106433;106319;106355;106320;;18723;18569;18409;18278;18303;18447;;69375;68155;67133;66158;65192;64082;;42350;42072;41859;41400;40889;40216;;27025;26083;25274;24758;24303;23866;;18720;19788;20891;21883;22860;23791;;
0212000;lwówecki;47661;47317;47014;46677;46527;46360;;8332;8117;7911;7748;7652;7578;;31264;30865;30393;29912;29464;28979;;18694;18614;18439;18304;18136;17999;;12570;12251;11954;11608;11328;10980;;8065;8335;8710;9017;9411;9803;;
0213000;milicki;37467;37320;37266;37213;37148;37125;;7565;7534;7475;7420;7328;7323;;23847;23471;23180;22971;22737;22440;;15024;14806;14703;14629;14494;14301;;8823;8665;8477;8342;8243;8139;;6055;6315;6611;6822;7083;7362;;
0214000;oleśnicki;105954;106088;106311;106486;106794;106907;;20069;19933;19796;19675;19802;19835;;68637;68201;67812;67347;66769;66137;;43646;43530;43354;43148;42784;42328;;24991;24671;24458;24199;23985;23809;;17248;17954;18703;19464;20223;20935;;
0215000;oławski;75528;75793;75953;76064;76329;76505;;14168;14077;14008;13970;14091;14143;;48985;48616;48113;47646;47190;46781;;30779;30796;30721;30564;30332;29995;;18206;17820;17392;17082;16858;16786;;12375;13100;13832;14448;15048;15581;;
0216000;polkowicki;63183;63240;63201;63057;63081;63017;;12770;12510;12306;12170;12090;12027;;41081;41046;40812;40425;40212;39827;;26129;26169;26005;25704;25476;25156;;14952;14877;14807;14721;14736;14671;;9332;9684;10083;10462;10779;11163;;
0217000;strzeliński;44547;44393;44274;44165;44052;44006;;8028;7859;7777;7713;7674;7665;;28815;28629;28314;28024;27652;27362;;17622;17584;17453;17362;17175;17041;;11193;11045;10861;10662;10477;10321;;7704;7905;8183;8428;8726;8979;;
0218000;średzki;52108;52445;52725;52837;53181;53722;;9933;9851;9803;9776;9774;9979;;34323;34409;34349;34236;34201;34172;;21613;21794;21836;21774;21766;21727;;12710;12615;12513;12462;12435;12445;;7852;8185;8573;8825;9206;9571;;
0219000;świdnicki;161737;160932;160438;159633;158939;158392;;27560;27133;26841;26420;26176;26107;;104838;103404;102024;100381;98786;97083;;63461;62975;62525;61838;61008;60110;;41377;40429;39499;38543;37778;36973;;29339;30395;31573;32832;33977;35202;;
0220000;trzebnicki;82552;83041;83358;83699;84063;84495;;16031;15974;15803;15768;15781;15899;;53887;53830;53706;53389;53020;52702;;33828;33993;34033;33919;33733;33540;;20059;19837;19673;19470;19287;19162;;12634;13237;13849;14542;15262;15894;;
0221000;wałbrzyski;177604;57834;57492;57023;56788;56446;;27522;9403;9251;9090;8998;8825;;113962;37060;36607;35967;35479;34918;;65833;22080;21890;21606;21417;21168;;48129;14980;14717;14361;14062;13750;;36120;11371;11634;11966;12311;12703;;
0222000;wołowski;47708;47569;47439;47194;47137;47124;;8295;8097;7997;7889;7894;7933;;31189;30974;30572;30193;29764;29380;;19108;19060;18924;18754;18493;18214;;12081;11914;11648;11439;11271;11166;;8224;8498;8870;9112;9479;9811;;
0223000;wrocławski;124509;127896;130968;134145;137419;141337;;25757;26577;27346;28086;29062;30338;;81806;83360;84669;86098;87405;88890;;53383;54787;55930;56986;57908;58853;;28423;28573;28739;29112;29497;30037;;16946;17959;18953;19961;20952;22109;;
0224000;ząbkowicki;68334;67875;67458;66971;66527;66009;;11471;11246;11063;10828;10618;10471;;44313;43645;42958;42255;41648;40885;;26669;26445;26138;25888;25585;25222;;17644;17200;16820;16367;16063;15663;;12550;12984;13437;13888;14261;14653;;
0225000;zgorzelecki;93801;93158;92389;91824;91258;90584;;16113;15596;15182;14940;14715;14489;;61151;60291;59344;58352;57370;56304;;36623;36392;35986;35572;35023;34427;;24528;23899;23358;22780;22347;21877;;16537;17271;17863;18532;19173;19791;;
0226000;złotoryjski;45432;45056;44867;44598;44381;44126;;8107;7883;7687;7600;7474;7357;;30234;29816;29440;28956;28480;27894;;18315;18186;18103;17934;17708;17447;;11919;11630;11337;11022;10772;10447;;7091;7357;7740;8042;8427;8875;;
0261000;m.Jelenia Góra;82846;81985;81408;81010;80524;80072;;11998;11716;11705;11613;11496;11508;;52552;51309;50087;48983;47876;46811;;30395;29870;29407;29053;28700;28225;;22157;21439;20680;19930;19176;18586;;18296;18960;19616;20414;21152;21753;;
0262000;m.Legnica;102422;101992;101343;100886;100718;100324;;16933;16675;16428;16325;16456;16465;;66252;65333;64109;62999;61850;60695;;40118;39900;39402;38926;38385;37783;;26134;25433;24707;24073;23465;22912;;19237;19984;20806;21562;22412;23164;;
0264000;m.Wrocław;631188;632067;634487;635759;637683;638586;;93184;94232;96257;98253;100719;103376;;406420;401817;397974;393121;388238;382977;;260356;260573;260907;259954;258122;255332;;146064;141244;137067;133167;130116;127645;;131584;136018;140256;144385;148726;152233;;
0265000;m.Wałbrzych;;117926;116691;115453;114568;113621;;;17381;17080;16808;16652;16639;;;74748;73120;71364;69808;68175;;;43079;42538;41842;41368;40685;;;31669;30582;29522;28440;27490;;;25797;26491;27281;28108;28807;;
0401000;aleksandrowski;56034;55919;55711;55573;55347;55337;;10494;10230;10012;9843;9719;9628;;35387;35235;34964;34665;34260;34024;;21778;21782;21652;21551;21314;21173;;13609;13453;13312;13114;12946;12851;;10153;10454;10735;11065;11368;11685;;
0402000;brodnicki;78003;78102;78397;78431;78630;78879;;16447;16277;16156;16026;16022;16044;;49818;49708;49676;49518;49297;49081;;31970;31990;32088;31964;31867;31693;;17848;17718;17588;17554;17430;17388;;11738;12117;12565;12887;13311;13754;;
0403000;bydgoski;109350;110565;111734;112992;114418;115981;;23519;23403;23247;23280;23475;23676;;71033;71597;72190;72551;73012;73545;;45614;45955;46311;46416;46555;46687;;25419;25642;25879;26135;26457;26858;;14798;15565;16297;17161;17931;18760;;
0404000;chełmiński;52754;52610;52559;52361;52236;52292;;10710;10517;10354;10141;10026;10024;;33945;33737;33530;33263;32955;32715;;21486;21361;21240;21076;20861;20749;;12459;12376;12290;12187;12094;11966;;8099;8356;8675;8957;9255;9553;;
0405000;golubsko-dobrzyński;45449;45480;45441;45342;45250;45289;;9501;9338;9110;8923;8760;8711;;28887;28902;28851;28656;28483;28334;;18343;18365;18305;18214;18115;18017;;10544;10537;10546;10442;10368;10317;;7061;7240;7480;7763;8007;8244;;
0406000;grudziądzki;40219;40135;40207;40346;40364;40368;;8800;8603;8499;8440;8314;8233;;25732;25614;25583;25545;25512;25392;;16293;16215;16217;16214;16162;16065;;9439;9399;9366;9331;9350;9327;;5687;5918;6125;6361;6538;6743;;
0407000;inowrocławski;164401;163682;163167;162545;162011;161591;;29220;28562;28052;27565;27258;27247;;107064;105901;104900;103708;102464;101091;;65464;64949;64431;63802;62969;61894;;41600;40952;40469;39906;39495;39197;;28117;29219;30215;31272;32289;33253;;
0408000;lipnowski;67474;67231;67041;66823;66575;66517;;14530;14147;13786;13420;13106;13048;;42753;42656;42573;42405;42129;41811;;27303;27263;27164;27114;26923;26697;;15450;15393;15409;15291;15206;15114;;10191;10428;10682;10998;11340;11658;;
0409000;mogileński;46855;46590;46408;46254;46197;46046;;9094;8865;8689;8482;8380;8276;;30046;29794;29543;29341;29181;28818;;18659;18579;18496;18350;18228;17957;;11387;11215;11047;10991;10953;10861;;7715;7931;8176;8431;8636;8952;;
0410000;nakielski;86839;86969;86936;86841;86774;86764;;18074;17811;17518;17296;17146;17017;;55926;55878;55541;55154;54624;54163;;35472;35487;35356;35126;34803;34498;;20454;20391;20185;20028;19821;19665;;12839;13280;13877;14391;15004;15584;;
0411000;radziejowski;41905;41646;41510;41373;41169;40898;;7696;7466;7301;7125;7052;6897;;26835;26623;26445;26296;25975;25669;;16520;16348;16244;16159;15921;15665;;10315;10275;10201;10137;10054;10004;;7374;7557;7764;7952;8142;8332;;
0412000;rypiński;44811;44723;44652;44384;44219;44029;;9210;9015;8872;8670;8529;8508;;28159;28110;27951;27669;27377;27034;;17459;17492;17417;17288;17148;16907;;10700;10618;10534;10381;10229;10127;;7442;7598;7829;8045;8313;8487;;
0413000;sępoleński;41689;41636;41542;41501;41392;41373;;8792;8617;8457;8303;8138;8092;;26356;26316;26119;25992;25832;25586;;16587;16587;16555;16536;16416;16267;;9769;9729;9564;9456;9416;9319;;6541;6703;6966;7206;7422;7695;;
