teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ
2461000;m.Bielsko-Biała;29439;171505;17.17;1;1;1;1;2;2;m
2462000;m.Bytom;26750;168394;15.89;1;1;0;0;1;1;m
2463000;m.Chorzów;18597;109021;17.06;0;0;1;1;1;1;m
2464000;m.Częstochowa;34146;224376;15.22;1;1;1;1;2;2;m
2465000;m.Dąbrowa Górnicza;18846;121121;15.56;1;0;1;0;2;0;m
2466000;m.Gliwice;29297;181309;16.16;0;0;1;2;1;2;m
2467000;m.Jastrzębie-Zdrój;15430;89590;17.22;0;0;1;1;1;1;m
2468000;m.Jaworzno;14914;92090;16.20;0;0;1;0;1;0;m
2469000;m.Katowice;43521;296262;14.69;2;1;2;1;4;2;m
2470000;m.Mysłowice;13222;74647;17.71;0;0;0;0;0;0;m
2471000;m.Piekary Śląskie;9094;55652;16.34;0;0;1;0;1;0;m
2472000;m.Ruda Śląska;24516;138578;17.69;0;0;2;2;2;2;m
2473000;m.Rybnik;25223;139129;18.13;0;0;1;1;1;1;m
2474000;m.Siemianowice Śląskie;10945;67523;16.21;0;0;0;0;0;0;m
2475000;m.Sosnowiec;29317;204013;14.37;0;0;1;1;1;1;m
2476000;m.Świętochłowice;8467;50385;16.80;0;0;0;0;0;0;m
2477000;m.Tychy;22126;128211;17.26;1;0;1;0;2;0;m
2478000;m.Zabrze;27328;174349;15.67;0;0;2;2;2;2;m
2479000;m.Żory;12004;62243;19.29;0;0;1;1;1;1;m
2601000;buski;11817;72323;16.34;0;0;1;0;1;0;p
2602000;jędrzejowski;15404;86560;17.80;0;0;0;0;0;0;p
2603000;kazimierski;5097;34049;14.97;0;0;0;0;0;0;p
2604000;kielecki;40047;210102;19.06;0;0;0;0;0;0;p
2605000;konecki;13066;81315;16.07;0;0;1;0;1;0;p
2606000;opatowski;8778;53028;16.55;0;0;2;0;2;0;p
2607000;ostrowiecki;16810;111111;15.13;0;0;2;2;2;2;p
2608000;pińczowski;6237;39497;15.79;0;0;1;0;1;0;p
2609000;sandomierski;12787;78405;16.31;0;0;0;0;0;0;p
2610000;skarżyski;11070;75673;14.63;0;0;1;0;1;0;p
2611000;starachowicki;14526;90888;15.98;0;0;1;0;1;0;p
2612000;staszowski;12639;72456;17.44;0;0;1;0;1;0;p
2613000;włoszczowski;7994;45521;17.56;0;0;0;0;0;0;p
2661000;m.Kielce;31025;196804;15.76;1;1;3;2;4;3;m
2801000;bartoszycki;10195;58435;17.45;0;0;0;0;0;0;p
2802000;braniewski;7211;41675;17.30;0;0;0;0;0;0;p
2803000;działdowski;12855;65772;19.54;0;0;1;0;1;0;p
2804000;elbląski;11136;57955;19.21;0;0;0;0;0;0;p
2805000;ełcki;17882;91022;19.65;0;0;1;1;1;1;p
2806000;giżycki;10037;56922;17.63;0;0;1;0;1;0;p
2807000;iławski;18468;92811;19.90;0;0;2;0;2;0;p
2808000;kętrzyński;10860;63470;17.11;0;0;1;0;1;0;p
2809000;lidzbarski;7449;41840;17.80;0;0;1;0;1;0;p
2810000;mrągowski;9044;50381;17.95;0;0;1;0;1;0;p
2811000;nidzicki;6256;33239;18.82;0;0;1;0;1;0;p
2812000;nowomiejski;9140;44104;20.72;0;0;2;0;2;0;p
2813000;olecki;6702;34600;19.37;0;0;1;0;1;0;p
2814000;olsztyński;23938;125220;19.12;0;0;5;0;5;0;p
2815000;ostródzki;19833;105318;18.83;0;0;1;0;1;0;p
2816000;piski;10476;56933;18.40;1;0;0;0;1;0;p
2817000;szczycieński;13079;70153;18.64;0;0;1;0;1;0;p
2818000;gołdapski;5208;27062;19.24;0;0;1;0;1;0;p
2819000;węgorzewski;3891;23068;16.87;0;0;0;0;0;0;p
2861000;m.Elbląg;19925;120895;16.48;1;1;1;1;2;2;m
2862000;m.Olsztyn;29737;173070;17.18;0;0;1;1;1;1;m
3001000;chodzieski;9119;47341;19.26;0;0;0;0;0;0;p
3002000;czarnkowsko-trzcianecki;17209;87570;19.65;0;0;0;0;0;0;p
3003000;gnieźnieński;28799;145333;19.82;1;0;0;1;1;1;p
3004000;gostyński;14928;76087;19.62;0;0;1;0;1;0;p
3005000;grodziski;11055;51701;21.38;0;0;0;0;0;0;p
