Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","grudzień 2016",28667,19904,663,20567,19939,663,20602
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","grudzień 2016",50656,32163,10727,42890,35757,14416,50173
"Dziennik Łódzki","Polska Press Sp. z o.o.","grudzień 2016",27104,18731,691,19422,18731,691,19422
"Dziennik Polski","Polska Press Sp. z o.o.","grudzień 2016",24256,15847,160,16007,16065,160,16225
"Dziennik Wschodni","Corner Media Sp. z o.o.","grudzień 2016",9617,5622,0,5622,5626,0,5626
"Dziennik Zachodni","Polska Press Sp. z o.o.","grudzień 2016",53029,35199,526,35725,35199,526,35725
"Echo Dnia","Polska Press Sp. z o.o.","grudzień 2016",26016,16592,1236,17828,17922,1611,19533
"Express Bydgoski","Polska Press Sp. z o.o.","grudzień 2016",13617,9840,148,9988,9843,148,9991
"Express Ilustrowany","Polska Press Sp. z o.o.","grudzień 2016",32377,24584,114,24698,24584,114,24698
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2016",390662,272458,205,272663,272458,205,272663
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","grudzień 2016",18398,12662,229,12891,12676,229,12905
"Gazeta Krakowska","Polska Press Sp. z o.o.","grudzień 2016",21588,14196,128,14324,14310,128,14438
"Gazeta Lubuska","Polska Press Sp. z o.o.","grudzień 2016",22271,17393,275,17668,17400,275,17675
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","grudzień 2016",17936,11936,104,12040,11944,104,12048
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","grudzień 2016",31592,23426,2133,25559,23426,2133,25559
"Gazeta Polska Codziennie","Forum SA","grudzień 2016",66702,19406,301,19707,19406,309,19715
"Gazeta Pomorska","Polska Press Sp. z o.o.","grudzień 2016",41415,35767,201,35968,35767,201,35968
"Gazeta Wrocławska","Polska Press Sp. z o.o.","grudzień 2016",19870,13777,356,14133,13842,356,14198
"Gazeta Współczesna","Polska Press Sp. z o.o.","grudzień 2016",7982,5528,12,5540,5620,12,5632
"Gazeta Wyborcza","Agora SA","grudzień 2016",225428,130939,1897,132836,135131,13621,148752
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","grudzień 2016",24958,18056,199,18255,18181,199,18380
"Głos Wielkopolski","Polska Press Sp. z o.o.","grudzień 2016",34611,26012,640,26652,26016,640,26656
"Kurier Lubelski","Polska Press Sp. z o.o.","grudzień 2016",7630,3797,79,3876,3797,79,3876
"Kurier Poranny","Polska Press Sp. z o.o.","grudzień 2016",6853,4732,281,5013,4884,281,5165
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","grudzień 2016",18193,10006,63,10069,11193,63,11256
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","grudzień 2016",17844,11550,359,11909,13138,359,13497
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","grudzień 2016",14262,10886,155,11041,10917,155,11072
"Parkiet Gazeta Giełdy","Gremi Media S.A.","grudzień 2016",6762,2366,2009,4375,2419,2309,4728
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","grudzień 2016",9165,2897,69,2966,2897,69,2966
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2016",51896,24302,365,24667,24302,365,24667
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","grudzień 2016",12804,6956,2898,9854,9274,2898,12172
Rzeczpospolita,"Gremi Media S.A.","grudzień 2016",62249,40647,11478,52125,40739,11478,52217
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2016",9565,4475,16,4491,4475,16,4491
"Super Express","ZPR Media SA","grudzień 2016",234076,135130,0,135130,135850,0,135850
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","grudzień 2016",13802,7830,0,7830,7830,0,7830
"Sumy dla: wszystkich tytułów",,,41518840,26256391,893282,27149673,26631469,1292283,27923752
"Średnie dla: wszystkich tytułów",,,50144,31711,1079,32789,32164,1561,33724
