Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","styczeń 2016",30180,21268,941,22209,21318,941,22259
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","styczeń 2016",80183,42775,10307,53082,46874,13981,60855
"Dziennik Łódzki","Polska Press Sp. z o.o.","styczeń 2016",30672,21287,583,21870,21287,583,21870
"Dziennik Polski","Polska Press Sp. z o.o.","styczeń 2016",26105,17297,104,17401,17438,104,17542
"Dziennik Wschodni","Corner Media Sp. z o.o.","styczeń 2016",9769,6361,0,6361,6361,0,6361
"Dziennik Zachodni","Polska Press Sp. z o.o.","styczeń 2016",52211,36010,165,36175,36219,165,36384
"Echo Dnia","Polska Press Sp. z o.o.","styczeń 2016",24210,16357,1576,17933,18004,1967,19971
"Express Bydgoski","""Express Media"" Sp. z o.o.","styczeń 2016",14499,10718,139,10857,10742,139,10881
"Express Ilustrowany","Polska Press Sp. z o.o.","styczeń 2016",36603,27097,36,27133,27097,36,27133
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2016",433817,314709,209,314918,314709,209,314918
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","styczeń 2016",21874,15346,446,15792,15354,446,15800
"Gazeta Krakowska","Polska Press Sp. z o.o.","styczeń 2016",22986,15225,247,15472,15267,247,15514
"Gazeta Lubuska","Polska Press Sp. z o.o.","styczeń 2016",24631,19461,249,19710,19471,249,19720
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","styczeń 2016",19812,12716,84,12800,13799,84,13883
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","styczeń 2016",34190,23757,1121,24878,23757,1121,24878
"Gazeta Polska Codziennie","Forum SA","styczeń 2016",57555,21555,339,21894,21555,365,21920
"Gazeta Pomorska","Polska Press Sp. z o.o.","styczeń 2016",44417,38784,301,39085,39076,425,39501
"Gazeta Wrocławska","Polska Press Sp. z o.o.","styczeń 2016",22365,15103,201,15304,15145,201,15346
"Gazeta Współczesna","Polska Press Sp. z o.o.","styczeń 2016",7953,5738,38,5776,5740,38,5778
"Gazeta Wyborcza","Agora SA","styczeń 2016",245397,152113,2052,154165,157164,16938,174102
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","styczeń 2016",28100,20947,279,21226,21098,279,21377
"Głos Wielkopolski","Polska Press Sp. z o.o.","styczeń 2016",36683,27797,627,28424,27801,627,28428
"Kurier Lubelski","Polska Press Sp. z o.o.","styczeń 2016",7215,3835,76,3911,3835,76,3911
"Kurier Poranny","Polska Press Sp. z o.o.","styczeń 2016",6642,4875,52,4927,4918,52,4970
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","styczeń 2016",18008,10257,50,10307,11193,50,11243
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","styczeń 2016",19249,13261,146,13407,14459,146,14605
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","styczeń 2016",15234,11900,204,12104,11903,204,12107
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","styczeń 2016",7169,2696,2200,4896,2738,2500,5238
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","styczeń 2016",9259,3517,104,3621,3517,104,3621
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2016",56133,27209,342,27551,27209,342,27551
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","styczeń 2016",13673,7283,2767,10050,9716,2767,12483
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","styczeń 2016",82531,49023,11053,60076,49116,11053,60169
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","styczeń 2016",9887,4739,14,4753,4739,14,4753
"Super Express","ZPR Media SA","styczeń 2016",244944,152006,0,152006,152726,0,152726
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","styczeń 2016",13097,8136,0,8136,8136,0,8136
"Sumy dla: wszystkich tytułów",,,41755439,27369325,797192,28166517,27769783,1243755,29013538
"Średnie dla: wszystkich tytułów",,,54869,35965,1048,37013,36491,1634,38126
