Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","luty 2016",29482,20478,429,20907,20526,429,20955
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","luty 2016",57013,34350,10272,44622,38169,13955,52124
"Dziennik Łódzki","Polska Press Sp. z o.o.","luty 2016",29848,20533,442,20975,20533,442,20975
"Dziennik Polski","Polska Press Sp. z o.o.","luty 2016",25477,17016,208,17224,17132,208,17340
"Dziennik Wschodni","Corner Media Sp. z o.o.","luty 2016",9740,6233,0,6233,6233,0,6233
"Dziennik Zachodni","Polska Press Sp. z o.o.","luty 2016",50695,34607,207,34814,34898,207,35105
"Echo Dnia","Polska Press Sp. z o.o.","luty 2016",23171,15915,1057,16972,16964,1417,18381
"Express Bydgoski","""Express Media"" Sp. z o.o.","luty 2016",14390,10227,147,10374,10245,147,10392
"Express Ilustrowany","Polska Press Sp. z o.o.","luty 2016",35218,25207,14,25221,25207,14,25221
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2016",438674,308246,211,308457,308246,211,308457
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","luty 2016",20412,14535,337,14872,14547,337,14884
"Gazeta Krakowska","Polska Press Sp. z o.o.","luty 2016",22733,15149,374,15523,15254,374,15628
"Gazeta Lubuska","Polska Press Sp. z o.o.","luty 2016",22678,18095,229,18324,18105,229,18334
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","luty 2016",19221,13044,92,13136,13606,92,13698
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","luty 2016",32991,23822,1906,25728,23822,1906,25728
"Gazeta Polska Codziennie","Forum SA","luty 2016",57509,21161,321,21482,21161,336,21497
"Gazeta Pomorska","Polska Press Sp. z o.o.","luty 2016",44255,38301,390,38691,38541,511,39052
"Gazeta Wrocławska","Polska Press Sp. z o.o.","luty 2016",22092,14632,313,14945,14800,313,15113
"Gazeta Współczesna","Polska Press Sp. z o.o.","luty 2016",7597,5581,43,5624,5583,43,5626
"Gazeta Wyborcza","Agora SA","luty 2016",240562,150340,2045,152385,155593,17005,172598
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","luty 2016",27078,20095,706,20801,20249,706,20955
"Głos Wielkopolski","Polska Press Sp. z o.o.","luty 2016",35296,27321,333,27654,27325,333,27658
"Kurier Lubelski","Polska Press Sp. z o.o.","luty 2016",7105,3854,135,3989,3997,135,4132
"Kurier Poranny","Polska Press Sp. z o.o.","luty 2016",6478,4764,79,4843,4847,79,4926
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","luty 2016",17469,9755,66,9821,10820,66,10886
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","luty 2016",18567,12603,162,12765,13918,162,14080
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","luty 2016",15200,11634,124,11758,11637,124,11761
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","luty 2016",7044,2602,1821,4423,2657,2121,4778
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","luty 2016",9061,3120,75,3195,3142,75,3217
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2016",58944,28415,360,28775,28415,360,28775
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","luty 2016",13386,7313,2737,10050,9668,2737,12405
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","luty 2016",62812,44001,11124,55125,44090,11124,55214
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2016",10628,5204,20,5224,5204,20,5224
"Super Express","ZPR Media SA","luty 2016",243021,143218,0,143218,143938,0,143938
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","luty 2016",12686,7750,0,7750,7750,0,7750
"Sumy dla: wszystkich tytułów",,,42432949,27670413,833103,28503516,28082670,1304346,29387016
"Średnie dla: wszystkich tytułów",,,52581,34288,1032,35320,34799,1616,36415
