Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,czerwiec 2019,18082,12133,645,12777,12133,645,12777
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,czerwiec 2019,34871,21322,11046,32368,21802,11046,32848
Dziennik ?ódzki,Polska Press Sp. z o.o.,czerwiec 2019,18206,11313,631,11944,11457,631,12089
Dziennik Polski,Polska Press Sp. z o.o.,czerwiec 2019,16924,10090,107,10198,10198,107,10306
Dziennik Wschodni,Corner Media Sp. z o.o.,czerwiec 2019,8254,3964,1,3965,4017,1,4018
Dziennik Zachodni,Polska Press Sp. z o.o.,czerwiec 2019,29724,18406,488,18894,18406,488,18894
Echo Dnia,Polska Press Sp. z o.o.,czerwiec 2019,15909,9632,293,9925,10516,582,11098
Express Bydgoski,Polska Press Sp. z o.o.,czerwiec 2019,9134,6257,24,6281,6257,24,6281
Express Ilustrowany,Polska Press Sp. z o.o.,czerwiec 2019,20494,13872,14,13887,13875,14,13889
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,czerwiec 2019,327212,208789,179,208968,208789,179,208968
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,czerwiec 2019,15991,9755,277,10032,9763,277,10040
Gazeta Krakowska,Polska Press Sp. z o.o.,czerwiec 2019,16100,9277,521,9799,9387,521,9909
Gazeta Lubuska,Polska Press Sp. z o.o.,czerwiec 2019,16290,12129,291,12420,12138,291,12429
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,czerwiec 2019,9520,5951,970,6921,5952,970,6922
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",czerwiec 2019,26505,19774,2829,22603,19774,2829,22603
Gazeta Polska Codziennie,Forum SA,czerwiec 2019,53594,12837,283,13120,12837,364,13201
Gazeta Pomorska,Polska Press Sp. z o.o.,czerwiec 2019,29346,24919,79,24997,24920,79,24998
Gazeta Wroc?awska,Polska Press Sp. z o.o.,czerwiec 2019,13289,8386,314,8700,8386,314,8700
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,czerwiec 2019,5367,3447,15,3462,3450,15,3465
Gazeta Wyborcza,Agora SA,czerwiec 2019,140671,81021,1657,82678,84014,8966,92980
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,czerwiec 2019,17758,12151,503,12654,12255,503,12758
G?os Wielkopolski,Polska Press Sp. z o.o.,czerwiec 2019,23766,17187,1036,18223,17201,1036,18237
Kurier Lubelski,Polska Press Sp. z o.o.,czerwiec 2019,5011,2423,651,3074,2423,651,3074
Kurier Poranny,Polska Press Sp. z o.o.,czerwiec 2019,4937,3141,417,3558,3166,417,3582
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",czerwiec 2019,13005,6251,72,6323,6569,72,6641
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",czerwiec 2019,11830,7754,256,8011,8715,256,8972
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,czerwiec 2019,9774,7282,40,7322,7282,40,7322
Parkiet Gazeta Gie?dy,Gremi Media SA,czerwiec 2019,5366,1931,1923,3854,1952,2223,4175
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,czerwiec 2019,7353,2193,157,2350,2193,157,2350
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,czerwiec 2019,45896,19966,289,20255,19966,289,20255
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",czerwiec 2019,8410,5373,4143,9516,6526,4143,10669
Rzeczpospolita,Gremi Media SA,czerwiec 2019,52531,30891,11233,42123,30945,11233,42178
Sport,WHIZZ S.A.,czerwiec 2019,8808,4010,30,4040,4010,30,4040
Super Express,TIME SA,czerwiec 2019,186971,110215,138,110353,110935,138,111073
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,czerwiec 2019,11102,4764,0,4765,4764,0,4765
Sumy dla: wszystkich tytu?ów,,,28592275,17050977,851173,17902193,17235152,1042669,18277869
?rednie dla: wszystkich tytu?ów,,,37572,22406,1118,23525,22648,1370,24018
