Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","luty 2015",31876,24227,554,24781,24277,554,24831
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","luty 2015",61806,36376,8896,45272,42489,12683,55172
"Dziennik Łódzki","Polska Press Sp. z o.o.","luty 2015",33347,23702,37,23739,23702,37,23739
"Dziennik Polski","Polska Press Sp. z o.o.","luty 2015",26662,19149,266,19415,19267,266,19533
"Dziennik Wschodni","Corner Media Sp. z o.o.","luty 2015",9934,6508,0,6508,6508,0,6508
"Dziennik Zachodni","Polska Press Sp. z o.o.","luty 2015",57253,40273,189,40462,40426,189,40615
"Echo Dnia","Polska Press Sp. z o.o.","luty 2015",26853,19303,973,20276,20060,1183,21243
"Express Bydgoski","""Express Media"" Sp. z o.o.","luty 2015",17710,11073,142,11215,11487,142,11629
"Express Ilustrowany","Polska Press Sp. z o.o.","luty 2015",36764,28735,17,28752,28981,17,28998
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2015",459708,324293,236,324529,324293,236,324529
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","luty 2015",21736,16081,85,16166,16090,85,16175
"Gazeta Krakowska","Polska Press Sp. z o.o.","luty 2015",23446,16672,198,16870,16745,198,16943
"Gazeta Lubuska","Polska Press Sp. z o.o.","luty 2015",24374,20051,365,20416,20056,365,20421
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","luty 2015",22737,15406,26,15432,15622,26,15648
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","luty 2015",36763,25219,1704,26923,25219,1704,26923
"Gazeta Polska Codziennie","Forum SA","luty 2015",58921,17636,432,18068,17636,441,18077
"Gazeta Pomorska","Polska Press Sp. z o.o.","luty 2015",47558,41698,613,42311,42000,684,42684
"Gazeta Wrocławska","Polska Press Sp. z o.o.","luty 2015",23871,16858,236,17094,17050,236,17286
"Gazeta Współczesna","Polska Press Sp. z o.o.","luty 2015",8701,6674,20,6694,6759,558,7317
"Gazeta Wyborcza","Agora SA","luty 2015",248454,165804,2273,168077,169736,16942,186678
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","luty 2015",28749,22826,1134,23960,23024,1134,24158
"Głos Wielkopolski","Polska Press Sp. z o.o.","luty 2015",40527,30882,456,31338,30886,456,31342
"Kurier Lubelski","Polska Press Sp. z o.o.","luty 2015",7684,4394,71,4465,4394,71,4465
"Kurier Poranny","Polska Press Sp. z o.o.","luty 2015",7094,5441,9,5450,5586,412,5998
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","luty 2015",19964,11380,85,11465,13044,85,13129
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","luty 2015",20754,14442,76,14518,16352,371,16723
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","luty 2015",18349,12752,83,12835,13084,83,13167
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","luty 2015",10283,2923,1805,4728,3116,2105,5221
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","luty 2015",10813,4520,75,4595,4583,75,4658
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2015",63304,31619,349,31968,31619,349,31968
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","luty 2015",14972,7905,2786,10691,11175,2786,13961
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","luty 2015",64440,47095,10206,57301,47471,10206,57677
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2015",10623,5325,19,5344,5325,19,5344
"Super Express","ZPR Media SA","luty 2015",254876,147000,0,147000,147720,0,147720
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","luty 2015",14906,8857,0,8857,8857,0,8857
"Sumy dla: wszystkich tytułów",,,43351084,28704088,749712,29453800,29174896,1217568,30392464
"Średnie dla: wszystkich tytułów",,,56154,37181,971,38153,37791,1577,39368
