Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","luty 2017",25916,17785,714,18499,17835,714,18549
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","luty 2017",50254,31220,10441,41661,33845,14034,47879
"Dziennik Łódzki","Polska Press Sp. z o.o.","luty 2017",25636,17264,473,17737,17466,473,17939
"Dziennik Polski","Polska Press Sp. z o.o.","luty 2017",22894,14771,130,14901,14857,130,14987
"Dziennik Wschodni","Corner Media Sp. z o.o.","luty 2017",9148,5065,0,5065,5065,0,5065
"Dziennik Zachodni","Polska Press Sp. z o.o.","luty 2017",47649,30777,374,31151,30777,374,31151
"Echo Dnia","Polska Press Sp. z o.o.","luty 2017",21443,14122,822,14944,15053,1197,16250
"Express Bydgoski","Polska Press Sp. z o.o.","luty 2017",12756,9006,109,9115,9008,109,9117
"Express Ilustrowany","Polska Press Sp. z o.o.","luty 2017",30049,21953,54,22007,22138,54,22192
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2017",407232,279747,186,279933,279747,186,279933
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","luty 2017",17044,11576,114,11690,11588,114,11702
"Gazeta Krakowska","Polska Press Sp. z o.o.","luty 2017",20795,13472,594,14066,13503,594,14097
"Gazeta Lubuska","Polska Press Sp. z o.o.","luty 2017",20541,15975,203,16178,15984,203,16187
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","luty 2017",15972,10523,30,10553,10613,30,10643
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","luty 2017",32398,22892,2116,25008,22892,2116,25008
"Gazeta Polska Codziennie","Forum SA","luty 2017",66667,18445,326,18771,18445,335,18780
"Gazeta Pomorska","Polska Press Sp. z o.o.","luty 2017",39496,34017,366,34383,34017,366,34383
"Gazeta Wrocławska","Polska Press Sp. z o.o.","luty 2017",18908,12594,254,12848,12657,254,12911
"Gazeta Współczesna","Polska Press Sp. z o.o.","luty 2017",7351,4992,131,5123,5084,131,5215
"Gazeta Wyborcza","Agora SA","luty 2017",205236,117985,1731,119716,121807,12991,134798
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","luty 2017",23598,16995,566,17561,17124,566,17690
"Głos Wielkopolski","Polska Press Sp. z o.o.","luty 2017",32481,24382,228,24610,24386,228,24614
"Kurier Lubelski","Polska Press Sp. z o.o.","luty 2017",7093,3348,98,3446,3478,98,3576
"Kurier Poranny","Polska Press Sp. z o.o.","luty 2017",6380,4383,26,4409,4501,26,4527
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","luty 2017",16655,8734,83,8817,9647,83,9730
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","luty 2017",16530,10757,554,11311,11919,554,12473
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","luty 2017",13543,10179,78,10257,10180,78,10258
"Parkiet Gazeta Giełdy","Gremi Media S.A.","luty 2017",10945,2469,1811,4280,2539,2111,4650
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","luty 2017",8926,2644,76,2720,2644,76,2720
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2017",55853,25777,343,26120,25777,343,26120
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","luty 2017",12412,6523,2866,9389,8874,2866,11740
Rzeczpospolita,"Gremi Media S.A.","luty 2017",58758,37753,11484,49237,37842,11484,49326
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","luty 2017",9960,4709,18,4727,4709,18,4727
"Super Express","ZPR Media SA","luty 2017",227800,131710,0,131710,132430,0,132430
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","luty 2017",12965,7015,0,7015,7015,0,7015
"Sumy dla: wszystkich tytułów",,,37452424,23297416,807468,24104884,23605740,1165984,24771724
"Średnie dla: wszystkich tytułów",,,48514,30178,1046,31224,30577,1510,32088
