Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","maj 2016",29729,20089,603,20692,20127,603,20730
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","maj 2016",55431,33082,10591,43673,36815,14285,51100
"Dziennik Łódzki","Polska Press Sp. z o.o.","maj 2016",28874,19419,505,19924,19419,505,19924
"Dziennik Polski","Polska Press Sp. z o.o.","maj 2016",25451,16815,167,16982,17102,167,17269
"Dziennik Wschodni","Corner Media Sp. z o.o.","maj 2016",9918,6168,0,6168,6168,0,6168
"Dziennik Zachodni","Polska Press Sp. z o.o.","maj 2016",52319,34737,382,35119,35004,382,35386
"Echo Dnia","Polska Press Sp. z o.o.","maj 2016",24914,16092,1528,17620,17132,1903,19035
"Express Bydgoski","""Express Media"" Sp. z o.o.","maj 2016",14252,9905,224,10129,9953,224,10177
"Express Ilustrowany","Polska Press Sp. z o.o.","maj 2016",34340,24116,194,24310,25366,194,25560
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2016",412278,275842,209,276051,275842,209,276051
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","maj 2016",21978,15333,306,15639,15351,306,15657
"Gazeta Krakowska","Polska Press Sp. z o.o.","maj 2016",22608,14976,168,15144,15328,168,15496
"Gazeta Lubuska","Polska Press Sp. z o.o.","maj 2016",23322,17967,183,18150,17976,183,18159
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","maj 2016",19597,12189,110,12299,14003,110,14113
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","maj 2016",31431,22980,2014,24994,22980,2014,24994
"Gazeta Polska Codziennie","Forum SA","maj 2016",57615,20427,308,20735,20427,321,20748
"Gazeta Pomorska","Polska Press Sp. z o.o.","maj 2016",43589,37109,457,37566,37192,554,37746
"Gazeta Wrocławska","Polska Press Sp. z o.o.","maj 2016",21242,14076,237,14313,14349,237,14586
"Gazeta Współczesna","Polska Press Sp. z o.o.","maj 2016",7845,5253,110,5363,5346,110,5456
"Gazeta Wyborcza","Agora SA","maj 2016",230481,139764,1889,141653,144776,15253,160029
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","maj 2016",27021,19594,292,19886,19750,292,20042
"Głos Wielkopolski","Polska Press Sp. z o.o.","maj 2016",35350,26261,276,26537,26265,276,26541
"Kurier Lubelski","Polska Press Sp. z o.o.","maj 2016",7333,3662,57,3719,3662,57,3719
"Kurier Poranny","Polska Press Sp. z o.o.","maj 2016",6957,4770,197,4967,5014,197,5211
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","maj 2016",17938,9728,101,9829,10813,101,10914
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","maj 2016",18565,12186,145,12331,14203,145,14348
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","maj 2016",15019,11328,197,11525,11329,197,11526
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","maj 2016",7338,2540,1981,4521,2724,2281,5005
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","maj 2016",9016,2882,85,2967,2882,85,2967
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2016",54687,27262,353,27615,27262,353,27615
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","maj 2016",13280,7260,3066,10326,9643,3066,12709
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","maj 2016",62235,43044,11038,54082,43203,11038,54241
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","maj 2016",10958,5490,19,5509,5490,19,5509
"Super Express","ZPR Media SA","maj 2016",234551,136295,0,136295,137015,0,137015
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","maj 2016",13078,7228,0,7228,7228,0,7228
"Sumy dla: wszystkich tytułów",,,39509232,25015388,805888,25821276,25487145,1215650,26702795
"Średnie dla: wszystkich tytułów",,,51244,32445,1045,33491,33057,1577,34634
