Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,maj 2019,19679,13181,320,13500,13181,320,13500
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,maj 2019,40110,22934,11035,33969,23419,11035,34453
Dziennik ?ódzki,Polska Press Sp. z o.o.,maj 2019,19745,12462,316,12777,12638,316,12953
Dziennik Polski,Polska Press Sp. z o.o.,maj 2019,18010,10972,106,11077,10972,106,11077
Dziennik Wschodni,Corner Media Sp. z o.o.,maj 2019,8547,4238,1,4239,4238,1,4239
Dziennik Zachodni,Polska Press Sp. z o.o.,maj 2019,33314,21621,416,22037,21621,416,22037
Echo Dnia,Polska Press Sp. z o.o.,maj 2019,17217,10823,708,11531,11504,1022,12525
Express Bydgoski,Polska Press Sp. z o.o.,maj 2019,9703,6592,23,6615,6592,23,6615
Express Ilustrowany,Polska Press Sp. z o.o.,maj 2019,22075,15234,14,15248,15237,14,15251
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,maj 2019,341818,221926,176,222102,221926,176,222102
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,maj 2019,16529,10420,192,10612,10430,192,10622
Gazeta Krakowska,Polska Press Sp. z o.o.,maj 2019,17544,10309,496,10805,10358,496,10854
Gazeta Lubuska,Polska Press Sp. z o.o.,maj 2019,15321,11725,342,12066,11733,342,12075
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,maj 2019,10826,6855,989,7844,6862,989,7851
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",maj 2019,26580,19731,2782,22513,19731,2782,22513
Gazeta Polska Codziennie,Forum SA,maj 2019,51333,13369,291,13660,13369,373,13742
Gazeta Pomorska,Polska Press Sp. z o.o.,maj 2019,30737,25730,846,26576,25733,846,26580
Gazeta Wroc?awska,Polska Press Sp. z o.o.,maj 2019,13698,8839,457,9296,8839,457,9296
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,maj 2019,5561,3555,16,3571,3558,16,3574
Gazeta Wyborcza,Agora SA,maj 2019,151888,87523,1657,89180,90674,10116,100790
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,maj 2019,18373,12478,325,12803,12604,325,12929
G?os Wielkopolski,Polska Press Sp. z o.o.,maj 2019,25508,18290,604,18894,18294,604,18897
Kurier Lubelski,Polska Press Sp. z o.o.,maj 2019,5298,2511,351,2862,2511,351,2862
Kurier Poranny,Polska Press Sp. z o.o.,maj 2019,5006,3264,195,3459,3289,195,3484
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",maj 2019,13570,6855,76,6931,7187,76,7263
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",maj 2019,12307,7991,169,8160,9189,169,9358
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,maj 2019,10195,7593,37,7630,7595,37,7632
Parkiet Gazeta Gie?dy,Gremi Media SA,maj 2019,5903,1955,1918,3873,1968,2218,4186
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,maj 2019,7461,2269,155,2424,2269,155,2424
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,maj 2019,48109,20777,302,21079,20777,302,21079
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",maj 2019,8793,5362,4042,9404,6465,4042,10507
Rzeczpospolita,Gremi Media SA,maj 2019,52817,30490,11269,41759,30509,11269,41778
Sport,WHIZZ S.A.,maj 2019,9458,4543,30,4573,4543,30,4573
Super Express,TIME SA,maj 2019,189276,114739,137,114876,115459,137,115596
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,maj 2019,12219,5207,0,5207,5207,0,5207
Sumy dla: wszystkich tytu?ów,,,31284477,18910630,889299,19799829,19104127,1117574,20221581
?rednie dla: wszystkich tytu?ów,,,39008,23579,1109,24688,23821,1393,25214
