Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","marzec 2017",26641,18223,478,18701,18279,478,18757
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","marzec 2017",48498,30963,10519,41482,33223,14120,47343
"Dziennik Łódzki","Polska Press Sp. z o.o.","marzec 2017",26944,17978,454,18432,18740,454,19194
"Dziennik Polski","Polska Press Sp. z o.o.","marzec 2017",23232,15009,276,15285,15205,276,15481
"Dziennik Wschodni","Corner Media Sp. z o.o.","marzec 2017",9329,5294,0,5294,5294,0,5294
"Dziennik Zachodni","Polska Press Sp. z o.o.","marzec 2017",49207,31761,169,31930,31761,169,31930
"Echo Dnia","Polska Press Sp. z o.o.","marzec 2017",22279,14512,355,14867,15575,688,16263
"Express Bydgoski","Polska Press Sp. z o.o.","marzec 2017",12961,9076,99,9175,9078,99,9177
"Express Ilustrowany","Polska Press Sp. z o.o.","marzec 2017",31140,22767,215,22982,23321,215,23536
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2017",409216,277698,179,277877,277698,179,277877
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","marzec 2017",17814,11979,19,11998,11992,19,12011
"Gazeta Krakowska","Polska Press Sp. z o.o.","marzec 2017",20853,13459,923,14382,13492,923,14415
"Gazeta Lubuska","Polska Press Sp. z o.o.","marzec 2017",19964,15473,420,15893,15481,420,15901
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","marzec 2017",16940,10862,53,10915,10926,53,10979
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","marzec 2017",31722,22754,2214,24968,22754,2214,24968
"Gazeta Polska Codziennie","Forum SA","marzec 2017",70240,18608,339,18947,18608,350,18958
"Gazeta Pomorska","Polska Press Sp. z o.o.","marzec 2017",39857,34273,592,34865,34273,592,34865
"Gazeta Wrocławska","Polska Press Sp. z o.o.","marzec 2017",19139,12843,339,13182,12917,339,13256
"Gazeta Współczesna","Polska Press Sp. z o.o.","marzec 2017",7468,5062,164,5226,5154,164,5318
"Gazeta Wyborcza","Agora SA","marzec 2017",196110,115393,1708,117101,119757,12388,132145
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","marzec 2017",23708,17163,273,17436,17300,273,17573
"Głos Wielkopolski","Polska Press Sp. z o.o.","marzec 2017",32656,24507,1052,25559,24511,1052,25563
"Kurier Lubelski","Polska Press Sp. z o.o.","marzec 2017",7213,3470,80,3550,3470,80,3550
"Kurier Poranny","Polska Press Sp. z o.o.","marzec 2017",6359,4388,27,4415,4507,27,4534
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","marzec 2017",17089,9000,95,9095,9863,95,9958
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","marzec 2017",16623,10661,584,11245,12120,584,12704
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","marzec 2017",13476,10210,76,10286,10210,76,10286
"Parkiet Gazeta Giełdy","Gremi Media S.A.","marzec 2017",10464,2238,1748,3986,2255,2048,4303
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","marzec 2017",9147,2754,77,2831,2754,77,2831
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2017",54213,25353,357,25710,25353,357,25710
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","marzec 2017",12506,6526,3034,9560,8930,3034,11964
Rzeczpospolita,"Gremi Media S.A.","marzec 2017",60027,37390,11493,48883,37417,11493,48910
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2017",9955,4884,19,4903,4884,19,4903
"Super Express","ZPR Media SA","marzec 2017",236308,133094,0,133094,133814,0,133814
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","marzec 2017",13053,7019,0,7019,7019,0,7019
"Sumy dla: wszystkich tytułów",,,42510519,26277440,940620,27218060,26667293,1329191,27996484
"Średnie dla: wszystkich tytułów",,,48695,30100,1077,31178,30547,1523,32069
