Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,sierpie? 2019,18624,12681,118,12798,12681,118,12798
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,sierpie? 2019,34965,21252,11042,32294,21733,11042,32775
Dziennik ?ódzki,Polska Press Sp. z o.o.,sierpie? 2019,17641,11478,744,12222,11536,744,12279
Dziennik Polski,Polska Press Sp. z o.o.,sierpie? 2019,16784,10186,101,10288,10286,101,10388
Dziennik Wschodni,Corner Media Sp. z o.o.,sierpie? 2019,8182,4099,29,4129,4099,29,4129
Dziennik Zachodni,Polska Press Sp. z o.o.,sierpie? 2019,30611,19277,967,20244,19277,967,20244
Echo Dnia,Polska Press Sp. z o.o.,sierpie? 2019,15704,10147,613,10760,10512,903,11415
Express Bydgoski,Polska Press Sp. z o.o.,sierpie? 2019,9193,6284,16,6300,6284,16,6300
Express Ilustrowany,Polska Press Sp. z o.o.,sierpie? 2019,19839,13948,16,13964,13951,16,13967
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,sierpie? 2019,318910,214498,180,214678,214498,180,214678
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,sierpie? 2019,15243,10066,568,10634,10075,568,10643
Gazeta Krakowska,Polska Press Sp. z o.o.,sierpie? 2019,16222,9572,298,9870,9573,298,9870
Gazeta Lubuska,Polska Press Sp. z o.o.,sierpie? 2019,15602,11631,426,12057,11639,426,12065
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,sierpie? 2019,10322,6472,964,7437,6477,964,7441
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",sierpie? 2019,27107,19694,2809,22503,19694,2809,22503
Gazeta Polska Codziennie,Forum SA,sierpie? 2019,53934,12972,284,13256,12972,363,13335
Gazeta Pomorska,Polska Press Sp. z o.o.,sierpie? 2019,29019,24642,164,24806,24642,164,24806
Gazeta Wroc?awska,Polska Press Sp. z o.o.,sierpie? 2019,13437,8365,680,9045,8365,680,9045
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,sierpie? 2019,5349,3481,122,3603,3493,122,3615
Gazeta Wyborcza,Agora SA,sierpie? 2019,138296,82971,1601,84572,85827,9951,95778
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,sierpie? 2019,17927,12398,239,12637,12494,239,12733
G?os Wielkopolski,Polska Press Sp. z o.o.,sierpie? 2019,23794,17362,1011,18374,17366,1011,18377
Kurier Lubelski,Polska Press Sp. z o.o.,sierpie? 2019,5128,2470,564,3034,2470,564,3034
Kurier Poranny,Polska Press Sp. z o.o.,sierpie? 2019,4899,3199,367,3566,3245,367,3612
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",sierpie? 2019,12611,6719,85,6804,7034,85,7120
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",sierpie? 2019,11117,7759,82,7841,7963,82,8045
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,sierpie? 2019,9557,7161,29,7190,7161,29,7190
Parkiet Gazeta Gie?dy,Gremi Media SA,sierpie? 2019,5203,1799,1919,3718,1816,2219,4035
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,sierpie? 2019,7263,2298,151,2449,2298,151,2449
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,sierpie? 2019,51185,22848,308,23156,22848,308,23156
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",sierpie? 2019,8272,5307,4493,9800,6443,4493,10935
Rzeczpospolita,Gremi Media SA,sierpie? 2019,53681,31956,11199,43155,31969,11199,43168
Sport,WHIZZ S.A.,sierpie? 2019,9368,4323,33,4356,4323,33,4356
Super Express,TIME SA,sierpie? 2019,193601,116310,145,116455,117030,145,117175
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,sierpie? 2019,10638,5005,0,5005,5005,0,5005
Sumy dla: wszystkich tytu?ów,,,31045238,19057897,944535,20002504,19213920,1178429,20392319
?rednie dla: wszystkich tytu?ów,,,37585,23073,1144,24216,23261,1427,24688
