Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,wrzesie? 2019,17022,11527,590,12117,11551,590,12141
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,wrzesie? 2019,40411,22938,11248,34186,23414,11248,34662
Dziennik ?ódzki,Polska Press Sp. z o.o.,wrzesie? 2019,17255,11092,488,11580,11145,488,11633
Dziennik Polski,Polska Press Sp. z o.o.,wrzesie? 2019,16634,10029,100,10129,10085,100,10185
Dziennik Wschodni,Corner Media Sp. z o.o.,wrzesie? 2019,7695,3884,29,3913,3932,29,3960
Dziennik Zachodni,Polska Press Sp. z o.o.,wrzesie? 2019,29034,17916,801,18717,17916,801,18717
Echo Dnia,Polska Press Sp. z o.o.,wrzesie? 2019,15372,9589,327,9916,10035,604,10639
Express Bydgoski,Polska Press Sp. z o.o.,wrzesie? 2019,8771,6020,19,6039,6020,19,6039
Express Ilustrowany,Polska Press Sp. z o.o.,wrzesie? 2019,19066,13376,15,13391,13378,15,13393
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,wrzesie? 2019,311498,205120,176,205296,205120,176,205296
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,wrzesie? 2019,14998,9715,293,10007,9722,293,10015
Gazeta Krakowska,Polska Press Sp. z o.o.,wrzesie? 2019,15899,9184,563,9746,9192,563,9754
Gazeta Lubuska,Polska Press Sp. z o.o.,wrzesie? 2019,15017,11156,288,11444,11164,288,11452
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,wrzesie? 2019,10576,5852,951,6803,5889,951,6839
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",wrzesie? 2019,32117,19929,2867,22797,19929,2867,22797
Gazeta Polska Codziennie,Forum SA,wrzesie? 2019,53730,12469,276,12745,12469,358,12827
Gazeta Pomorska,Polska Press Sp. z o.o.,wrzesie? 2019,28181,24087,810,24897,24087,810,24897
Gazeta Wroc?awska,Polska Press Sp. z o.o.,wrzesie? 2019,12640,7983,604,8587,7983,604,8587
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,wrzesie? 2019,4959,3261,240,3500,3312,240,3552
Gazeta Wyborcza,Agora SA,wrzesie? 2019,138558,80162,1616,81778,82944,9638,92582
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,wrzesie? 2019,17457,12000,699,12699,12100,699,12799
G?os Wielkopolski,Polska Press Sp. z o.o.,wrzesie? 2019,22883,16628,470,17097,16632,470,17101
Kurier Lubelski,Polska Press Sp. z o.o.,wrzesie? 2019,4708,2239,329,2568,2239,329,2568
Kurier Poranny,Polska Press Sp. z o.o.,wrzesie? 2019,4652,3038,181,3219,3111,181,3292
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",wrzesie? 2019,11567,6053,95,6148,6385,95,6480
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",wrzesie? 2019,11250,7538,363,7900,8110,363,8472
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,wrzesie? 2019,9266,6966,28,6994,6966,28,6994
Parkiet Gazeta Gie?dy,Gremi Media SA,wrzesie? 2019,5328,1886,1922,3809,1930,2222,4153
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,wrzesie? 2019,6963,2259,150,2409,2259,150,2409
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,wrzesie? 2019,49048,21026,309,21335,21026,309,21335
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",wrzesie? 2019,8146,5296,4542,9838,6256,4542,10798
Rzeczpospolita,Gremi Media SA,wrzesie? 2019,53450,31627,11247,42873,31644,11247,42890
Sport,WHIZZ S.A.,wrzesie? 2019,9894,4551,29,4580,4551,29,4580
Super Express,TIME SA,wrzesie? 2019,187971,111646,143,111789,112366,143,112509
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,wrzesie? 2019,9876,4456,0,4456,4456,0,4456
Sumy dla: wszystkich tytu?ów,,,29493972,17713922,954100,18667914,17876634,1171125,19047647
?rednie dla: wszystkich tytu?ów,,,36548,21950,1182,23132,22152,1451,23603
