Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,stycze? 2019,20604,13218,411,13628,13218,411,13628
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,stycze? 2019,58199,31532,11047,42579,32179,11047,43226
Dziennik ?ódzki,Polska Press Sp. z o.o.,stycze? 2019,21170,12539,589,13128,12563,589,13152
Dziennik Polski,Polska Press Sp. z o.o.,stycze? 2019,19290,10802,182,10985,10802,182,10985
Dziennik Wschodni,Corner Media Sp. z o.o.,stycze? 2019,7701,3853,24,3876,3876,24,3899
Dziennik Zachodni,Polska Press Sp. z o.o.,stycze? 2019,35058,20021,718,20740,20021,718,20740
Echo Dnia,Polska Press Sp. z o.o.,stycze? 2019,17959,10067,583,10650,10636,894,11529
Express Bydgoski,Polska Press Sp. z o.o.,stycze? 2019,10488,6619,28,6647,6619,28,6647
Express Ilustrowany,Polska Press Sp. z o.o.,stycze? 2019,23282,14896,14,14910,14898,14,14913
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,stycze? 2019,375690,236715,174,236889,236715,174,236889
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,stycze? 2019,16873,9585,502,10087,9594,502,10096
Gazeta Krakowska,Polska Press Sp. z o.o.,stycze? 2019,18795,9895,439,10335,9895,439,10335
Gazeta Lubuska,Polska Press Sp. z o.o.,stycze? 2019,17345,12109,275,12383,12117,275,12391
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,stycze? 2019,10914,6559,781,7339,6656,781,7437
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",stycze? 2019,27506,18645,1504,20148,18645,1504,20148
Gazeta Polska Codziennie,Forum SA,stycze? 2019,52443,13561,288,13849,13561,356,13917
Gazeta Pomorska,Polska Press Sp. z o.o.,stycze? 2019,32868,26343,134,26478,26343,134,26478
Gazeta Wroc?awska,Polska Press Sp. z o.o.,stycze? 2019,15820,8887,320,9207,8887,320,9207
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,stycze? 2019,6250,3821,44,3865,3823,44,3867
Gazeta Wyborcza,Agora SA,stycze? 2019,151792,90229,1728,91956,93278,9367,102645
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,stycze? 2019,19570,12667,342,13008,12752,342,13093
G?os Wielkopolski,Polska Press Sp. z o.o.,stycze? 2019,27350,18170,647,18817,18174,647,18821
Kurier Lubelski,Polska Press Sp. z o.o.,stycze? 2019,5376,2397,233,2630,2397,233,2630
Kurier Poranny,Polska Press Sp. z o.o.,stycze? 2019,5463,3292,280,3573,3308,280,3589
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",stycze? 2019,13049,6551,80,6630,6866,80,6945
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",stycze? 2019,12751,8049,188,8236,8817,188,9004
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,stycze? 2019,10969,7699,40,7739,7699,40,7739
Parkiet Gazeta Gie?dy,Gremi Media SA,stycze? 2019,5871,1790,1835,3625,1805,2135,3941
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,stycze? 2019,6827,2232,186,2418,2232,186,2418
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,stycze? 2019,50846,19272,103,19375,19272,103,19375
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",stycze? 2019,12096,5595,3912,9507,8181,3912,12092
Rzeczpospolita,Gremi Media SA,stycze? 2019,52461,29611,11364,40975,29655,11364,41018
Sport,WHIZZ S.A.,stycze? 2019,9640,3953,30,3983,3953,30,3983
Super Express,TIME SA,stycze? 2019,194105,114841,138,114979,115561,138,115699
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,stycze? 2019,11400,5276,0,5275,5276,0,5275
Sumy dla: wszystkich tytu?ów,,,34687230,20188817,924834,21113546,20407983,1141102,21549010
?rednie dla: wszystkich tytu?ów,,,41344,24063,1102,25165,24324,1360,25684
