Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","kwiecień 2015",35206,25973,579,26552,26009,579,26588
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","kwiecień 2015",58625,34480,9210,43690,39240,13005,52245
"Dziennik Łódzki","Polska Press Sp. z o.o.","kwiecień 2015",34917,24749,137,24886,24749,137,24886
"Dziennik Polski","Polska Press Sp. z o.o.","kwiecień 2015",27689,19936,150,20086,20108,150,20258
"Dziennik Wschodni","Corner Media Sp. z o.o.","kwiecień 2015",10522,6933,0,6933,6933,0,6933
"Dziennik Zachodni","Polska Press Sp. z o.o.","kwiecień 2015",61507,43281,138,43419,43581,138,43719
"Echo Dnia","Polska Press Sp. z o.o.","kwiecień 2015",29679,20886,868,21754,21941,1024,22965
"Express Bydgoski","""Express Media"" Sp. z o.o.","kwiecień 2015",18664,11730,139,11869,12226,139,12365
"Express Ilustrowany","Polska Press Sp. z o.o.","kwiecień 2015",39536,30760,22,30782,30760,22,30782
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2015",471328,328681,235,328916,328681,235,328916
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","kwiecień 2015",23565,17025,190,17215,17054,190,17244
"Gazeta Krakowska","Polska Press Sp. z o.o.","kwiecień 2015",24073,17084,382,17466,17150,382,17532
"Gazeta Lubuska","Polska Press Sp. z o.o.","kwiecień 2015",24777,20098,272,20370,20176,272,20448
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","kwiecień 2015",28900,15817,71,15888,21828,71,21899
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","kwiecień 2015",35218,24491,1665,26156,24491,1665,26156
"Gazeta Polska Codziennie","Forum SA","kwiecień 2015",59142,18148,301,18449,18148,308,18456
"Gazeta Pomorska","Polska Press Sp. z o.o.","kwiecień 2015",48944,42662,387,43049,42892,501,43393
"Gazeta Wrocławska","Polska Press Sp. z o.o.","kwiecień 2015",24524,17268,153,17421,17404,153,17557
"Gazeta Współczesna","Polska Press Sp. z o.o.","kwiecień 2015",8914,6735,32,6767,6821,593,7414
"Gazeta Wyborcza","Agora SA","kwiecień 2015",250233,164469,2271,166740,168797,14986,183783
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","kwiecień 2015",29565,23155,910,24065,23349,910,24259
"Głos Wielkopolski","Polska Press Sp. z o.o.","kwiecień 2015",41385,31248,143,31391,31252,143,31395
"Kurier Lubelski","Polska Press Sp. z o.o.","kwiecień 2015",8427,4582,149,4731,4672,149,4821
"Kurier Poranny","Polska Press Sp. z o.o.","kwiecień 2015",7295,5556,97,5653,5748,514,6262
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","kwiecień 2015",21361,12134,71,12205,13921,72,13993
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","kwiecień 2015",21088,14993,140,15133,16964,342,17306
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","kwiecień 2015",18773,13091,101,13192,13449,101,13550
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","kwiecień 2015",10453,3039,1865,4904,3318,2165,5483
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","kwiecień 2015",11022,3891,110,4001,3913,110,4023
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2015",58766,29642,365,30007,29642,365,30007
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","kwiecień 2015",15291,7863,2792,10655,11461,2792,14253
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","kwiecień 2015",65097,46735,9448,56183,47609,9448,57057
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2015",11014,5584,20,5604,5584,20,5604
"Super Express","ZPR Media SA","kwiecień 2015",259114,152119,0,152119,152839,0,152839
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","kwiecień 2015",15872,9065,0,9065,9065,0,9065
"Sumy dla: wszystkich tytułów",,,46233612,30414527,742953,31157480,31062434,1176006,32238440
"Średnie dla: wszystkich tytułów",,,57576,37876,925,38801,38683,1465,40147
