Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","czerwiec 2016",28906,19100,136,19236,19158,136,19294
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","czerwiec 2016",50780,30131,10643,40774,34110,14327,48437
"Dziennik Łódzki","Polska Press Sp. z o.o.","czerwiec 2016",29573,18433,233,18666,20356,233,20589
"Dziennik Polski","Polska Press Sp. z o.o.","czerwiec 2016",23817,15621,151,15772,15857,151,16008
"Dziennik Wschodni","Corner Media Sp. z o.o.","czerwiec 2016",9309,5465,0,5465,5465,0,5465
"Dziennik Zachodni","Polska Press Sp. z o.o.","czerwiec 2016",49632,32144,278,32422,32324,278,32602
"Echo Dnia","Polska Press Sp. z o.o.","czerwiec 2016",23130,14458,306,14764,15953,652,16605
"Express Bydgoski","Polska Press Sp. z o.o.","czerwiec 2016",13838,9543,176,9719,9559,176,9735
"Express Ilustrowany","Polska Press Sp. z o.o.","czerwiec 2016",32628,22581,30,22611,23735,30,23765
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2016",408746,269835,210,270045,269835,210,270045
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","czerwiec 2016",19588,13257,281,13538,13269,281,13550
"Gazeta Krakowska","Polska Press Sp. z o.o.","czerwiec 2016",21001,13627,127,13754,13785,127,13912
"Gazeta Lubuska","Polska Press Sp. z o.o.","czerwiec 2016",22539,17195,176,17371,17207,176,17383
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","czerwiec 2016",18300,11701,112,11813,11767,112,11879
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","czerwiec 2016",31567,22972,2035,25007,22972,2035,25007
"Gazeta Polska Codziennie","Forum SA","czerwiec 2016",60805,19538,312,19850,19538,326,19864
"Gazeta Pomorska","Polska Press Sp. z o.o.","czerwiec 2016",42452,35952,435,36387,36070,499,36569
"Gazeta Wrocławska","Polska Press Sp. z o.o.","czerwiec 2016",20793,13439,200,13639,13620,200,13820
"Gazeta Współczesna","Polska Press Sp. z o.o.","czerwiec 2016",7658,5098,66,5164,5270,66,5336
"Gazeta Wyborcza","Agora SA","czerwiec 2016",230372,131621,1873,133494,137116,14934,152050
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","czerwiec 2016",25913,18851,313,19164,18982,313,19295
"Głos Wielkopolski","Polska Press Sp. z o.o.","czerwiec 2016",33381,24922,500,25422,24926,500,25426
"Kurier Lubelski","Polska Press Sp. z o.o.","czerwiec 2016",6986,3381,57,3438,3381,57,3438
"Kurier Poranny","Polska Press Sp. z o.o.","czerwiec 2016",6623,4416,23,4439,4673,23,4696
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","czerwiec 2016",17406,9114,45,9159,10295,45,10340
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","czerwiec 2016",17449,11461,120,11581,12976,120,13096
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","czerwiec 2016",14666,10984,162,11146,10985,162,11147
"Parkiet Gazeta Giełdy","Gremi Media Sp. z o.o.","czerwiec 2016",7114,2430,1960,4390,2490,2260,4750
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","czerwiec 2016",8883,2757,73,2830,2757,73,2830
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2016",71055,34172,371,34543,34172,371,34543
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","czerwiec 2016",13266,7212,3030,10242,9548,3030,12578
Rzeczpospolita,"Gremi Media Sp. z o.o.","czerwiec 2016",66798,43168,11059,54227,43379,11059,54438
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2016",10813,5334,26,5360,5334,26,5360
"Super Express","ZPR Media SA","czerwiec 2016",234265,129802,0,129802,130522,0,130522
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","czerwiec 2016",12815,6783,0,6783,6783,0,6783
"Sumy dla: wszystkich tytułów",,,42749168,26172127,831078,27003205,26703825,1270536,27974361
"Średnie dla: wszystkich tytułów",,,50892,31157,989,32147,31790,1513,33303
