Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,luty 2019,19598,12936,489,13425,12936,489,13425
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,luty 2019,47311,27139,11038,38177,27759,11038,38797
Dziennik ?ódzki,Polska Press Sp. z o.o.,luty 2019,20282,12502,380,12882,12539,380,12918
Dziennik Polski,Polska Press Sp. z o.o.,luty 2019,18622,10938,418,11357,10973,418,11392
Dziennik Wschodni,Corner Media Sp. z o.o.,luty 2019,8010,3981,29,4010,3981,29,4010
Dziennik Zachodni,Polska Press Sp. z o.o.,luty 2019,33777,20396,1451,21847,20396,1451,21847
Echo Dnia,Polska Press Sp. z o.o.,luty 2019,17932,10320,579,10899,11115,896,12011
Express Bydgoski,Polska Press Sp. z o.o.,luty 2019,10135,6620,27,6647,6620,27,6647
Express Ilustrowany,Polska Press Sp. z o.o.,luty 2019,22689,15055,12,15068,15058,12,15070
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,luty 2019,358817,228085,181,228266,228085,181,228266
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,luty 2019,16534,9831,395,10226,9839,395,10234
Gazeta Krakowska,Polska Press Sp. z o.o.,luty 2019,18630,10454,316,10770,10454,316,10770
Gazeta Lubuska,Polska Press Sp. z o.o.,luty 2019,16583,12160,301,12461,12169,301,12469
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,luty 2019,10249,6533,753,7286,6546,753,7299
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",luty 2019,26940,19996,2619,22615,19996,2619,22615
Gazeta Polska Codziennie,Forum SA,luty 2019,51413,13631,272,13903,13631,347,13978
Gazeta Pomorska,Polska Press Sp. z o.o.,luty 2019,32021,26173,119,26293,26173,119,26293
Gazeta Wroc?awska,Polska Press Sp. z o.o.,luty 2019,15457,8865,419,9284,8869,419,9288
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,luty 2019,6178,3838,43,3881,3841,43,3883
Gazeta Wyborcza,Agora SA,luty 2019,156690,90608,1651,92259,93701,10139,103840
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,luty 2019,19180,12654,514,13168,12754,514,13268
G?os Wielkopolski,Polska Press Sp. z o.o.,luty 2019,26428,18622,384,19006,18626,384,19010
Kurier Lubelski,Polska Press Sp. z o.o.,luty 2019,5573,2454,254,2708,2454,254,2708
Kurier Poranny,Polska Press Sp. z o.o.,luty 2019,5423,3401,197,3598,3427,197,3624
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",luty 2019,13482,6694,92,6786,7009,92,7101
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",luty 2019,12797,8029,363,8391,8965,363,9327
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,luty 2019,10575,7661,39,7700,7661,39,7700
Parkiet Gazeta Gie?dy,Gremi Media SA,luty 2019,6004,1951,1971,3922,1971,2271,4242
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,luty 2019,7474,2293,136,2429,2293,136,2429
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,luty 2019,54104,21932,305,22237,21932,305,22237
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",luty 2019,11968,5525,3915,9441,8156,3915,12072
Rzeczpospolita,Gremi Media SA,luty 2019,53085,29928,11243,41172,29971,11243,41214
Sport,WHIZZ S.A.,luty 2019,9977,4356,28,4384,4356,28,4384
Super Express,TIME SA,luty 2019,193073,116008,154,116162,116728,154,116882
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,luty 2019,11740,5221,0,5221,5221,0,5221
Sumy dla: wszystkich tytu?ów,,,31314524,18494000,878156,19372248,18705548,1098476,19804000
?rednie dla: wszystkich tytu?ów,,,40563,23956,1138,25094,24230,1423,25653
