Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","listopad 2015",30537,21905,487,22392,21955,487,22442
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","listopad 2015",58334,35974,10191,46165,41897,13979,55876
"Dziennik Łódzki","Polska Press Sp. z o.o.","listopad 2015",31603,21730,35,21765,21730,35,21765
"Dziennik Polski","Polska Press Sp. z o.o.","listopad 2015",26731,18344,149,18493,18485,149,18634
"Dziennik Wschodni","Corner Media Sp. z o.o.","listopad 2015",9643,6102,0,6102,6102,0,6102
"Dziennik Zachodni","Polska Press Sp. z o.o.","listopad 2015",53453,37291,150,37441,37438,150,37588
"Echo Dnia","Polska Press Sp. z o.o.","listopad 2015",25336,17107,998,18105,18566,1373,19939
"Express Bydgoski","""Express Media"" Sp. z o.o.","listopad 2015",14701,10680,170,10850,10725,170,10895
"Express Ilustrowany","Polska Press Sp. z o.o.","listopad 2015",36946,27673,40,27713,27919,40,27959
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2015",418700,299625,194,299819,299625,194,299819
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","listopad 2015",20822,15131,109,15240,15139,109,15248
"Gazeta Krakowska","Polska Press Sp. z o.o.","listopad 2015",23723,15928,150,16078,16196,150,16346
"Gazeta Lubuska","Polska Press Sp. z o.o.","listopad 2015",23749,19278,369,19647,19286,369,19655
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","listopad 2015",20029,13384,80,13464,13472,80,13552
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","listopad 2015",35076,24390,1865,26255,24390,1865,26255
"Gazeta Polska Codziennie","Forum SA","listopad 2015",57525,19690,239,19929,19690,285,19975
"Gazeta Pomorska","Polska Press Sp. z o.o.","listopad 2015",44782,39195,511,39706,39670,562,40232
"Gazeta Wrocławska","Polska Press Sp. z o.o.","listopad 2015",22981,15682,215,15897,15724,215,15939
"Gazeta Współczesna","Polska Press Sp. z o.o.","listopad 2015",7928,5864,22,5886,5868,22,5890
"Gazeta Wyborcza","Agora SA","listopad 2015",243396,154931,2124,157055,160330,17650,177980
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","listopad 2015",29320,21549,109,21658,21757,109,21866
"Głos Wielkopolski","Polska Press Sp. z o.o.","listopad 2015",36971,28456,437,28893,28460,437,28897
"Kurier Lubelski","Polska Press Sp. z o.o.","listopad 2015",7330,4059,104,4163,4059,104,4163
"Kurier Poranny","Polska Press Sp. z o.o.","listopad 2015",6822,5072,452,5524,5119,452,5571
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","listopad 2015",17840,10467,91,10558,11458,91,11549
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","listopad 2015",19489,13736,263,13999,15180,263,15443
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","listopad 2015",15693,12082,199,12281,12107,199,12306
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","listopad 2015",10127,2764,2370,5134,3069,2670,5739
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","listopad 2015",10345,3394,75,3469,3858,75,3933
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2015",60058,28377,345,28722,28377,345,28722
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","listopad 2015",14109,7660,2934,10594,10248,2934,13182
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","listopad 2015",66107,45001,10002,55003,45946,10002,55948
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2015",11781,5669,19,5688,5669,19,5688
"Super Express","ZPR Media SA","listopad 2015",243377,141058,0,141058,141778,0,141778
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","listopad 2015",13099,7930,0,7930,7930,0,7930
"Sumy dla: wszystkich tytułów",,,41138089,26962476,767240,27729716,27446328,1234152,28680480
"Średnie dla: wszystkich tytułów",,,53150,34835,991,35827,35460,1595,37055
