Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","październik 2015",31917,23276,241,23517,23320,241,23561
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","październik 2015",54871,34720,9590,44310,39193,13378,52571
"Dziennik Łódzki","Polska Press Sp. z o.o.","październik 2015",31618,22092,326,22418,22092,326,22418
"Dziennik Polski","Polska Press Sp. z o.o.","październik 2015",27645,18858,76,18934,19094,76,19170
"Dziennik Wschodni","Corner Media Sp. z o.o.","październik 2015",9940,6352,0,6352,6352,0,6352
"Dziennik Zachodni","Polska Press Sp. z o.o.","październik 2015",56728,39503,383,39886,39751,383,40134
"Echo Dnia","Polska Press Sp. z o.o.","październik 2015",26781,18243,858,19101,19200,1191,20391
"Express Bydgoski","""Express Media"" Sp. z o.o.","październik 2015",15250,11240,93,11333,11282,93,11375
"Express Ilustrowany","Polska Press Sp. z o.o.","październik 2015",38408,29224,105,29329,29224,105,29329
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2015",422568,298761,201,298962,298761,201,298962
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","październik 2015",21742,15952,158,16110,15961,158,16119
"Gazeta Krakowska","Polska Press Sp. z o.o.","październik 2015",25087,17118,213,17331,17280,213,17493
"Gazeta Lubuska","Polska Press Sp. z o.o.","październik 2015",24271,19605,334,19939,19613,334,19947
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","październik 2015",20988,14140,79,14219,14502,79,14581
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","październik 2015",44994,24204,1732,25936,24204,1732,25936
"Gazeta Polska Codziennie","Forum SA","październik 2015",59187,19175,154,19329,19175,262,19437
"Gazeta Pomorska","Polska Press Sp. z o.o.","październik 2015",45441,39645,200,39845,39882,213,40095
"Gazeta Wrocławska","Polska Press Sp. z o.o.","październik 2015",23544,16052,178,16230,16260,178,16438
"Gazeta Współczesna","Polska Press Sp. z o.o.","październik 2015",8176,6105,30,6135,6109,30,6139
"Gazeta Wyborcza","Agora SA","październik 2015",239682,153601,2134,155735,159934,16944,176878
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","październik 2015",30298,22226,531,22757,22407,531,22938
"Głos Wielkopolski","Polska Press Sp. z o.o.","październik 2015",37515,29120,200,29320,29124,200,29324
"Kurier Lubelski","Polska Press Sp. z o.o.","październik 2015",7466,4213,74,4287,4222,74,4296
"Kurier Poranny","Polska Press Sp. z o.o.","październik 2015",7166,5284,193,5477,5383,193,5576
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","październik 2015",20016,11097,63,11160,12799,63,12862
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","październik 2015",19377,13864,354,14218,15250,354,15604
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","październik 2015",16182,12486,99,12585,12489,99,12588
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","październik 2015",10396,2752,2054,4806,3062,2354,5416
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","październik 2015",11234,3601,99,3700,4065,99,4164
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2015",63700,30472,373,30845,30472,373,30845
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","październik 2015",14667,7686,2982,10668,10715,2982,13697
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","październik 2015",63897,45076,9895,54971,45378,9895,55273
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2015",11280,5574,21,5595,5574,21,5595
"Super Express","ZPR Media SA","październik 2015",246581,142824,0,142824,143563,0,143563
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","październik 2015",13855,8278,0,8278,8278,0,8278
"Sumy dla: wszystkich tytułów",,,46865037,30656388,820213,31476601,31183288,1323777,32507065
"Średnie dla: wszystkich tytułów",,,54242,35482,949,36431,36092,1532,37624
