Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,lipiec 2019,17217,11405,203,11608,11405,203,11608
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,lipiec 2019,33630,20817,10980,31797,21069,10980,32049
Dziennik ?ódzki,Polska Press Sp. z o.o.,lipiec 2019,16714,10766,108,10874,10818,108,10927
Dziennik Polski,Polska Press Sp. z o.o.,lipiec 2019,15919,9490,104,9595,9579,104,9683
Dziennik Wschodni,Corner Media Sp. z o.o.,lipiec 2019,7348,3533,0,3533,3533,0,3533
Dziennik Zachodni,Polska Press Sp. z o.o.,lipiec 2019,27906,17203,417,17620,17203,417,17620
Echo Dnia,Polska Press Sp. z o.o.,lipiec 2019,14344,9049,215,9264,9406,480,9886
Express Bydgoski,Polska Press Sp. z o.o.,lipiec 2019,8778,5928,21,5949,5928,21,5949
Express Ilustrowany,Polska Press Sp. z o.o.,lipiec 2019,18197,12656,14,12670,12658,14,12672
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,lipiec 2019,320295,205444,179,205623,205444,179,205623
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,lipiec 2019,14402,8785,56,8841,8792,56,8848
Gazeta Krakowska,Polska Press Sp. z o.o.,lipiec 2019,15255,8860,783,9642,8867,783,9650
Gazeta Lubuska,Polska Press Sp. z o.o.,lipiec 2019,14817,10996,181,11177,11004,181,11185
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,lipiec 2019,8998,5536,924,6461,5611,924,6535
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",lipiec 2019,26294,19349,2516,21865,19349,2516,21865
Gazeta Polska Codziennie,Forum SA,lipiec 2019,51269,12429,282,12711,12429,358,12787
Gazeta Pomorska,Polska Press Sp. z o.o.,lipiec 2019,28188,23832,79,23911,23832,79,23911
Gazeta Wroc?awska,Polska Press Sp. z o.o.,lipiec 2019,12921,7882,356,8238,7882,356,8238
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,lipiec 2019,4913,3192,15,3208,3195,15,3211
Gazeta Wyborcza,Agora SA,lipiec 2019,135111,77273,1634,78907,79982,9504,89486
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,lipiec 2019,17481,11968,490,12458,12061,490,12550
G?os Wielkopolski,Polska Press Sp. z o.o.,lipiec 2019,22554,16430,487,16917,16434,487,16921
Kurier Lubelski,Polska Press Sp. z o.o.,lipiec 2019,4659,2202,198,2400,2202,198,2400
Kurier Poranny,Polska Press Sp. z o.o.,lipiec 2019,4663,2960,168,3128,2982,168,3151
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",lipiec 2019,11237,5918,81,5999,6233,81,6313
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",lipiec 2019,10648,7395,102,7497,7658,102,7760
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,lipiec 2019,9341,6945,39,6984,6945,39,6984
Parkiet Gazeta Gie?dy,Gremi Media SA,lipiec 2019,5222,1930,1931,3861,1945,2231,4176
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,lipiec 2019,6960,2091,153,2244,2091,153,2244
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,lipiec 2019,48998,21806,115,21921,21806,115,21921
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",lipiec 2019,8117,5319,4142,9460,6266,4142,10407
Rzeczpospolita,Gremi Media SA,lipiec 2019,52781,30792,11217,42009,30806,11217,42023
Sport,WHIZZ S.A.,lipiec 2019,9265,4234,32,4266,4234,32,4266
Super Express,TIME SA,lipiec 2019,184013,106386,142,106528,107106,142,107248
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,lipiec 2019,9700,4333,0,4334,4333,0,4334
Sumy dla: wszystkich tytu?ów,,,31356937,18694462,925226,19619738,18849036,1155023,20004082
?rednie dla: wszystkich tytu?ów,,,35919,21414,1060,22474,21591,1323,22914
