Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","marzec 2016",28908,19961,537,20498,20030,537,20567
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","marzec 2016",52743,32920,10274,43194,36760,13953,50713
"Dziennik Łódzki","Polska Press Sp. z o.o.","marzec 2016",29227,20345,278,20623,20345,278,20623
"Dziennik Polski","Polska Press Sp. z o.o.","marzec 2016",25006,16808,129,16937,17055,129,17184
"Dziennik Wschodni","Corner Media Sp. z o.o.","marzec 2016",9212,5953,0,5953,5957,0,5957
"Dziennik Zachodni","Polska Press Sp. z o.o.","marzec 2016",51392,34212,246,34458,34500,246,34746
"Echo Dnia","Polska Press Sp. z o.o.","marzec 2016",24524,15950,927,16877,17235,1287,18522
"Express Bydgoski","""Express Media"" Sp. z o.o.","marzec 2016",14091,10160,207,10367,10178,207,10385
"Express Ilustrowany","Polska Press Sp. z o.o.","marzec 2016",33637,24202,14,24216,24456,14,24470
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2016",434624,299578,212,299790,299578,212,299790
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","marzec 2016",19727,14287,249,14536,14299,249,14548
"Gazeta Krakowska","Polska Press Sp. z o.o.","marzec 2016",21898,14764,109,14873,14774,109,14883
"Gazeta Lubuska","Polska Press Sp. z o.o.","marzec 2016",22469,17965,206,18171,17973,206,18179
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","marzec 2016",18851,13331,118,13449,13369,118,13487
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","marzec 2016",32540,23679,2014,25693,23679,2014,25693
"Gazeta Polska Codziennie","Forum SA","marzec 2016",57532,20250,325,20575,20250,336,20586
"Gazeta Pomorska","Polska Press Sp. z o.o.","marzec 2016",44064,37880,497,38377,38497,600,39097
"Gazeta Wrocławska","Polska Press Sp. z o.o.","marzec 2016",21577,14486,244,14730,14512,244,14756
"Gazeta Współczesna","Polska Press Sp. z o.o.","marzec 2016",7663,5549,102,5651,5552,102,5654
"Gazeta Wyborcza","Agora SA","marzec 2016",231720,143712,1997,145709,148755,14333,163088
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","marzec 2016",26875,19910,336,20246,20054,336,20390
"Głos Wielkopolski","Polska Press Sp. z o.o.","marzec 2016",34777,26845,478,27323,26849,478,27327
"Kurier Lubelski","Polska Press Sp. z o.o.","marzec 2016",6945,3649,121,3770,3694,121,3815
"Kurier Poranny","Polska Press Sp. z o.o.","marzec 2016",6651,4701,26,4727,4738,26,4764
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","marzec 2016",17193,9620,47,9667,10765,47,10812
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","marzec 2016",18486,12466,130,12596,14292,130,14422
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","marzec 2016",14933,11448,157,11605,11449,157,11606
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","marzec 2016",7054,2609,1867,4476,2661,2167,4828
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","marzec 2016",9266,3150,75,3225,3150,75,3225
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2016",55079,26510,364,26874,26510,364,26874
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","marzec 2016",13270,7254,2943,10197,9593,2943,12536
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","marzec 2016",63147,44263,11068,55331,44398,11068,55466
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2016",10504,5038,20,5058,5038,20,5058
"Super Express","ZPR Media SA","marzec 2016",244033,143391,0,143391,144111,0,144111
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","marzec 2016",12506,7528,0,7528,7528,0,7528
"Sumy dla: wszystkich tytułów",,,43447092,28132687,852679,28985366,28575162,1274117,29849279
"Średnie dla: wszystkich tytułów",,,51846,33571,1018,34589,34099,1520,35620
