Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","czerwiec 2017",26651,17901,512,18413,17965,512,18477
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","czerwiec 2017",46623,28016,10605,38621,29667,14215,43882
"Dziennik Łódzki","Polska Press Sp. z o.o.","czerwiec 2017",25794,16784,400,17184,17353,400,17753
"Dziennik Polski","Polska Press Sp. z o.o.","czerwiec 2017",22770,14507,126,14633,14663,126,14789
"Dziennik Wschodni","Corner Media Sp. z o.o.","czerwiec 2017",9570,5287,0,5287,5335,0,5335
"Dziennik Zachodni","Polska Press Sp. z o.o.","czerwiec 2017",50825,31605,546,32151,31605,546,32151
"Echo Dnia","Polska Press Sp. z o.o.","czerwiec 2017",22472,13920,231,14151,15108,575,15683
"Express Bydgoski","Polska Press Sp. z o.o.","czerwiec 2017",12536,8755,346,9101,8757,346,9103
"Express Ilustrowany","Polska Press Sp. z o.o.","czerwiec 2017",30626,21421,11,21432,21667,11,21678
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2017",389430,259859,162,260021,259859,162,260021
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","czerwiec 2017",20446,12704,167,12871,12716,167,12883
"Gazeta Krakowska","Polska Press Sp. z o.o.","czerwiec 2017",20794,13061,321,13382,13117,321,13438
"Gazeta Lubuska","Polska Press Sp. z o.o.","czerwiec 2017",19972,15152,230,15382,15160,230,15390
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","czerwiec 2017",16860,10782,62,10844,11002,62,11064
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","czerwiec 2017",29818,21933,2178,24111,21933,2178,24111
"Gazeta Polska Codziennie","Forum SA","czerwiec 2017",67135,17820,309,18129,17820,316,18136
"Gazeta Pomorska","Polska Press Sp. z o.o.","czerwiec 2017",38607,32813,288,33101,32833,288,33121
"Gazeta Wrocławska","Polska Press Sp. z o.o.","czerwiec 2017",18664,12270,449,12719,12270,449,12719
"Gazeta Współczesna","Polska Press Sp. z o.o.","czerwiec 2017",7360,4847,180,5027,4970,180,5150
"Gazeta Wyborcza","Agora SA","czerwiec 2017",193865,110568,1620,112188,114559,12763,127322
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","czerwiec 2017",22805,16484,356,16840,16616,356,16972
"Głos Wielkopolski","Polska Press Sp. z o.o.","czerwiec 2017",31849,23370,661,24031,23374,661,24035
"Kurier Lubelski","Polska Press Sp. z o.o.","czerwiec 2017",7355,3310,32,3342,3310,32,3342
"Kurier Poranny","Polska Press Sp. z o.o.","czerwiec 2017",6416,4296,26,4322,4456,26,4482
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","czerwiec 2017",15578,9008,72,9080,9953,72,10025
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","czerwiec 2017",16288,10339,174,10513,11660,174,11834
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","czerwiec 2017",13195,9872,219,10091,9873,219,10092
"Parkiet Gazeta Giełdy","Gremi Media S.A.","czerwiec 2017",10212,2091,1664,3755,2119,1964,4083
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","czerwiec 2017",9077,2623,124,2747,2623,124,2747
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2017",54730,25753,348,26101,25753,348,26101
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","czerwiec 2017",12561,6480,3221,9701,8996,3221,12217
Rzeczpospolita,"Gremi Media S.A.","czerwiec 2017",74813,37487,11385,48872,37514,11385,48899
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2017",9880,4863,14,4877,4863,14,4877
"Super Express","ZPR Media SA","czerwiec 2017",231499,128209,0,128209,128929,0,128929
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","czerwiec 2017",13247,6696,0,6696,6696,0,6696
"Sumy dla: wszystkich tytułów",,,38796146,23296016,825382,24121398,23626824,1195442,24822266
"Średnie dla: wszystkich tytułów",,,48254,28975,1027,30002,29387,1487,30873
