Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","grudzień 2015",32633,23063,638,23701,23099,638,23737
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","grudzień 2015",55313,34027,10362,44389,38066,14341,52407
"Dziennik Łódzki","Polska Press Sp. z o.o.","grudzień 2015",35120,22687,195,22882,24687,195,24882
"Dziennik Polski","Polska Press Sp. z o.o.","grudzień 2015",26945,18306,108,18414,18558,108,18666
"Dziennik Wschodni","Corner Media Sp. z o.o.","grudzień 2015",10179,6334,0,6334,6338,0,6338
"Dziennik Zachodni","Polska Press Sp. z o.o.","grudzień 2015",59950,41912,207,42119,42063,207,42270
"Echo Dnia","Polska Press Sp. z o.o.","grudzień 2015",27937,18599,2739,21338,20241,3114,23355
"Express Bydgoski","""Express Media"" Sp. z o.o.","grudzień 2015",15549,11087,121,11208,11110,121,11231
"Express Ilustrowany","Polska Press Sp. z o.o.","grudzień 2015",40182,28697,344,29041,30697,344,31041
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2015",423418,303135,203,303338,303135,203,303338
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","grudzień 2015",22083,15830,473,16303,15843,473,16316
"Gazeta Krakowska","Polska Press Sp. z o.o.","grudzień 2015",24018,16362,122,16484,16383,122,16505
"Gazeta Lubuska","Polska Press Sp. z o.o.","grudzień 2015",24155,19389,219,19608,19397,219,19616
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","grudzień 2015",21757,14015,88,14103,14229,88,14317
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","grudzień 2015",34042,24749,1903,26652,24749,1903,26652
"Gazeta Polska Codziennie","Forum SA","grudzień 2015",57282,20603,279,20882,20603,306,20909
"Gazeta Pomorska","Polska Press Sp. z o.o.","grudzień 2015",45660,39752,276,40028,39992,382,40374
"Gazeta Wrocławska","Polska Press Sp. z o.o.","grudzień 2015",23068,15783,322,16105,15891,322,16213
"Gazeta Współczesna","Polska Press Sp. z o.o.","grudzień 2015",8654,5991,168,6159,5994,168,6162
"Gazeta Wyborcza","Agora SA","grudzień 2015",245545,158294,2056,160350,163439,16527,179966
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","grudzień 2015",29392,21833,306,22139,22013,306,22319
"Głos Wielkopolski","Polska Press Sp. z o.o.","grudzień 2015",38395,29110,486,29596,29114,486,29600
"Kurier Lubelski","Polska Press Sp. z o.o.","grudzień 2015",7857,4262,59,4321,4262,59,4321
"Kurier Poranny","Polska Press Sp. z o.o.","grudzień 2015",7176,5129,46,5175,5170,46,5216
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","grudzień 2015",18157,10622,87,10709,11697,87,11784
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","grudzień 2015",20252,13892,190,14082,15488,190,15678
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","grudzień 2015",16643,12737,144,12881,12776,144,12920
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","grudzień 2015",8657,2745,2325,5070,3065,2625,5690
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","grudzień 2015",10311,3400,89,3489,3864,89,3953
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2015",54859,26561,353,26914,26561,353,26914
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","grudzień 2015",14043,7616,2884,10500,10200,2884,13084
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","grudzień 2015",63965,44799,10336,55135,45103,10336,55439
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","grudzień 2015",10244,4991,20,5011,4991,20,5011
"Super Express","ZPR Media SA","grudzień 2015",244601,143818,0,143818,144538,0,144538
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","grudzień 2015",13540,8058,0,8058,8058,0,8058
"Sumy dla: wszystkich tytułów",,,43506810,28649004,864165,29513169,29192948,1329024,30521972
"Średnie dla: wszystkich tytułów",,,53580,35282,1064,36346,35952,1637,37589
