Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","listopad 2016",26420,18592,524,19116,18642,524,19166
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","listopad 2016",54149,31878,10702,42580,37507,14378,51885
"Dziennik Łódzki","Polska Press Sp. z o.o.","listopad 2016",26534,18706,229,18935,18706,229,18935
"Dziennik Polski","Polska Press Sp. z o.o.","listopad 2016",23527,15514,361,15875,15676,361,16037
"Dziennik Wschodni","Corner Media Sp. z o.o.","listopad 2016",9123,5415,0,5415,5423,0,5423
"Dziennik Zachodni","Polska Press Sp. z o.o.","listopad 2016",48313,31607,576,32183,31607,576,32183
"Echo Dnia","Polska Press Sp. z o.o.","listopad 2016",24334,15560,1020,16580,17017,1411,18428
"Express Bydgoski","Polska Press Sp. z o.o.","listopad 2016",12986,9353,187,9540,9357,187,9544
"Express Ilustrowany","Polska Press Sp. z o.o.","listopad 2016",30539,22914,200,23114,23189,200,23389
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2016",387160,268540,224,268764,268540,224,268764
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","listopad 2016",18162,12487,707,13194,12564,707,13271
"Gazeta Krakowska","Polska Press Sp. z o.o.","listopad 2016",20714,13669,459,14128,13961,459,14420
"Gazeta Lubuska","Polska Press Sp. z o.o.","listopad 2016",21717,16992,371,17363,16999,371,17370
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","listopad 2016",17084,11324,120,11444,11330,120,11450
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","listopad 2016",35379,23050,2089,25139,23050,2089,25139
"Gazeta Polska Codziennie","Forum SA","listopad 2016",67477,18873,305,19178,18873,310,19183
"Gazeta Pomorska","Polska Press Sp. z o.o.","listopad 2016",40296,35137,319,35456,35137,319,35456
"Gazeta Wrocławska","Polska Press Sp. z o.o.","listopad 2016",19293,13499,219,13718,13499,219,13718
"Gazeta Współczesna","Polska Press Sp. z o.o.","listopad 2016",7463,5193,119,5312,5286,119,5405
"Gazeta Wyborcza","Agora SA","listopad 2016",215621,127859,1927,129786,133751,14571,148322
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","listopad 2016",24258,17775,352,18127,17925,352,18277
"Głos Wielkopolski","Polska Press Sp. z o.o.","listopad 2016",33328,25243,872,26115,25247,872,26119
"Kurier Lubelski","Polska Press Sp. z o.o.","listopad 2016",7150,3420,166,3586,3460,166,3626
"Kurier Poranny","Polska Press Sp. z o.o.","listopad 2016",6396,4483,194,4677,4616,194,4810
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","listopad 2016",16860,9130,79,9209,10190,79,10269
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","listopad 2016",17301,11254,370,11624,12876,370,13246
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","listopad 2016",13846,10580,150,10730,10581,150,10731
"Parkiet Gazeta Giełdy","Gremi Media Sp. z o.o.","listopad 2016",6787,2369,1994,4363,2430,2294,4724
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","listopad 2016",9117,2803,81,2884,2803,81,2884
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2016",53958,25815,377,26192,25815,377,26192
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","listopad 2016",12864,6997,2954,9951,9284,2954,12238
Rzeczpospolita,"Gremi Media Sp. z o.o.","listopad 2016",61693,40675,11420,52095,40780,11420,52200
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","listopad 2016",10342,5049,19,5068,5049,19,5068
"Super Express","ZPR Media SA","listopad 2016",227525,132162,0,132162,132886,0,132886
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","listopad 2016",13030,7069,0,7069,7069,0,7069
"Sumy dla: wszystkich tytułów",,,37574059,23727799,855046,24582845,24172309,1248035,25420344
"Średnie dla: wszystkich tytułów",,,48797,30815,1110,31926,31393,1621,33013
