Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","wrzesień 2015",29388,21412,842,22254,21458,842,22300
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","wrzesień 2015",52541,33664,9455,43119,37282,13014,50296
"Dziennik Łódzki","Polska Press Sp. z o.o.","wrzesień 2015",30318,21181,93,21274,21181,93,21274
"Dziennik Polski","Polska Press Sp. z o.o.","wrzesień 2015",25497,17884,259,18143,18055,259,18314
"Dziennik Wschodni","Corner Media Sp. z o.o.","wrzesień 2015",9135,5784,0,5784,5807,0,5807
"Dziennik Zachodni","Polska Press Sp. z o.o.","wrzesień 2015",51117,35690,423,36113,35919,423,36342
"Echo Dnia","Polska Press Sp. z o.o.","wrzesień 2015",25103,17050,395,17445,18358,742,19100
"Express Bydgoski","""Express Media"" Sp. z o.o.","wrzesień 2015",14521,10515,99,10614,10533,99,10632
"Express Ilustrowany","Polska Press Sp. z o.o.","wrzesień 2015",34688,26170,30,26200,26170,30,26200
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2015",424271,297790,200,297990,297790,200,297990
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","wrzesień 2015",20203,14604,153,14757,14611,153,14764
"Gazeta Krakowska","Polska Press Sp. z o.o.","wrzesień 2015",22432,15353,264,15617,15646,264,15910
"Gazeta Lubuska","Polska Press Sp. z o.o.","wrzesień 2015",23285,18843,309,19152,18851,309,19160
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","wrzesień 2015",19271,12904,72,12976,13012,72,13084
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","wrzesień 2015",37473,24213,1828,26041,24213,1828,26041
"Gazeta Polska Codziennie","Forum SA","wrzesień 2015",57477,18568,118,18686,18568,275,18843
"Gazeta Pomorska","Polska Press Sp. z o.o.","wrzesień 2015",45687,38514,333,38847,40612,333,40945
"Gazeta Wrocławska","Polska Press Sp. z o.o.","wrzesień 2015",22444,15290,192,15482,15409,192,15601
"Gazeta Współczesna","Polska Press Sp. z o.o.","wrzesień 2015",7721,5627,79,5706,5676,79,5755
"Gazeta Wyborcza","Agora SA","wrzesień 2015",236291,147286,2130,149416,153727,16652,170379
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","wrzesień 2015",30242,20694,242,20936,24354,242,24596
"Głos Wielkopolski","Polska Press Sp. z o.o.","wrzesień 2015",36194,27682,321,28003,27686,321,28007
"Kurier Lubelski","Polska Press Sp. z o.o.","wrzesień 2015",7295,3907,194,4101,3907,194,4101
"Kurier Poranny","Polska Press Sp. z o.o.","wrzesień 2015",6647,4941,80,5021,5054,80,5134
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","wrzesień 2015",18489,10195,123,10318,11928,123,12051
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","wrzesień 2015",19465,13506,169,13675,15366,169,15535
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","wrzesień 2015",15814,12122,109,12231,12125,109,12234
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","wrzesień 2015",10489,2742,1843,4585,3118,2143,5261
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","wrzesień 2015",11041,3392,88,3480,3915,88,4003
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2015",65921,31253,381,31634,31253,381,31634
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","wrzesień 2015",13023,7721,2990,10711,9100,2990,12090
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","wrzesień 2015",63073,45523,9648,55171,45857,9648,55505
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2015",11594,5666,21,5687,5666,21,5687
"Super Express","ZPR Media SA","wrzesień 2015",241676,137463,0,137463,138183,0,138183
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","wrzesień 2015",12940,7426,0,7426,7426,0,7426
"Sumy dla: wszystkich tytułów",,,44106688,28574584,783774,29358358,29193748,1260548,30454296
"Średnie dla: wszystkich tytułów",,,52633,34099,935,35034,34837,1504,36342
