Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","lipiec 2016",31517,20920,891,21811,20966,891,21857
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","lipiec 2016",50226,29796,10479,40275,33473,14166,47639
"Dziennik Łódzki","Polska Press Sp. z o.o.","lipiec 2016",27665,18477,36,18513,18862,36,18898
"Dziennik Polski","Polska Press Sp. z o.o.","lipiec 2016",23790,16135,128,16263,16265,128,16393
"Dziennik Wschodni","Corner Media Sp. z o.o.","lipiec 2016",10057,5668,0,5668,5679,0,5679
"Dziennik Zachodni","Polska Press Sp. z o.o.","lipiec 2016",52546,33472,261,33733,33472,261,33733
"Echo Dnia","Polska Press Sp. z o.o.","lipiec 2016",21519,15094,308,15402,15687,654,16341
"Express Bydgoski","Polska Press Sp. z o.o.","lipiec 2016",14571,9797,143,9940,9811,143,9954
"Express Ilustrowany","Polska Press Sp. z o.o.","lipiec 2016",32909,23559,13,23572,23559,13,23572
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2016",409225,266148,215,266363,266148,215,266363
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","lipiec 2016",19038,13473,135,13608,13487,135,13622
"Gazeta Krakowska","Polska Press Sp. z o.o.","lipiec 2016",21776,14584,76,14660,14621,76,14697
"Gazeta Lubuska","Polska Press Sp. z o.o.","lipiec 2016",23192,17570,205,17775,17579,205,17784
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","lipiec 2016",19544,12184,96,12280,12440,96,12536
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","lipiec 2016",31238,22469,1793,24262,22469,1793,24262
"Gazeta Polska Codziennie","Forum SA","lipiec 2016",60857,18847,305,19152,18847,312,19159
"Gazeta Pomorska","Polska Press Sp. z o.o.","lipiec 2016",42069,35861,302,36163,35899,327,36226
"Gazeta Wrocławska","Polska Press Sp. z o.o.","lipiec 2016",21131,13513,222,13735,13551,222,13773
"Gazeta Współczesna","Polska Press Sp. z o.o.","lipiec 2016",8121,5413,16,5429,5526,16,5542
"Gazeta Wyborcza","Agora SA","lipiec 2016",234182,140312,1870,142182,145375,15512,160887
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","lipiec 2016",25992,19215,137,19352,19340,137,19477
"Głos Wielkopolski","Polska Press Sp. z o.o.","lipiec 2016",33863,25650,265,25915,25654,265,25919
"Kurier Lubelski","Polska Press Sp. z o.o.","lipiec 2016",7467,3583,57,3640,3583,57,3640
"Kurier Poranny","Polska Press Sp. z o.o.","lipiec 2016",6905,4788,24,4812,4850,24,4874
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","lipiec 2016",19456,9902,42,9944,11136,42,11178
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","lipiec 2016",16365,11554,106,11660,12197,106,12303
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","lipiec 2016",14999,10969,110,11079,10969,110,11079
"Parkiet Gazeta Giełdy","Gremi Media Sp. z o.o.","lipiec 2016",7082,2668,1965,4633,2721,2265,4986
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","lipiec 2016",9200,2817,72,2889,2817,72,2889
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2016",64579,30959,381,31340,30959,381,31340
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","lipiec 2016",11412,7136,2971,10107,7680,2971,10651
Rzeczpospolita,"Gremi Media Sp. z o.o.","lipiec 2016",66623,42961,11056,54017,43059,11056,54115
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","lipiec 2016",10500,4983,23,5006,4983,23,5006
"Super Express","ZPR Media SA","lipiec 2016",240891,136316,0,136316,137036,0,137036
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","lipiec 2016",13857,7584,0,7584,7584,0,7584
"Sumy dla: wszystkich tytułów",,,42862085,26524756,800160,27324916,26858063,1249907,28107970
"Średnie dla: wszystkich tytułów",,,51641,31958,964,32922,32359,1506,33865
