Tytu?,Wydawca,Okres,?redni nak?ad jednorazowy,Sprzeda? wyda? drukowanych,Sprzeda? e-wyda?,Sprzeda? wyda? ogó?em (E+F),Rozpowszechnianie wyda? drukowanych,Rozpowszechnianie e-wyda?,Rozpowszechnianie p?atne razem (H+I)
Dziennik Ba?tycki,Polska Press Sp. z o.o.,marzec 2019,20120,13573,734,14307,13573,734,14307
Dziennik Gazeta Prawna,Infor Biznes Sp. z o.o.,marzec 2019,46661,25365,11051,36417,25985,11051,37037
Dziennik ?ódzki,Polska Press Sp. z o.o.,marzec 2019,20481,12829,199,13027,12928,199,13126
Dziennik Polski,Polska Press Sp. z o.o.,marzec 2019,18487,11160,347,11507,11172,347,11518
Dziennik Wschodni,Corner Media Sp. z o.o.,marzec 2019,8621,4326,29,4355,4400,29,4429
Dziennik Zachodni,Polska Press Sp. z o.o.,marzec 2019,33712,21357,576,21932,21357,576,21932
Echo Dnia,Polska Press Sp. z o.o.,marzec 2019,17811,10896,595,11491,11673,888,12560
Express Bydgoski,Polska Press Sp. z o.o.,marzec 2019,10045,6784,28,6812,6784,28,6812
Express Ilustrowany,Polska Press Sp. z o.o.,marzec 2019,23169,16037,377,16414,16040,377,16417
Fakt Gazeta Codzienna,Ringier Axel Springer Polska Sp. z o.o.,marzec 2019,349207,222828,175,223003,222828,175,223003
Gazeta Codzienna Nowiny,Polska Press Sp. z o.o.,marzec 2019,16494,10385,289,10674,10395,289,10684
Gazeta Krakowska,Polska Press Sp. z o.o.,marzec 2019,18275,10451,187,10637,10451,187,10637
Gazeta Lubuska,Polska Press Sp. z o.o.,marzec 2019,16430,12350,382,12732,12358,382,12740
Gazeta Olszty?ska / Dziennik Elbl?ski,Grupa WM Sp. z o.o. ,marzec 2019,10446,6661,745,7406,6663,745,7408
Gazeta Podatkowa,"Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.",marzec 2019,26966,20115,2783,22898,20115,2783,22898
Gazeta Polska Codziennie,Forum SA,marzec 2019,51575,13161,265,13426,13161,342,13503
Gazeta Pomorska,Polska Press Sp. z o.o.,marzec 2019,31789,26439,717,27156,26439,717,27156
Gazeta Wroc?awska,Polska Press Sp. z o.o.,marzec 2019,14490,9101,556,9657,9101,556,9657
Gazeta Wspó?czesna,Polska Press Sp. z o.o.,marzec 2019,5831,3903,355,4258,3906,355,4261
Gazeta Wyborcza,Agora SA,marzec 2019,154266,88735,1627,90361,91727,10118,101844
G?os - Dziennik Pomorza,Polska Press Sp. z o.o.,marzec 2019,18853,12921,581,13502,13040,581,13621
G?os Wielkopolski,Polska Press Sp. z o.o.,marzec 2019,26016,18914,1051,19965,18918,1051,19969
Kurier Lubelski,Polska Press Sp. z o.o.,marzec 2019,5594,2598,633,3231,2598,633,3231
Kurier Poranny,Polska Press Sp. z o.o.,marzec 2019,5182,3412,25,3437,3439,25,3464
Kurier Szczeci?ski,"""Kurier Szczeci?ski"" Sp. z o.o.",marzec 2019,14190,7168,78,7247,7483,78,7562
Nowa Trybuna Opolska,"""Pro Media"" Sp. z o.o.",marzec 2019,12651,8189,220,8409,9183,220,9403
Nowo?ci - Dziennik Toru?ski,Polska Press Sp. z o.o.,marzec 2019,10306,7766,41,7807,7766,41,7807
Parkiet Gazeta Gie?dy,Gremi Media SA,marzec 2019,6056,1966,1973,3939,1991,2273,4264
Polska Metropolia Warszawska,Polska Press Sp. z o.o.,marzec 2019,7516,2291,689,2980,2291,689,2980
Przegl?d Sportowy,Ringier Axel Springer Polska Sp. z o.o.,marzec 2019,52669,21454,313,21767,21454,313,21767
Puls Biznesu,"""Bonnier Business (Polska)"" Sp. z o.o.",marzec 2019,8892,5418,3925,9342,6443,3925,10367
Rzeczpospolita,Gremi Media SA,marzec 2019,54233,30446,11285,41731,30488,11285,41773
Sport,WHIZZ S.A.,marzec 2019,9785,4452,30,4482,4452,30,4482
Super Express,TIME SA,marzec 2019,197357,117676,139,117815,118396,139,118535
Super Nowo?ci,Wydawnictwo Prasowe Super Nowo?ci Sp. z.o.o.,marzec 2019,12443,5565,0,5565,5565,0,5565
Sumy dla: wszystkich tytu?ów,,,33519394,19972275,974268,20946460,20166551,1212454,21378870
?rednie dla: wszystkich tytu?ów,,,40385,24063,1174,25237,24297,1461,25758
