Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","październik 2016",26008,18451,939,19390,18497,939,19436
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","październik 2016",51966,31880,10659,42539,35477,14332,49809
"Dziennik Łódzki","Polska Press Sp. z o.o.","październik 2016",25566,18061,230,18291,18061,230,18291
"Dziennik Polski","Polska Press Sp. z o.o.","październik 2016",23558,15887,326,16213,16021,326,16347
"Dziennik Wschodni","Corner Media Sp. z o.o.","październik 2016",9089,5447,0,5447,5454,0,5454
"Dziennik Zachodni","Polska Press Sp. z o.o.","październik 2016",47860,30718,298,31016,30718,298,31016
"Echo Dnia","Polska Press Sp. z o.o.","październik 2016",23829,15438,878,16316,16506,1224,17730
"Express Bydgoski","Polska Press Sp. z o.o.","październik 2016",13002,9311,201,9512,9315,201,9516
"Express Ilustrowany","Polska Press Sp. z o.o.","październik 2016",30241,22585,184,22769,22585,184,22769
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2016",392272,266719,221,266940,266719,221,266940
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","październik 2016",18311,13112,215,13327,13123,215,13338
"Gazeta Krakowska","Polska Press Sp. z o.o.","październik 2016",20914,14000,234,14234,14178,234,14412
"Gazeta Lubuska","Polska Press Sp. z o.o.","październik 2016",22603,17780,336,18116,17788,336,18124
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","październik 2016",16741,11173,122,11295,11316,122,11438
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","październik 2016",33051,22857,1917,24774,22857,1917,24774
"Gazeta Polska Codziennie","Forum SA","październik 2016",70086,19604,285,19889,19604,294,19898
"Gazeta Pomorska","Polska Press Sp. z o.o.","październik 2016",39455,34798,379,35177,34817,379,35196
"Gazeta Wrocławska","Polska Press Sp. z o.o.","październik 2016",19083,13382,280,13662,13440,280,13720
"Gazeta Współczesna","Polska Press Sp. z o.o.","październik 2016",7405,5148,15,5163,5241,15,5256
"Gazeta Wyborcza","Agora SA","październik 2016",225597,133328,1949,135277,138229,14859,153088
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","październik 2016",23987,17897,496,18393,18057,496,18553
"Głos Wielkopolski","Polska Press Sp. z o.o.","październik 2016",33169,25301,253,25554,25305,253,25558
"Kurier Lubelski","Polska Press Sp. z o.o.","październik 2016",7029,3380,61,3441,3418,61,3479
"Kurier Poranny","Polska Press Sp. z o.o.","październik 2016",6230,4471,102,4573,4504,102,4606
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","październik 2016",16608,9177,71,9248,10208,71,10279
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","październik 2016",17382,11434,823,12257,13201,823,14024
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","październik 2016",13964,10631,175,10806,10632,175,10807
"Parkiet Gazeta Giełdy","Gremi Media S.A.","październik 2016",6775,2379,1993,4372,2442,2293,4735
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","październik 2016",8698,2710,80,2790,2710,80,2790
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2016",55454,26827,386,27213,26827,386,27213
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","październik 2016",12996,7000,2966,9966,9351,2966,12317
Rzeczpospolita,"Gremi Media S.A.","październik 2016",61806,40965,11174,52139,41071,11174,52245
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","październik 2016",10808,5299,21,5320,5299,21,5320
"Super Express","ZPR Media SA","październik 2016",230387,135685,0,135685,136405,0,136405
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","październik 2016",12783,7026,0,7026,7026,0,7026
"Sumy dla: wszystkich tytułów",,,41067724,25901542,887634,26789176,26293452,1317457,27610909
"Średnie dla: wszystkich tytułów",,,49479,31207,1069,32276,31679,1587,33266
