Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","kwiecień 2016",31405,21793,376,22169,21864,376,22240
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","kwiecień 2016",53493,33138,10593,43731,36986,14296,51282
"Dziennik Łódzki","Polska Press Sp. z o.o.","kwiecień 2016",29569,20886,663,21549,20894,663,21557
"Dziennik Polski","Polska Press Sp. z o.o.","kwiecień 2016",25646,17433,151,17584,17637,151,17788
"Dziennik Wschodni","Corner Media Sp. z o.o.","kwiecień 2016",10420,6491,0,6491,6496,0,6496
"Dziennik Zachodni","Polska Press Sp. z o.o.","kwiecień 2016",54053,36389,428,36817,36619,428,37047
"Echo Dnia","Polska Press Sp. z o.o.","kwiecień 2016",26762,17435,1637,19072,18635,1983,20618
"Express Bydgoski","""Express Media"" Sp. z o.o.","kwiecień 2016",14774,10604,166,10770,10622,166,10788
"Express Ilustrowany","Polska Press Sp. z o.o.","kwiecień 2016",36096,26185,63,26248,26570,63,26633
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2016",420044,283167,214,283381,283167,214,283381
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","kwiecień 2016",21440,15506,296,15802,15533,296,15829
"Gazeta Krakowska","Polska Press Sp. z o.o.","kwiecień 2016",22135,15126,166,15292,15155,166,15321
"Gazeta Lubuska","Polska Press Sp. z o.o.","kwiecień 2016",23716,18636,276,18912,18646,276,18922
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","kwiecień 2016",20189,13070,119,13189,13099,119,13218
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","kwiecień 2016",32001,23119,1830,24949,23119,1830,24949
"Gazeta Polska Codziennie","Forum SA","kwiecień 2016",57384,20219,312,20531,20219,324,20543
"Gazeta Pomorska","Polska Press Sp. z o.o.","kwiecień 2016",44450,38230,419,38649,38505,525,39030
"Gazeta Wrocławska","Polska Press Sp. z o.o.","kwiecień 2016",21870,14806,192,14998,14944,192,15136
"Gazeta Współczesna","Polska Press Sp. z o.o.","kwiecień 2016",7853,5623,91,5714,5629,91,5720
"Gazeta Wyborcza","Agora SA","kwiecień 2016",243392,150302,1980,152282,155688,14867,170555
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","kwiecień 2016",27390,20305,555,20860,20468,555,21023
"Głos Wielkopolski","Polska Press Sp. z o.o.","kwiecień 2016",36463,27778,249,28027,27782,249,28031
"Kurier Lubelski","Polska Press Sp. z o.o.","kwiecień 2016",7989,3993,93,4086,4494,93,4587
"Kurier Poranny","Polska Press Sp. z o.o.","kwiecień 2016",6956,4920,148,5068,5186,148,5334
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","kwiecień 2016",19187,10558,79,10637,11676,79,11755
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","kwiecień 2016",18563,12445,196,12641,13993,196,14189
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","kwiecień 2016",15372,11783,164,11947,11784,164,11948
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","kwiecień 2016",7296,2749,1976,4725,2800,2276,5076
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","kwiecień 2016",9496,3129,76,3205,3129,76,3205
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2016",54450,26550,360,26910,26550,360,26910
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","kwiecień 2016",13313,7228,2979,10207,9597,2979,12576
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","kwiecień 2016",63488,43811,10993,54804,43909,10993,54902
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","kwiecień 2016",10508,5201,18,5219,5201,18,5219
"Super Express","ZPR Media SA","kwiecień 2016",240290,145341,0,145341,146061,0,146061
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","kwiecień 2016",13767,8133,0,8133,8133,0,8133
"Sumy dla: wszystkich tytułów",,,43762180,28226847,878681,29105528,28672555,1311370,29983925
"Średnie dla: wszystkich tytułów",,,52726,34008,1059,35067,34545,1580,36125
