tytul;wydawca;date;naklad
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-11-01;16346
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-11-01;19655
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-11-01;13552
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-11-01;26255
Gazeta Polska Codziennie;Forum SA;2015-11-01;19975
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-11-01;40232
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-11-01;15939
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-11-01;5890
Gazeta Wyborcza;Agora SA;2015-11-01;177980
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-11-01;21866
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-11-01;28897
Kurier Lubelski;Polska Press Sp. z o.o.;2015-11-01;4163
Kurier Poranny;Polska Press Sp. z o.o.;2015-11-01;5571
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-11-01;11549
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-11-01;15443
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-11-01;12306
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-11-01;5739
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-11-01;3933
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-11-01;28722
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-11-01;13182
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-11-01;55948
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-11-01;5688
Super Express;ZPR Media SA;2015-11-01;141778
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-11-01;7930
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-12-01;23737
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-12-01;52407
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-12-01;24882
Dziennik Polski;Polska Press Sp. z o.o.;2015-12-01;18666
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-12-01;6338
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-12-01;42270
Echo Dnia;Polska Press Sp. z o.o.;2015-12-01;23355
Express Bydgoski;"Express Media" Sp. z o.o.;2015-12-01;11231
Express Ilustrowany;Polska Press Sp. z o.o.;2015-12-01;31041
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-12-01;303338
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-12-01;16316
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-12-01;16505
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-12-01;19616
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-12-01;14317
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-12-01;26652
Gazeta Polska Codziennie;Forum SA;2015-12-01;20909
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-12-01;40374
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-12-01;16213
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-12-01;6162
Gazeta Wyborcza;Agora SA;2015-12-01;179966
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-12-01;22319
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-12-01;29600
Kurier Lubelski;Polska Press Sp. z o.o.;2015-12-01;4321
Kurier Poranny;Polska Press Sp. z o.o.;2015-12-01;5216
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-12-01;11784
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-12-01;15678
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-12-01;12920
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-12-01;5690
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-12-01;3953
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-12-01;26914
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-12-01;13084
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-12-01;55439
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-12-01;5011
Super Express;ZPR Media SA;2015-12-01;144538
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-12-01;8058
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-01-01;22259
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-01-01;60855
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-01-01;21870
Dziennik Polski;Polska Press Sp. z o.o.;2016-01-01;17542
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-01-01;6361
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-01-01;36384
Echo Dnia;Polska Press Sp. z o.o.;2016-01-01;19971
Express Bydgoski;"Express Media" Sp. z o.o.;2016-01-01;10881
Express Ilustrowany;Polska Press Sp. z o.o.;2016-01-01;27133
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-01-01;314918
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-01-01;15800
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-01-01;15514
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-01-01;19720
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-01-01;13883
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-01-01;24878
Gazeta Polska Codziennie;Forum SA;2016-01-01;21920
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-01-01;39501
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-01-01;15346
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-01-01;5778
Gazeta Wyborcza;Agora SA;2016-01-01;174102
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-01-01;21377
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-01-01;28428
Kurier Lubelski;Polska Press Sp. z o.o.;2016-01-01;3911
Kurier Poranny;Polska Press Sp. z o.o.;2016-01-01;4970
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-01-01;11243
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-01-01;14605
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2016-01-01;12107
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2016-01-01;5238
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-01-01;3621
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-01-01;27551
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-01-01;12483
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2016-01-01;60169
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-01-01;4753
Super Express;ZPR Media SA;2016-01-01;152726
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-01-01;8136
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-02-01;20955
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-02-01;52124
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-02-01;20975
Dziennik Polski;Polska Press Sp. z o.o.;2016-02-01;17340
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-02-01;6233
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-02-01;35105
Echo Dnia;Polska Press Sp. z o.o.;2016-02-01;18381
Express Bydgoski;"Express Media" Sp. z o.o.;2016-02-01;10392
Express Ilustrowany;Polska Press Sp. z o.o.;2016-02-01;25221
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-02-01;308457
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-02-01;14884
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-02-01;15628
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-02-01;18334
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-02-01;13698
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-02-01;25728
Gazeta Polska Codziennie;Forum SA;2016-02-01;21497
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-02-01;39052
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-02-01;15113
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-02-01;5626
Gazeta Wyborcza;Agora SA;2016-02-01;172598
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-02-01;20955
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-02-01;27658
Kurier Lubelski;Polska Press Sp. z o.o.;2016-02-01;4132
Kurier Poranny;Polska Press Sp. z o.o.;2016-02-01;4926
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-02-01;10886
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-02-01;14080
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2016-02-01;11761
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2016-02-01;4778
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-02-01;3217
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-02-01;28775
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-02-01;12405
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2016-02-01;55214
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-02-01;5224
Super Express;ZPR Media SA;2016-02-01;143938
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-02-01;7750
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-03-01;20567
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-03-01;50713
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-03-01;20623
Dziennik Polski;Polska Press Sp. z o.o.;2016-03-01;17184
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-03-01;5957
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-03-01;34746
Echo Dnia;Polska Press Sp. z o.o.;2016-03-01;18522
Express Bydgoski;"Express Media" Sp. z o.o.;2016-03-01;10385
Express Ilustrowany;Polska Press Sp. z o.o.;2016-03-01;24470
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-03-01;299790
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-03-01;14548
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-03-01;14883
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-03-01;18179
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-03-01;13487
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-03-01;25693
Gazeta Polska Codziennie;Forum SA;2016-03-01;20586
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-03-01;39097
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-03-01;14756
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-03-01;5654
Gazeta Wyborcza;Agora SA;2016-03-01;163088
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-03-01;20390
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-03-01;27327
Kurier Lubelski;Polska Press Sp. z o.o.;2016-03-01;3815
Kurier Poranny;Polska Press Sp. z o.o.;2016-03-01;4764
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-03-01;10812
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-03-01;14422
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2016-03-01;11606
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2016-03-01;4828
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-03-01;3225
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-03-01;26874
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-03-01;12536
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2016-03-01;55466
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-03-01;5058
Super Express;ZPR Media SA;2016-03-01;144111
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-03-01;7528
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-04-01;22240
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-04-01;51282
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-04-01;21557
Dziennik Polski;Polska Press Sp. z o.o.;2016-04-01;17788
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-04-01;6496
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-04-01;37047
Echo Dnia;Polska Press Sp. z o.o.;2016-04-01;20618
Express Bydgoski;"Express Media" Sp. z o.o.;2016-04-01;10788
Express Ilustrowany;Polska Press Sp. z o.o.;2016-04-01;26633
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-04-01;283381
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-04-01;15829
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-04-01;15321
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-04-01;18922
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-04-01;13218
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-04-01;24949
Gazeta Polska Codziennie;Forum SA;2016-04-01;20543
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-04-01;39030
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-04-01;15136
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-04-01;5720
Gazeta Wyborcza;Agora SA;2016-04-01;170555
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-04-01;21023
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-04-01;28031
Kurier Lubelski;Polska Press Sp. z o.o.;2016-04-01;4587
Kurier Poranny;Polska Press Sp. z o.o.;2016-04-01;5334
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-04-01;11755
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-04-01;14189
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2016-04-01;11948
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2016-04-01;5076
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-04-01;3205
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-04-01;26910
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-04-01;12576
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2016-04-01;54902
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-04-01;5219
Super Express;ZPR Media SA;2016-04-01;146061
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-04-01;8133
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-05-01;20730
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-05-01;51100
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-05-01;19924
Dziennik Polski;Polska Press Sp. z o.o.;2016-05-01;17269
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-05-01;6168
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-05-01;35386
Echo Dnia;Polska Press Sp. z o.o.;2016-05-01;19035
Express Bydgoski;"Express Media" Sp. z o.o.;2016-05-01;10177
Express Ilustrowany;Polska Press Sp. z o.o.;2016-05-01;25560
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-05-01;276051
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-05-01;15657
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-05-01;15496
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-05-01;18159
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-05-01;14113
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-05-01;24994
Gazeta Polska Codziennie;Forum SA;2016-05-01;20748
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-05-01;37746
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-05-01;14586
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-05-01;5456
Gazeta Wyborcza;Agora SA;2016-05-01;160029
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-05-01;20042
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-05-01;26541
Kurier Lubelski;Polska Press Sp. z o.o.;2016-05-01;3719
Kurier Poranny;Polska Press Sp. z o.o.;2016-05-01;5211
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-05-01;10914
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-05-01;14348
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2016-05-01;11526
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2016-05-01;5005
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-05-01;2967
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-05-01;27615
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-05-01;12709
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2016-05-01;54241
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-05-01;5509
Super Express;ZPR Media SA;2016-05-01;137015
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-05-01;7228
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-06-01;19294
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-06-01;48437
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-06-01;20589
Dziennik Polski;Polska Press Sp. z o.o.;2016-06-01;16008
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-06-01;5465
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-06-01;32602
Echo Dnia;Polska Press Sp. z o.o.;2016-06-01;16605
Express Bydgoski;Polska Press Sp. z o.o.;2016-06-01;9735
Express Ilustrowany;Polska Press Sp. z o.o.;2016-06-01;23765
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-06-01;270045
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-06-01;13550
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-06-01;13912
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-06-01;17383
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-06-01;11879
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-06-01;25007
Gazeta Polska Codziennie;Forum SA;2016-06-01;19864
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-06-01;36569
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-06-01;13820
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-06-01;5336
Gazeta Wyborcza;Agora SA;2016-06-01;152050
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-06-01;19295
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-06-01;25426
Kurier Lubelski;Polska Press Sp. z o.o.;2016-06-01;3438
Kurier Poranny;Polska Press Sp. z o.o.;2016-06-01;4696
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-06-01;10340
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-06-01;13096
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-06-01;11147
Parkiet Gazeta Giełdy;Gremi Media Sp. z o.o.;2016-06-01;4750
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-06-01;2830
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-06-01;34543
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-06-01;12578
Rzeczpospolita;Gremi Media Sp. z o.o.;2016-06-01;54438
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-06-01;5360
Super Express;ZPR Media SA;2016-06-01;130522
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-06-01;6783
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-07-01;21857
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-07-01;47639
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-07-01;18898
Dziennik Polski;Polska Press Sp. z o.o.;2016-07-01;16393
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-07-01;5679
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-07-01;33733
Echo Dnia;Polska Press Sp. z o.o.;2016-07-01;16341
Express Bydgoski;Polska Press Sp. z o.o.;2016-07-01;9954
Express Ilustrowany;Polska Press Sp. z o.o.;2016-07-01;23572
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-07-01;266363
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-07-01;13622
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-07-01;14697
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-07-01;17784
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-07-01;12536
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-07-01;24262
Gazeta Polska Codziennie;Forum SA;2016-07-01;19159
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-07-01;36226
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-07-01;13773
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-07-01;5542
Gazeta Wyborcza;Agora SA;2016-07-01;160887
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-07-01;19477
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-07-01;25919
Kurier Lubelski;Polska Press Sp. z o.o.;2016-07-01;3640
Kurier Poranny;Polska Press Sp. z o.o.;2016-07-01;4874
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-07-01;11178
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-07-01;12303
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-07-01;11079
Parkiet Gazeta Giełdy;Gremi Media Sp. z o.o.;2016-07-01;4986
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-07-01;2889
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-07-01;31340
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-07-01;10651
Rzeczpospolita;Gremi Media Sp. z o.o.;2016-07-01;54115
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-07-01;5006
Super Express;ZPR Media SA;2016-07-01;137036
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-07-01;7584
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-08-01;19494
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-08-01;45998
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-08-01;18021
Dziennik Polski;Polska Press Sp. z o.o.;2016-08-01;16193
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-08-01;5256
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-08-01;30819
Echo Dnia;Polska Press Sp. z o.o.;2016-08-01;15413
Express Bydgoski;Polska Press Sp. z o.o.;2016-08-01;9435
Express Ilustrowany;Polska Press Sp. z o.o.;2016-08-01;21565
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-08-01;270330
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-08-01;13484
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-08-01;14581
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-08-01;17252
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-08-01;11562
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-08-01;24538
Gazeta Polska Codziennie;Forum SA;2016-08-01;18746
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-08-01;34986
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-08-01;13197
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-08-01;5278
Gazeta Wyborcza;Agora SA;2016-08-01;151077
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-08-01;18529
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-08-01;24653
Kurier Lubelski;Polska Press Sp. z o.o.;2016-08-01;3502
Kurier Poranny;Polska Press Sp. z o.o.;2016-08-01;4599
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2016-08-01;10301
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2016-08-01;11939
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2016-08-01;10851
Parkiet Gazeta Giełdy;Gremi Media Sp. z o.o.;2016-08-01;4705
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2016-08-01;2677
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2016-08-01;34333
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2016-08-01;10539
Rzeczpospolita;Gremi Media Sp. z o.o.;2016-08-01;52775
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2016-08-01;5608
Super Express;ZPR Media SA;2016-08-01;132756
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2016-08-01;6745
Dziennik Bałtycki;Polska Press Sp. z o.o.;2016-09-01;20923
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2016-09-01;49271
Dziennik Łódzki;Polska Press Sp. z o.o.;2016-09-01;19494
Dziennik Polski;Polska Press Sp. z o.o.;2016-09-01;16745
Dziennik Wschodni;Corner Media Sp. z o.o.;2016-09-01;5754
Dziennik Zachodni;Polska Press Sp. z o.o.;2016-09-01;34364
Echo Dnia;Polska Press Sp. z o.o.;2016-09-01;17308
Express Bydgoski;Polska Press Sp. z o.o.;2016-09-01;10196
Express Ilustrowany;Polska Press Sp. z o.o.;2016-09-01;24028
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2016-09-01;279497
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2016-09-01;14201
Gazeta Krakowska;Polska Press Sp. z o.o.;2016-09-01;14608
Gazeta Lubuska;Polska Press Sp. z o.o.;2016-09-01;17323
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2016-09-01;12583
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2016-09-01;24753
Gazeta Polska Codziennie;Forum SA;2016-09-01;18737
Gazeta Pomorska;Polska Press Sp. z o.o.;2016-09-01;36123
Gazeta Wrocławska;Polska Press Sp. z o.o.;2016-09-01;14084
Gazeta Współczesna;Polska Press Sp. z o.o.;2016-09-01;5662
Gazeta Wyborcza;Agora SA;2016-09-01;153890
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2016-09-01;18957
Głos Wielkopolski;Polska Press Sp. z o.o.;2016-09-01;26028
Kurier Lubelski;Polska Press Sp. z o.o.;2016-09-01;3573
Kurier Poranny;Polska Press Sp. z o.o.;2016-09-01;4995
