Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","wrzesień 2016",29952,20281,584,20865,20339,584,20923
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","wrzesień 2016",48758,31363,10664,42027,34922,14349,49271
"Dziennik Łódzki","Polska Press Sp. z o.o.","wrzesień 2016",27261,19076,418,19494,19076,418,19494
"Dziennik Polski","Polska Press Sp. z o.o.","wrzesień 2016",24093,16168,331,16499,16414,331,16745
"Dziennik Wschodni","Corner Media Sp. z o.o.","wrzesień 2016",9555,5718,0,5718,5754,0,5754
"Dziennik Zachodni","Polska Press Sp. z o.o.","wrzesień 2016",51407,34073,291,34364,34073,291,34364
"Echo Dnia","Polska Press Sp. z o.o.","wrzesień 2016",23680,15901,293,16194,16669,639,17308
"Express Bydgoski","Polska Press Sp. z o.o.","wrzesień 2016",14386,9950,156,10106,10040,156,10196
"Express Ilustrowany","Polska Press Sp. z o.o.","wrzesień 2016",32272,23969,59,24028,23969,59,24028
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2016",390879,279277,220,279497,279277,220,279497
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","wrzesień 2016",19481,13871,305,14176,13896,305,14201
"Gazeta Krakowska","Polska Press Sp. z o.o.","wrzesień 2016",21580,14339,223,14562,14385,223,14608
"Gazeta Lubuska","Polska Press Sp. z o.o.","wrzesień 2016",21753,17056,261,17317,17062,261,17323
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","wrzesień 2016",18854,12341,125,12466,12458,125,12583
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","wrzesień 2016",33234,22735,2018,24753,22735,2018,24753
"Gazeta Polska Codziennie","Forum SA","wrzesień 2016",64047,18454,278,18732,18454,283,18737
"Gazeta Pomorska","Polska Press Sp. z o.o.","wrzesień 2016",40984,35794,329,36123,35794,329,36123
"Gazeta Wrocławska","Polska Press Sp. z o.o.","wrzesień 2016",19954,13807,200,14007,13884,200,14084
"Gazeta Współczesna","Polska Press Sp. z o.o.","wrzesień 2016",7902,5436,81,5517,5581,81,5662
"Gazeta Wyborcza","Agora SA","wrzesień 2016",216987,134257,1886,136143,139080,14810,153890
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","wrzesień 2016",25121,18697,114,18811,18843,114,18957
"Głos Wielkopolski","Polska Press Sp. z o.o.","wrzesień 2016",33784,25804,220,26024,25808,220,26028
"Kurier Lubelski","Polska Press Sp. z o.o.","wrzesień 2016",7343,3519,54,3573,3519,54,3573
"Kurier Poranny","Polska Press Sp. z o.o.","wrzesień 2016",6540,4665,228,4893,4767,228,4995
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","wrzesień 2016",18870,9720,60,9780,10950,60,11010
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","wrzesień 2016",17141,11481,246,11727,13012,246,13258
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","wrzesień 2016",14797,11239,136,11375,11240,136,11376
"Parkiet Gazeta Giełdy","Gremi Media S.A.","wrzesień 2016",8634,2377,1976,4353,2426,2276,4702
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","wrzesień 2016",9176,2792,75,2867,2792,75,2867
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2016",57956,27533,367,27900,27533,367,27900
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","wrzesień 2016",11233,7060,2954,10014,7585,2954,10539
Rzeczpospolita,"Gremi Media S.A.","wrzesień 2016",62872,41698,11096,52794,41813,11096,52909
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","wrzesień 2016",10517,5157,19,5176,5157,19,5176
"Super Express","ZPR Media SA","wrzesień 2016",234874,136119,0,136119,136839,0,136839
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","wrzesień 2016",13570,7209,0,7209,7209,0,7209
"Sumy dla: wszystkich tytułów",,,41591644,26744133,849977,27594110,27096539,1283997,28380536
"Średnie dla: wszystkich tytułów",,,49514,31838,1012,32850,32258,1529,33786
