Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","sierpień 2016",28491,19136,312,19448,19182,312,19494
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","sierpień 2016",43745,28387,10500,38887,31830,14168,45998
"Dziennik Łódzki","Polska Press Sp. z o.o.","sierpień 2016",26110,17982,39,18021,17982,39,18021
"Dziennik Polski","Polska Press Sp. z o.o.","sierpień 2016",23340,15944,137,16081,16056,137,16193
"Dziennik Wschodni","Corner Media Sp. z o.o.","sierpień 2016",8727,5252,0,5252,5256,0,5256
"Dziennik Zachodni","Polska Press Sp. z o.o.","sierpień 2016",47410,30418,401,30819,30418,401,30819
"Echo Dnia","Polska Press Sp. z o.o.","sierpień 2016",20374,14400,269,14669,14798,615,15413
"Express Bydgoski","Polska Press Sp. z o.o.","sierpień 2016",13560,9245,180,9425,9255,180,9435
"Express Ilustrowany","Polska Press Sp. z o.o.","sierpień 2016",29486,21553,12,21565,21553,12,21565
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2016",395103,270112,218,270330,270112,218,270330
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","sierpień 2016",18392,13286,187,13473,13297,187,13484
"Gazeta Krakowska","Polska Press Sp. z o.o.","sierpień 2016",20922,14086,391,14477,14190,391,14581
"Gazeta Lubuska","Polska Press Sp. z o.o.","sierpień 2016",22024,17031,213,17244,17039,213,17252
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","sierpień 2016",17532,11358,106,11464,11456,106,11562
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","sierpień 2016",31591,22569,1969,24538,22569,1969,24538
"Gazeta Polska Codziennie","Forum SA","sierpień 2016",62260,18457,284,18741,18457,289,18746
"Gazeta Pomorska","Polska Press Sp. z o.o.","sierpień 2016",39721,34656,330,34986,34656,330,34986
"Gazeta Wrocławska","Polska Press Sp. z o.o.","sierpień 2016",19547,12974,223,13197,12974,223,13197
"Gazeta Współczesna","Polska Press Sp. z o.o.","sierpień 2016",7624,5147,16,5163,5262,16,5278
"Gazeta Wyborcza","Agora SA","sierpień 2016",218621,130895,1871,132766,136349,14728,151077
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","sierpień 2016",24575,18266,132,18398,18397,132,18529
"Głos Wielkopolski","Polska Press Sp. z o.o.","sierpień 2016",32062,24556,93,24649,24560,93,24653
"Kurier Lubelski","Polska Press Sp. z o.o.","sierpień 2016",6891,3401,101,3502,3401,101,3502
"Kurier Poranny","Polska Press Sp. z o.o.","sierpień 2016",6338,4511,49,4560,4550,49,4599
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","sierpień 2016",17483,8986,39,9025,10262,39,10301
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","sierpień 2016",15757,11389,105,11494,11834,105,11939
"Nowości - Dziennik Toruński","Polska Press Sp. z o.o.","sierpień 2016",14339,10679,172,10851,10679,172,10851
"Parkiet Gazeta Giełdy","Gremi Media Sp. z o.o.","sierpień 2016",6727,2381,1970,4351,2435,2270,4705
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","sierpień 2016",8750,2603,74,2677,2603,74,2677
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2016",65292,33944,389,34333,33944,389,34333
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","sierpień 2016",11294,7078,2950,10028,7589,2950,10539
Rzeczpospolita,"Gremi Media Sp. z o.o.","sierpień 2016",62555,41601,11081,52682,41694,11081,52775
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","sierpień 2016",10944,5585,23,5608,5585,23,5608
"Super Express","ZPR Media SA","sierpień 2016",230719,132036,0,132036,132756,0,132756
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","sierpień 2016",12577,6745,0,6745,6745,0,6745
"Sumy dla: wszystkich tytułów",,,40924877,25933778,815637,26749415,26252158,1247541,27499699
"Średnie dla: wszystkich tytułów",,,48720,30874,971,31845,31253,1485,32738
