Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","czerwiec 2015",32553,23327,268,23595,23375,268,23643
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","czerwiec 2015",54818,33907,9320,43227,38171,13118,51289
"Dziennik Łódzki","Polska Press Sp. z o.o.","czerwiec 2015",31545,21425,56,21481,21425,56,21481
"Dziennik Polski","Polska Press Sp. z o.o.","czerwiec 2015",26155,18143,182,18325,18679,182,18861
"Dziennik Wschodni","Corner Media Sp. z o.o.","czerwiec 2015",9761,6174,0,6174,6174,0,6174
"Dziennik Zachodni","Polska Press Sp. z o.o.","czerwiec 2015",55151,36676,114,36790,36866,114,36980
"Echo Dnia","Polska Press Sp. z o.o.","czerwiec 2015",26515,17811,787,18598,19198,963,20161
"Express Bydgoski","""Express Media"" Sp. z o.o.","czerwiec 2015",16118,10319,147,10466,10732,147,10879
"Express Ilustrowany","Polska Press Sp. z o.o.","czerwiec 2015",37516,28129,25,28154,28129,25,28154
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2015",423936,292936,224,293160,292936,224,293160
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","czerwiec 2015",22273,15714,186,15900,15722,186,15908
"Gazeta Krakowska","Polska Press Sp. z o.o.","czerwiec 2015",23183,16164,193,16357,16223,193,16416
"Gazeta Lubuska","Polska Press Sp. z o.o.","czerwiec 2015",24403,19598,269,19867,19604,269,19873
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","czerwiec 2015",20681,13536,76,13612,13837,76,13913
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","czerwiec 2015",35929,24524,1848,26372,24524,1848,26372
"Gazeta Polska Codziennie","Forum SA","czerwiec 2015",57460,19202,301,19503,19202,313,19515
"Gazeta Pomorska","Polska Press Sp. z o.o.","czerwiec 2015",46528,40519,274,40793,40552,336,40888
"Gazeta Wrocławska","Polska Press Sp. z o.o.","czerwiec 2015",23889,15611,197,15808,15785,197,15982
"Gazeta Współczesna","Polska Press Sp. z o.o.","czerwiec 2015",8160,5920,99,6019,6092,622,6714
"Gazeta Wyborcza","Agora SA","czerwiec 2015",239860,152042,2254,154296,157263,17229,174492
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","czerwiec 2015",28049,21536,612,22148,21716,612,22328
"Głos Wielkopolski","Polska Press Sp. z o.o.","czerwiec 2015",38305,28926,229,29155,28930,229,29159
"Kurier Lubelski","Polska Press Sp. z o.o.","czerwiec 2015",7398,3949,132,4081,3949,132,4081
"Kurier Poranny","Polska Press Sp. z o.o.","czerwiec 2015",6881,5059,34,5093,5346,441,5787
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","czerwiec 2015",19819,10539,51,10590,12663,51,12714
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","czerwiec 2015",19854,13917,214,14131,15204,447,15651
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","czerwiec 2015",17332,12445,139,12584,12805,139,12944
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","czerwiec 2015",10422,2995,1848,4843,3209,2148,5357
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","czerwiec 2015",10383,3605,160,3765,3627,160,3787
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2015",60720,30591,361,30952,30591,361,30952
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","czerwiec 2015",15207,7838,2664,10502,11353,2664,14017
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","czerwiec 2015",64465,46370,9532,55902,47639,9532,57171
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","czerwiec 2015",11094,5693,21,5714,5693,21,5714
"Super Express","ZPR Media SA","czerwiec 2015",251896,139494,0,139494,140214,0,140214
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","czerwiec 2015",14657,7620,0,7620,7620,0,7620
"Sumy dla: wszystkich tytułów",,,43430805,27961568,735689,28697257,28486071,1228927,29714998
"Średnie dla: wszystkich tytułów",,,53884,34692,913,35605,35343,1525,36867
