Tytuł,Wydawca,Okres,"Średni nakład jednorazowy","Sprzedaż wydań drukowanych","Sprzedaż e-wydań","Sprzedaż ogółem (E+F)","Rozpowszechnianie wydań drukowanych","Rozpowszechnianie e-wydań","Rozpowszechnianie płatne razem (H+I)"
"Dziennik Bałtycki","Polska Press Sp. z o.o.","marzec 2015",31033,23455,230,23685,23501,230,23731
"Dziennik Gazeta Prawna","Infor Biznes Sp. z o.o.","marzec 2015",59823,36688,9059,45747,42763,12847,55610
"Dziennik Łódzki","Polska Press Sp. z o.o.","marzec 2015",32223,22758,162,22920,22758,162,22920
"Dziennik Polski","Polska Press Sp. z o.o.","marzec 2015",26414,18696,162,18858,18818,162,18980
"Dziennik Wschodni","Corner Media Sp. z o.o.","marzec 2015",9790,6423,0,6423,6423,0,6423
"Dziennik Zachodni","Polska Press Sp. z o.o.","marzec 2015",55767,38821,202,39023,39357,202,39559
"Echo Dnia","Polska Press Sp. z o.o.","marzec 2015",26919,18825,599,19424,19826,791,20617
"Express Bydgoski","""Express Media"" Sp. z o.o.","marzec 2015",17256,10863,121,10984,11307,121,11428
"Express Ilustrowany","Polska Press Sp. z o.o.","marzec 2015",35675,27667,72,27739,27667,72,27739
"Fakt Gazeta Codzienna","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2015",449111,315455,245,315700,315459,245,315704
"Gazeta Codzienna Nowiny","Polska Press Sp. z o.o.","marzec 2015",21719,15558,39,15597,15566,39,15605
"Gazeta Krakowska","Polska Press Sp. z o.o.","marzec 2015",23392,16461,163,16624,16592,163,16755
"Gazeta Lubuska","Polska Press Sp. z o.o.","marzec 2015",24255,19886,308,20194,19956,308,20264
"Gazeta Olsztyńska / Dziennik Elbląski","Grupa WM Sp. z o.o. ","marzec 2015",20579,14773,51,14824,14805,51,14856
"Gazeta Podatkowa","Wydawnictwo Podatkowe ""Gofin"" Sp. z o.o.","marzec 2015",36812,25051,1808,26859,25051,1808,26859
"Gazeta Polska Codziennie","Forum SA","marzec 2015",58860,17732,399,18131,17732,408,18140
"Gazeta Pomorska","Polska Press Sp. z o.o.","marzec 2015",49049,41116,348,41464,43674,456,44130
"Gazeta Wrocławska","Polska Press Sp. z o.o.","marzec 2015",23439,16135,150,16285,16339,150,16489
"Gazeta Współczesna","Polska Press Sp. z o.o.","marzec 2015",8499,6432,310,6742,6517,870,7387
"Gazeta Wyborcza","Agora SA","marzec 2015",244046,156644,2280,158924,160655,14288,174943
"Głos - Dziennik Pomorza","Polska Press Sp. z o.o.","marzec 2015",28364,22547,261,22808,22720,261,22981
"Głos Wielkopolski","Polska Press Sp. z o.o.","marzec 2015",39538,30217,362,30579,30221,362,30583
"Kurier Lubelski","Polska Press Sp. z o.o.","marzec 2015",7633,4095,24,4119,4140,24,4164
"Kurier Poranny","Polska Press Sp. z o.o.","marzec 2015",6963,5251,81,5332,5445,500,5945
"Kurier Szczeciński","""Kurier Szczeciński"" Sp. z o.o.","marzec 2015",19357,10787,61,10848,12622,61,12683
"Nowa Trybuna Opolska","""Pro Media"" Sp. z o.o.","marzec 2015",19831,14159,84,14243,15656,352,16008
"Nowości - Dziennik Toruński","""Express Media"" Sp. z o.o.","marzec 2015",17988,12503,104,12607,12833,104,12937
"Parkiet Gazeta Giełdy","Gremi Business Communication Sp. z o.o.","marzec 2015",10308,2980,1830,4810,3186,2130,5316
"Polska Metropolia Warszawska","Polska Press Sp. z o.o.","marzec 2015",10500,3822,27,3849,3822,27,3849
"Przegląd Sportowy","""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2015",59608,29432,372,29804,29432,372,29804
"Puls Biznesu","""Bonnier Business (Polska)"" Sp. z o.o.","marzec 2015",15023,7867,2805,10672,11156,2805,13961
Rzeczpospolita,"Gremi Business Communication Sp. z o.o.","marzec 2015",63977,46735,9524,56259,47032,9524,56556
Sport,"""Ringier Axel Springer Polska"" Sp. z o.o.","marzec 2015",11408,5607,20,5627,5607,20,5627
"Super Express","ZPR Media SA","marzec 2015",251653,148122,0,148122,148842,0,148842
"Super Nowości","Wydawnictwo Prasowe Super Nowości Sp. z.o.o.","marzec 2015",14439,8289,0,8289,8289,0,8289
"Sumy dla: wszystkich tytułów",,,46155238,30351751,758127,31109878,30927469,1198011,32125480
"Średnie dla: wszystkich tytułów",,,54947,36133,903,37036,36818,1426,38245
