year.month;;build;commiss;sunk
1935.06;;2;;1;0
1935.07;;5;;2;0
1935.08;;4;;5;0
1935.09;;1;;4;0
1935.10;;0;;0;0
1935.11;;2;;1;0
1935.12;;3;;1;0
1936.01;;1;;3;0
1936.02;;2;;1;0
1936.03;;1;;1;0
1936.04;;1;;1;0
1936.05;;0;;0;0
1936.06;;2;;0;0
1936.07;;4;;1;0
1936.08;;3;;3;0
1936.09;;3;;3;0
1936.10;;0;;0;0
1936.11;;1;;2;0
1936.12;;0;;0;0
1937.01;;0;;0;0
1937.02;;1;;0;0
1937.03;;0;;0;0
1937.04;;0;;0;0
1937.05;;0;;0;0
1937.06;;0;;0;0
1937.07;;0;;0;0
1937.08;;0;;0;0
1937.09;;0;;0;0
1937.10;;0;;0;0
1937.11;;0;;0;0
1937.12;;0;;0;0
1938.01;;0;;0;0
1938.02;;0;;0;0
1938.03;;0;;0;0
1938.04;;1;;0;0
1938.05;;1;;0;0
1938.06;;1;;1;0
1938.07;;0;;0;0
1938.08;;1;;2;0
1938.09;;4;;0;0
1938.10;;3;;1;0
1938.11;;1;;2;0
1938.12;;1;;3;0
1939.01;;1;;0;0
1939.02;;1;;3;0
1939.03;;1;;1;0
1939.04;;0;;0;0
1939.05;;2;;0;0
1939.06;;3;;1;0
1939.07;;0;;0;0
1939.08;;2;;3;0
1939.09;;1;;1;0
1939.10;;1;;0;5
1939.11;;3;;2;1
1939.12;;2;;3;1
1940.01;;1;;1;2
1940.02;;0;;0;0
1940.03;;5;;2;1
1940.04;;3;;3;2
1940.05;;3;;3;1
1940.06;;6;;3;1
1940.07;;6;;3;2
1940.08;;7;;5;1
1940.09;;7;;7;0
1940.10;;9;;7;1
1940.11;;7;;6;1
1940.12;;15;;9;0
1941.01;;9;;10;1
1941.02;;16;;9;0
1941.03;;18;;11;5
1941.04;;21;;14;2
1941.05;;18;;19;0
1941.06;;18;;14;4
1941.07;;21;;19;0
1941.08;;18;;19;3
1941.09;;19;;15;0
1941.10;;24;;24;2
1941.11;;18;;23;4
1941.12;;21;;22;10
1942.01;;14;;15;3
1942.02;;10;;17;2
1942.03;;31;;17;6
1942.04;;20;;17;2
1942.05;;20;;20;3
1942.06;;21;;21;2
1942.07;;21;;21;12
1942.08;;20;;21;7
1942.09;;19;;19;0
1942.10;;28;;23;16
1942.11;;17;;23;11
1942.12;;27;;23;5
1943.01;;19;;21;4
1943.02;;20;;21;19
1943.03;;25;;27;17
1943.04;;27;;18;14
1943.05;;23;;26;40
1943.06;;25;;25;17
1943.07;;22;;26;34
1943.08;;20;;21;23
1943.09;;25;;21;1
1943.10;;24;;25;25
1943.11;;22;;25;18
1943.12;;23;;28;9
1944.01;;17;;20;13
1944.02;;17;;19;18
1944.03;;19;;23;23
1944.04;;15;;23;16
1944.05;;11;;19;21
1944.06;;9;;11;22
1944.07;;12;;14;24
1944.08;;18;;15;27
1944.09;;19;;20;1
1944.10;;28;;16;6
1944.11;;25;;21;5
1944.12;;29;;28;12
1945.01;;25;;35;11
1945.02;;13;;18;20
1945.03;;7;;26;29
1945.04;;2;;9;45
