year;Action;Adult;Adventure;Biography;Comedy;Crime;Drama;Family;Fantasy;Film-Noir;Game-Show;History;Horror;Music;Musical;Mystery;Reality-TV;Romance;Sci-Fi;Sport;Talk-Show;Thriller;War;Western;\N;Total
1894;;;;;;;;;;;;;;;;;;1;;;;;;;;1
1896;1;;;;1;;;1;;;;;;;;;;;;;;;;;;3
1898;;;;;2;;;;2;;;;2;;;;;1;;;;;;;17;24
1899;;;1;;1;;;1;3;;;;2;;;;;1;;;;;;;3;12
1900;;;;1;4;1;1;;2;;;;;;;;;;;;;;;;6;15
1901;;;;;2;;;;2;;;;1;;;;;1;;;;;;;1;7
1902;1;;1;;2;;;;1;;;;1;;;;;;;;;;;;2;8
1903;;;;;;;1;1;1;;;;;;;;;1;;;;;;;8;12
1904;1;;1;;;;;1;;;;;;;;;;;;;;;;;5;8
1905;1;;;;2;2;2;2;3;;;;1;1;;1;;2;;;;;;;7;24
1906;;;;1;3;1;3;;2;;;;;1;1;;;2;1;1;;;;;11;27
1907;;;1;;5;;4;1;6;;;;2;1;;;;2;1;;;;;;8;31
1908;;;2;;;;6;1;2;;;1;;1;;;;4;;1;;;;;16;34
1909;2;;1;1;6;2;13;1;2;;;2;1;;2;;;2;1;1;;;3;;64;104
1910;1;;5;2;8;3;29;1;3;;;5;1;;2;1;;4;2;1;;;1;1;56;126
1911;3;;6;3;11;1;63;1;5;;;4;1;;;;;7;2;;;1;3;2;88;201
1912;3;;10;2;21;7;134;1;5;;;5;5;;;3;;24;2;;;10;2;2;192;428
1913;5;;18;4;34;38;264;3;8;;;14;2;2;1;6;;28;2;2;;10;7;4;327;779
1914;14;1;42;6;75;62;533;3;8;;;23;6;;;14;;44;;1;;17;24;14;444;1331
1915;23;;56;6;137;82;755;3;10;;;27;6;1;;40;;70;3;5;;8;33;29;606;1900
1916;37;;43;3;179;107;1092;2;13;;;22;11;1;;33;;98;8;3;;11;31;40;705;2439
1917;27;;50;11;207;122;1054;7;25;;;23;10;2;1;37;;92;2;4;;7;40;77;763;2561
1918;31;;45;9;291;79;951;4;15;;;17;6;;;43;;133;4;3;;13;64;89;850;2647
1919;41;;77;5;325;128;943;;9;;;17;11;1;1;29;;139;3;9;;11;22;85;931;2787
1920;46;1;94;4;240;137;858;1;10;;;15;24;;3;51;;92;5;13;;7;8;77;1244;2930
1921;40;;77;2;237;87;633;5;19;;;11;11;;2;69;;126;5;4;;8;5;96;1441;2878
1922;50;;68;7;203;73;587;9;10;;;19;6;;2;30;;146;3;11;;12;6;129;1115;2486
1923;39;;61;11;175;82;553;4;16;;;18;8;1;;48;;102;1;10;;8;10;108;970;2225
1924;61;;55;3;159;63;534;5;10;;;17;7;;3;35;;119;3;8;;8;9;171;971;2241
1925;92;;92;4;213;42;598;4;10;;;12;8;;2;11;;144;7;10;;7;10;218;857;2341
1926;133;;120;6;261;59;708;3;7;;;13;8;2;2;19;;212;;7;;16;20;163;572;2331
1927;91;;76;5;276;58;770;7;4;1;;16;10;1;2;16;;185;1;11;;13;30;136;607;2316
1928;95;;78;8;236;53;783;7;3;2;;29;6;2;4;21;1;166;;4;;17;29;131;634;2309
1929;60;;77;4;182;79;714;4;1;1;;17;7;12;68;40;;159;4;10;;19;17;86;614;2175
1930;72;;64;6;292;99;658;7;10;1;;11;3;26;142;33;;232;2;7;;7;21;69;568;2330
1931;68;;56;8;339;130;764;6;8;3;;8;13;6;82;41;;203;5;8;;17;25;80;567;2437
1932;81;;71;5;363;136;715;6;11;4;;15;22;7;70;62;;203;6;27;;18;17;85;466;2390
