teryt;exteryt;bb;center
022203;3;51.226260,16.415662 51.438362,16.799201;51.332311,16.6074315
021406;2;51.102419,17.289101 51.317298,17.614066;51.2098585,17.4515835
022302;2;51.100089,17.073811 51.275579,17.348577;51.187834,17.211194
021407;3;51.239512,17.534377 51.357666,17.766485;51.298589,17.650431
022301;2;51.014887,17.148522 51.117645,17.375983;51.066266,17.2622525
021408;3;51.296061,17.342512 51.457655,17.567565;51.376858,17.4550385
022303;2;50.809662,16.773601 50.911454,16.922575;50.860558,16.848088
022306;2;50.915179,16.566093 51.021506,16.748311;50.9683425,16.657202
022304;3;50.954185,16.682618 51.112544,16.963415;51.0333645,16.8230165
022305;2;50.863868,16.838846 51.057730,17.034889;50.960799,16.9368675
022307;3;50.837109,16.671825 50.976006,16.860485;50.9065575,16.766155
022308;3;50.981099,17.028716 51.083257,17.262298;51.032178,17.145507
022309;2;50.899999,16.936004 51.034821,17.162897;50.96741,17.0494505
021504;2;50.817489,17.167614 51.030400,17.464007;50.9239445,17.3158105
022407;3;50.397464,16.755252 50.488812,16.947799;50.443138,16.8515255
021502;2;50.840471,17.068245 50.986807,17.232166;50.913639,17.1502055
022402;2;50.627409,16.821629 50.715881,17.009932;50.671645,16.9157805
021501;1;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215
022401;3;50.455572,16.673713 50.572097,16.828259;50.5138345,16.750986
021503;3;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749
021901;1;50.808023,16.455370 50.873211,16.529676;50.840617,16.492523
021903;2;50.871606,16.159403 51.018401,16.307029;50.9450035,16.233216
021007;2;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565
021904;3;50.856581,16.376061 50.957777,16.497881;50.907179,16.436971
021006;2;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186
021905;2;50.816950,16.529100 50.939377,16.701697;50.8781635,16.6153985
021101;1;51.358967,16.129634 51.439867,16.258249;51.399417,16.1939415
021906;3;50.877668,16.249156 51.029723,16.484416;50.9536955,16.366786
